OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
9943037393,02:47:58.644,-02:16:39.07,2000.0,19.24,r,10778,1,1,18
0123952534,02:48:02.981,-02:16:53.26,2000.0,20.46,r,1316,1,1,18
0320435836,02:48:07.698,-02:16:43.75,2000.0,19.49,r,10620,1,1,18
0392326652,02:48:09.419,-02:16:41.34,2000.0,20.73,r,112,1,1,18
0419568936,02:48:10.096,-02:16:34.48,2000.0,19.49,r,5685,1,1,18
0445078063,02:48:10.704,-02:16:36.97,2000.0,19.80,r,14,1,1,18
0912063763,02:48:21.894,-02:16:49.93,2000.0,21.46,r,317,1,1,18
1268097372,02:48:30.448,-02:16:39.64,2000.0,21.43,r,538,1,1,18
9044848984,02:47:37.090,-02:21:04.35,2000.0,21.34,r,34,1,1,18
9046623176,02:47:37.142,-02:21:21.62,2000.0,20.93,r,199,1,1,18
9142472328,02:47:39.414,-02:21:23.80,2000.0,20.29,r,3165,1,1,18
9228188600,02:47:41.491,-02:21:05.74,2000.0,20.22,r,2579,1,1,18
9273886161,02:47:42.584,-02:21:12.83,2000.0,20.20,r,2529,1,1,18
9945531964,02:47:58.729,-02:16:25.21,2000.0,21.86,r,264,1,1,18
0084635722,02:48:02.046,-02:16:13.89,2000.0,20.32,r,700,1,1,18
0113004309,02:48:02.731,-02:16:18.63,2000.0,21.84,r,10,1,1,18
0240568617,02:48:05.784,-02:16:05.47,2000.0,20.46,r,2956,1,1,18
0319073623,02:48:07.668,-02:16:20.42,2000.0,19.01,r,13937,1,1,18
0451681546,02:48:10.850,-02:16:26.60,2000.0,18.45,r,22124,1,1,18
0550984551,02:48:13.221,-02:16:17.83,2000.0,21.51,r,90,1,1,18
0632266127,02:48:15.183,-02:16:12.84,2000.0,21.08,r,28,1,1,18
0656095569,02:48:15.746,-02:16:14.68,2000.0,20.71,r,2422,1,1,18
0951590595,02:48:22.842,-02:16:29.80,2000.0,20.68,r,1656,1,1,18
9544636618,02:47:49.085,-02:20:41.29,2000.0,21.73,r,97,1,1,18
9575454848,02:47:49.839,-02:20:46.76,2000.0,20.82,r,1896,1,1,18
0526143297,02:48:12.641,-02:15:51.37,2000.0,21.57,r,78,1,1,18
0794533738,02:48:19.062,-02:15:50.32,2000.0,22.13,r,53,1,1,18
0943266320,02:48:22.651,-02:15:42.33,2000.0,21.14,r,244,1,1,18
9349681865,02:47:44.408,-02:20:25.74,2000.0,21.65,r,329,1,1,18
9420242317,02:47:46.084,-02:20:24.40,2000.0,19.72,r,43,1,1,18
9422606724,02:47:46.148,-02:20:11.18,2000.0,21.54,r,372,1,1,18
9945496631,02:47:58.710,-02:20:11.06,2000.0,20.99,r,1614,1,1,18
9961037543,02:47:59.075,-02:20:08.49,2000.0,20.46,r,507,1,1,18
0273664986,02:48:06.581,-02:15:16.36,2000.0,20.44,r,403,1,1,18
0535271353,02:48:12.848,-02:15:27.16,2000.0,20.75,r,538,1,1,18
0624608398,02:48:14.989,-02:15:06.24,2000.0,19.51,r,3210,1,1,18
0677987761,02:48:16.262,-02:15:07.73,2000.0,21.28,r,359,1,1,18
0770917828,02:48:18.480,-02:15:07.59,2000.0,20.73,r,1124,1,1,18
0918087670,02:48:22.045,-02:15:08.12,2000.0,20.16,r,5023,1,1,18
9718508098,02:47:53.244,-02:19:36.77,2000.0,21.08,r,1091,1,1,18
0455391806,02:48:10.941,-02:14:55.69,2000.0,20.11,r,3512,1,1,18
0571574912,02:48:13.720,-02:14:46.57,2000.0,20.13,r,2912,1,1,18
0840532375,02:48:20.174,-02:14:54.09,2000.0,20.42,r,842,1,1,18
1179380994,02:48:28.316,-02:14:58.24,2000.0,20.06,r,197,1,1,18
1197655659,02:48:28.768,-02:14:44.58,2000.0,20.10,r,4398,1,1,18
9273152652,02:47:42.575,-02:19:22.84,2000.0,20.86,r,3246,1,1,18
9594882325,02:47:50.292,-02:19:24.33,2000.0,18.73,r,19272,1,1,18
0044926380,02:48:01.064,-02:19:12.52,2000.0,19.14,r,4505,1,1,18
0131822831,02:48:03.169,-02:19:22.90,2000.0,20.99,r,42,1,1,18
0927689941,02:48:22.277,-02:14:01.49,2000.0,19.45,r,3978,1,1,18
1301454782,02:48:31.238,-02:14:16.99,2000.0,20.52,r,796,1,1,18
9901873648,02:47:57.656,-02:18:50.28,2000.0,20.44,r,15,1,1,18
0047071356,02:48:01.148,-02:18:57.36,2000.0,21.72,r,150,1,1,18
