objID,raMean,decMean,rMeanKronMag
120160010828005543,1.08275029,10.13751392,21.929100036621094
120160010893715039,1.08936046,10.13712424,21.485700607299805
120150010992845837,1.09927289,10.12938944,19.241500854492188
120150011002023636,1.10016544,10.12752905,19.96109962463379
120150010950331481,1.09498946,10.12576133,20.789199829101562
120150010953721907,1.0953292,10.12611488,20.95870018005371
120150010969052315,1.09686208,10.1264547,21.22260093688965
120150010973012107,1.09727686,10.12628478,20.973100662231445
120160010898370296,1.08979766,10.13311203,20.607200622558594
120160010927354594,1.09266783,10.136672,21.26689910888672
120160010931854733,1.09315871,10.13681382,20.305099487304688
120190011236290003,1.12361865,10.15787375,20.746400833129883
120170011274672855,1.12746,10.14357899,20.57390022277832
120170011267274281,1.12673011,10.14482883,21.644699096679688
120170011370754528,1.13706926,10.14498091,18.41320037841797
120170011342765888,1.13426802,10.14612282,18.647199630737305
120170011319904716,1.13197577,10.14513724,19.2362003326416
120140011232514355,1.1232369,10.11980981,21.652799606323242
120190008193863339,0.81945418,10.16071961,19.45789909362793
120190008153544130,0.81538777,10.16139885,19.821300506591797
120190008141159927,0.81411546,10.16620573,17.660999298095703
120200008111932871,0.81127881,10.1686806,20.997299194335938
120200008094022501,0.80945541,10.16835562,21.227100372314453
120190008142059431,0.81420577,10.1657925,17.803699493408203
120190008143217728,0.81432182,10.16437314,18.127899169921875
120190008142098028,0.8142097,10.16462303,18.042299270629883
120190008142188227,0.81421859,10.16478924,18.11639976501465
120190008100718677,0.81011556,10.16517392,19.210599899291992
120190008273694413,0.82742787,10.1616303,21.434499740600586
120200008201174693,0.82008591,10.17027837,21.35070037841797
120190008202394306,0.82031284,10.16155891,21.93269920349121
120210008093046821,0.80936668,10.18029627,19.833499908447266
120210008087254137,0.80879329,10.17814691,19.795900344848633
120210008141213006,0.81412198,10.17710471,17.3705997467041
120210008139413353,0.81394183,10.17739349,17.308500289916992
120200008136756551,0.81367551,10.17172573,18.937700271606445
120200008134956460,0.8134951,10.17164993,18.91830062866211
120200008136276463,0.81362759,10.17165188,18.902000427246094
120200008133926646,0.81339297,10.17180508,18.88960075378418
120200008134717065,0.81347101,10.17215367,19.03260040283203
120200008135907030,0.81359078,10.17212502,19.009599685668945
120200008122887150,0.81228887,10.17222507,19.896699905395508
120200008122827466,0.81228291,10.17248844,19.28510093688965
120200008142186517,0.81421822,10.17169704,17.256999969482422
120200008142326729,0.81423279,10.17187413,17.27739906311035
120200008135907379,0.81359097,10.17241539,19.147199630737305
120200008128328212,0.8129578,10.17311631,19.191200256347656
120200008132858178,0.81328555,10.17308108,19.269800186157227
120200008137848070,0.81383667,10.17301562,17.9148006439209
120210008140802599,0.81408066,10.17676549,17.344499588012695
120210008140672781,0.81406777,10.17691692,17.336700439453125
120210008138632229,0.81386338,10.17645726,17.398099899291992
120210008140592236,0.81405913,10.17646339,17.392200469970703
120210008140221265,0.81402282,10.17565356,17.527799606323242
120210008137331340,0.8137332,10.17571606,17.510000228881836
120210008107841829,0.81080577,10.17613718,20.35379981994629
120200008141409687,0.81414054,10.17433869,17.264699935913086
120200008199124954,0.81996277,10.17040692,21.223600387573242
120190008141799953,0.81417912,10.16622709,17.761199951171875
120200008141786296,0.81417832,10.1715131,17.184099197387695
120200008140376062,0.81403773,10.17131805,17.220199584960938
120200008141596116,0.81415922,10.17136265,17.207700729370117
120200008139745392,0.81397467,10.17075987,17.156600952148438
120200008140175918,0.81401724,10.17119803,17.187999725341797
120200008139995800,0.81399907,10.17109965,17.196500778198242
