OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?
9195203095,02:19:40.679,+01:28:37.95,2000.0,15.97,r,-1,0,1
9985523690,02:19:59.644,+01:23:39.69,2000.0,17.60,r,-2,0,1
9838213951,02:19:56.119,+01:21:10.47,2000.0,18.24,r,-2,0,1
9505621845,02:19:48.143,+01:21:04.05,2000.0,17.35,r,-2,0,1
9739654784,02:19:53.756,+01:36:43.00,2000.0,17.01,r,-2,0,1
9475462766,02:19:47.409,+01:36:06.92,2000.0,19.43,r,-2,0,1
