OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
0183865483,02:48:04.438,-02:16:44.72,2000.0,20.46,r,2177,1,1,39
0248265498,02:48:05.958,-02:16:44.57,2000.0,20.93,r,54,1,1,39
0322007323,02:48:07.735,-02:16:39.52,2000.0,18.17,r,2770,1,1,39
0411641748,02:48:09.885,-02:16:56.14,2000.0,20.24,r,278,1,1,39
0518126906,02:48:12.432,-02:16:40.85,2000.0,21.08,r,604,1,1,39
0541079683,02:48:12.990,-02:16:32.16,2000.0,20.02,r,4899,1,1,39
0608587337,02:48:14.612,-02:16:39.29,2000.0,20.23,r,2414,1,1,39
0675348783,02:48:16.222,-02:16:34.94,2000.0,20.62,r,423,1,1,39
0936474034,02:48:22.475,-02:16:49.19,2000.0,20.53,r,791,1,1,39
0957146997,02:48:22.992,-02:16:40.22,2000.0,19.83,r,4518,1,1,39
1778024041,02:48:42.695,-02:11:49.29,2000.0,21.34,r,39,1,1,39
1934980764,02:48:46.432,-02:11:58.96,2000.0,20.70,r,460,1,1,39
9649782196,02:47:51.610,-02:16:24.73,2000.0,19.01,r,14066,1,1,39
9814680241,02:47:55.564,-02:16:30.48,2000.0,19.76,r,9099,1,1,39
9846430671,02:47:56.322,-02:16:29.12,2000.0,20.52,r,251,1,1,39
0604769138,02:48:14.531,-02:16:03.85,2000.0,20.14,r,5125,1,1,39
0788353193,02:48:18.934,-02:16:21.56,2000.0,19.81,r,6710,1,1,39
2016863026,02:48:48.414,-02:11:52.22,2000.0,18.78,r,3849,1,1,39
1011601281,02:48:24.341,-02:11:27.73,2000.0,19.68,r,950,1,1,39
1177550002,02:48:28.272,-02:11:31.45,2000.0,20.44,r,1739,1,1,39
1265221676,02:48:30.366,-02:11:26.28,2000.0,20.45,r,676,1,1,39
1798271065,02:48:43.167,-02:11:28.25,2000.0,19.78,r,5287,1,1,39
1817996195,02:48:43.649,-02:11:12.70,2000.0,21.24,r,8,1,1,39
9827581312,02:47:55.882,-02:15:56.98,2000.0,21.41,r,350,1,1,39
0009196586,02:48:00.231,-02:15:41.52,2000.0,20.92,r,1832,1,1,39
0105446833,02:48:02.545,-02:15:40.41,2000.0,21.33,r,44,1,1,39
0207625333,02:48:04.985,-02:15:45.23,2000.0,21.29,r,84,1,1,39
0695853784,02:48:16.710,-02:15:49.79,2000.0,21.30,r,5,1,1,39
1103456291,02:48:26.477,-02:15:42.47,2000.0,21.30,r,208,1,1,39
1089940987,02:48:26.163,-02:10:57.74,2000.0,20.39,r,3011,1,1,39
1256847007,02:48:30.165,-02:10:40.30,2000.0,21.70,r,9,1,1,39
1322645241,02:48:31.774,-02:10:45.50,2000.0,21.66,r,373,1,1,39
1678669561,02:48:40.291,-02:10:32.61,2000.0,21.40,r,354,1,1,39
9873442145,02:47:56.995,-02:20:24.45,2000.0,21.08,r,838,1,1,39
9945931705,02:47:58.722,-02:20:26.31,2000.0,21.02,r,126,1,1,39
9954778803,02:47:58.926,-02:20:05.03,2000.0,20.87,r,1567,1,1,39
9849981037,02:47:56.412,-02:15:28.16,2000.0,18.45,r,23912,1,1,39
9864165299,02:47:56.759,-02:15:15.39,2000.0,21.53,r,213,1,1,39
9938560388,02:47:58.538,-02:15:30.28,2000.0,20.75,r,164,1,1,39
0587921421,02:48:14.123,-02:15:27.03,2000.0,19.94,r,1243,1,1,39
0606043903,02:48:14.537,-02:15:19.53,2000.0,17.80,r,180,1,1,39
0864084283,02:48:20.746,-02:15:18.50,2000.0,20.93,r,1201,1,1,39
0912705334,02:48:21.909,-02:15:15.45,2000.0,19.60,r,6070,1,1,39
1030212207,02:48:24.763,-02:15:24.96,2000.0,21.75,r,61,1,1,39
1057540952,02:48:25.381,-02:15:28.60,2000.0,19.83,r,4086,1,1,39
1249442399,02:48:29.982,-02:15:24.21,2000.0,21.42,r,648,1,1,39
1341680497,02:48:32.215,-02:10:29.99,2000.0,21.99,r,110,1,1,39
1591582147,02:48:38.185,-02:10:25.19,2000.0,20.11,r,3060,1,1,39
1599505484,02:48:38.403,-02:10:15.00,2000.0,21.06,r,1584,1,1,39
9613637986,02:47:50.731,-02:19:37.27,2000.0,20.02,r,4073,1,1,39
9636099650,02:47:51.276,-02:19:32.30,2000.0,19.18,r,15393,1,1,39
9918081720,02:47:58.050,-02:19:55.82,2000.0,20.70,r,406,1,1,39
9973112794,02:47:59.370,-02:14:52.97,2000.0,20.09,r,3532,1,1,39
0550499685,02:48:13.184,-02:14:31.65,2000.0,19.05,r,175,1,1,39
0649349365,02:48:15.591,-02:14:33.18,2000.0,19.64,r,7823,1,1,39
1034255903,02:48:24.808,-02:14:43.53,2000.0,21.22,r,112,1,1,39
1414528269,02:48:33.951,-02:14:36.50,2000.0,19.55,r,11705,1,1,39
9678542654,02:47:52.308,-02:19:23.19,2000.0,21.40,r,19,1,1,39
1227104822,02:48:29.474,-02:14:17.31,2000.0,20.85,r,1960,1,1,39
1492097039,02:48:35.797,-02:14:10.27,2000.0,20.56,r,713,1,1,39
1754467115,02:48:42.147,-02:14:10.07,2000.0,19.27,r,1550,1,1,39
0856950415,02:48:20.573,-02:13:59.95,2000.0,21.34,r,563,1,1,39
1067683018,02:48:25.617,-02:13:52.19,2000.0,21.84,r,222,1,1,39
1180919538,02:48:28.366,-02:13:32.69,2000.0,20.63,r,682,1,1,39
1810902819,02:48:43.467,-02:13:52.84,2000.0,20.64,r,7755,1,1,39
0917313819,02:48:22.068,-02:13:19.43,2000.0,21.62,r,142,1,1,39
1456666454,02:48:34.968,-02:13:11.96,2000.0,19.13,r,13689,1,1,39
1634275360,02:48:39.238,-02:13:15.40,2000.0,21.41,r,27,1,1,39
1804259754,02:48:43.310,-02:13:02.05,2000.0,18.86,r,14569,1,1,39
0367455509,02:48:08.833,-02:17:44.67,2000.0,19.53,r,1808,1,1,39
0460315241,02:48:11.065,-02:17:45.38,2000.0,19.66,r,1822,1,1,39
0527966322,02:48:12.679,-02:17:42.31,2000.0,21.00,r,829,1,1,39
1011818593,02:48:24.277,-02:12:35.93,2000.0,21.43,r,420,1,1,39
1212500793,02:48:29.107,-02:12:58.70,2000.0,21.22,r,618,1,1,39
1661803655,02:48:39.887,-02:12:50.46,2000.0,21.17,r,625,1,1,39
0108410123,02:48:02.620,-02:17:30.91,2000.0,19.12,r,10039,1,1,39
0531005091,02:48:12.748,-02:17:16.00,2000.0,19.37,r,13768,1,1,39
0653622836,02:48:15.716,-02:17:23.11,2000.0,21.52,r,611,1,1,39
