OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
special0,00:19:39.417,+03:35:59.93,2000.0,22.00,r,3000,1,1,-48
special1,00:19:34.494,+03:37:29.43,2000.0,22.00,r,5000,1,1,-48
special5,00:19:37.643,+03:37:02.26,2000.0,22.00,r,5000,1,1,-48
special6,00:19:37.673,+03:36:31.68,2000.0,22.00,r,5000,1,1,-48
special7,00:19:35.136,+03:36:35.80,2000.0,22.00,r,5000,1,1,-48
special8,00:19:36.481,+03:37:18.42,2000.0,22.00,r,5000,1,1,-48
8918171112,00:19:34.029,+03:39:01.99,2000.0,20.74,r,1486,1,1,-48
9073479142,00:19:37.766,+03:39:26.03,2000.0,19.71,r,5186,1,1,-48
9118505330,00:19:38.858,+03:39:14.45,2000.0,20.02,r,1898,1,1,-48
9374454540,00:19:44.992,+03:31:12.29,2000.0,18.44,r,13937,1,1,-48
9395879769,00:19:45.507,+03:31:27.97,2000.0,20.49,r,1590,1,1,-48
8993447256,00:19:35.851,+03:39:50.40,2000.0,19.70,r,6471,1,1,-48
9103825823,00:19:38.498,+03:39:46.02,2000.0,20.00,r,2923,1,1,-48
8983407432,00:19:35.608,+03:31:50.89,2000.0,19.34,r,2816,1,1,-48
9105195026,00:19:38.515,+03:31:43.66,2000.0,19.33,r,7075,1,1,-48
9283632738,00:19:42.808,+03:31:36.84,2000.0,19.65,r,4543,1,1,-48
9334620959,00:19:44.039,+03:31:31.53,2000.0,20.62,r,2611,1,1,-48
8766689466,00:19:30.411,+03:40:26.98,2000.0,20.50,r,992,1,1,-48
8930071980,00:19:34.329,+03:40:04.49,2000.0,20.30,r,1782,1,1,-48
9016957776,00:19:36.396,+03:40:21.86,2000.0,21.54,r,2,1,1,-48
8725974995,00:19:29.427,+03:32:13.67,2000.0,20.06,r,2212,1,1,-48
9191592228,00:19:40.589,+03:32:05.24,2000.0,21.93,r,24,1,1,-48
9303207602,00:19:43.293,+03:32:21.42,2000.0,20.85,r,343,1,1,-48
9449597021,00:19:46.798,+03:32:19.62,2000.0,21.40,r,439,1,1,-48
9338128293,00:19:44.082,+03:40:53.61,2000.0,20.52,r,1639,1,1,-48
9092822533,00:19:38.237,+03:32:36.28,2000.0,20.30,r,1839,1,1,-48
9205586386,00:19:40.920,+03:32:48.65,2000.0,20.35,r,3037,1,1,-48
8869940260,00:19:32.874,+03:40:59.36,2000.0,21.16,r,437,1,1,-48
8898892250,00:19:33.576,+03:41:05.34,2000.0,18.19,r,1677,1,1,-48
9284451951,00:19:42.836,+03:41:04.37,2000.0,20.06,r,721,1,1,-48
9179026403,00:19:40.307,+03:33:17.83,2000.0,19.03,r,6686,1,1,-48
9256034647,00:19:42.151,+03:33:12.55,2000.0,19.39,r,5752,1,1,-48
9297260500,00:19:43.138,+03:33:00.07,2000.0,20.11,r,3365,1,1,-48
8708075510,00:19:29.008,+03:41:45.45,2000.0,21.15,r,307,1,1,-48
8846595356,00:19:32.324,+03:41:44.66,2000.0,19.05,r,5831,1,1,-48
9314320503,00:19:43.552,+03:41:30.12,2000.0,21.48,r,61,1,1,-48
9025602715,00:19:36.625,+03:33:36.78,2000.0,20.57,r,1724,1,1,-48
9053354706,00:19:37.282,+03:33:42.85,2000.0,20.73,r,1171,1,1,-48
9416063660,00:19:45.991,+03:33:39.60,2000.0,20.66,r,1548,1,1,-48
8727041969,00:19:29.460,+03:42:04.53,2000.0,20.00,r,2708,1,1,-48
8899578123,00:19:33.584,+03:42:23.00,2000.0,20.44,r,302,1,1,-48
9024037621,00:19:36.568,+03:42:21.62,2000.0,21.32,r,100,1,1,-48
8920519509,00:19:34.100,+03:34:27.10,2000.0,19.93,r,3229,1,1,-48
9095299686,00:19:38.295,+03:34:27.78,2000.0,22.25,r,154,1,1,-48
9206642206,00:19:40.969,+03:34:05.32,2000.0,21.20,r,35,1,1,-48
9247747525,00:19:41.936,+03:34:21.23,2000.0,20.87,r,40,1,1,-48
9302001456,00:19:43.251,+03:34:03.02,2000.0,20.41,r,3052,1,1,-48
9389050225,00:19:45.337,+03:33:59.32,2000.0,20.92,r,2152,1,1,-48
8710437073,00:19:29.055,+03:42:49.79,2000.0,19.53,r,3593,1,1,-48
8720265025,00:19:29.288,+03:42:43.72,2000.0,20.77,r,989,1,1,-48
8945351878,00:19:34.707,+03:34:34.27,2000.0,22.02,r,164,1,1,-48
9090946352,00:19:38.173,+03:34:47.90,2000.0,20.43,r,1508,1,1,-48
9155709737,00:19:39.742,+03:34:57.81,2000.0,19.95,r,4584,1,1,-48
9407271187,00:19:45.771,+03:34:32.12,2000.0,20.49,r,1156,1,1,-48
8560926456,00:19:25.439,+03:43:18.15,2000.0,21.45,r,48,1,1,-48
8586120308,00:19:26.078,+03:42:59.59,2000.0,19.04,r,3838,1,1,-48
8700084008,00:19:28.811,+03:43:10.80,2000.0,19.49,r,2221,1,1,-48
8885552529,00:19:33.256,+03:35:06.23,2000.0,19.93,r,3766,1,1,-48
9032518629,00:19:36.775,+03:35:24.49,2000.0,21.65,r,391,1,1,-48
9198008334,00:19:40.759,+03:35:23.60,2000.0,19.16,r,4193,1,1,-48
9219133614,00:19:41.259,+03:35:09.66,2000.0,21.36,r,164,1,1,-48
9056703498,00:19:37.363,+03:43:39.27,2000.0,19.63,r,3745,1,1,-48
9163209975,00:19:39.925,+03:43:58.36,2000.0,19.31,r,4729,1,1,-48
8866611765,00:19:32.795,+03:35:33.88,2000.0,21.67,r,4,1,1,-48
9035907647,00:19:36.867,+03:35:51.61,2000.0,21.32,r,648,1,1,-48
9185842481,00:19:40.459,+03:35:36.09,2000.0,21.37,r,31,1,1,-48
9303768217,00:19:43.289,+03:35:53.29,2000.0,20.13,r,1277,1,1,-48
8998470873,00:19:35.988,+03:44:01.20,2000.0,21.46,r,93,1,1,-48
9090014302,00:19:38.166,+03:44:11.53,2000.0,19.48,r,3699,1,1,-48
9248568898,00:19:41.973,+03:44:25.04,2000.0,21.59,r,23,1,1,-48
9075672610,00:19:37.817,+03:36:06.53,2000.0,20.55,r,598,1,1,-48
9077986399,00:19:37.872,+03:36:17.77,2000.0,20.92,r,949,1,1,-48
8909280097,00:19:33.846,+03:44:29.03,2000.0,22.06,r,53,1,1,-48
9060317679,00:19:37.451,+03:36:51.63,2000.0,19.38,r,2173,1,1,-48
8912306352,00:19:33.906,+03:45:17.76,2000.0,20.67,r,2223,1,1,-48
9204584262,00:19:40.923,+03:45:11.44,2000.0,20.94,r,834,1,1,-48
8908223623,00:19:33.807,+03:37:09.93,2000.0,21.27,r,974,1,1,-48
9017838183,00:19:36.424,+03:37:23.15,2000.0,20.29,r,1861,1,1,-48
8891868584,00:19:33.411,+03:46:24.75,2000.0,20.88,r,2,1,1,-48
9136753451,00:19:39.294,+03:46:09.29,2000.0,21.30,r,165,1,1,-48
9038345215,00:19:36.925,+03:37:44.22,2000.0,19.36,r,11921,1,1,-48
9095178297,00:19:38.282,+03:37:53.53,2000.0,20.95,r,1317,1,1,-48
9112544327,00:19:38.713,+03:37:41.40,2000.0,21.08,r,313,1,1,-48
9462383681,00:19:47.094,+03:30:39.81,2000.0,20.88,r,1143,1,1,-48
9197994886,00:19:40.761,+03:46:43.00,2000.0,21.69,r,91,1,1,-48
9224110419,00:19:41.401,+03:46:29.98,2000.0,21.41,r,533,1,1,-48
8938128817,00:19:34.520,+03:38:25.05,2000.0,19.98,r,2359,1,1,-48
9218422633,00:19:41.243,+03:38:06.49,2000.0,18.56,r,13284,1,1,-48
9240356800,00:19:41.769,+03:38:19.06,2000.0,19.66,r,6016,1,1,-48
8906724365,00:19:33.767,+03:38:41.68,2000.0,19.74,r,2191,1,1,-48
9032319362,00:19:36.781,+03:38:56.65,2000.0,21.80,r,383,1,1,-48
