OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?
9332897898,00:19:43.992,+03:41:22.28,2000.0,16.58,r,-1,0,1
9075187218,00:19:37.816,+03:45:50.30,2000.0,16.68,r,-2,0,1
8832995464,00:19:32.001,+03:44:45.01,2000.0,17.16,r,-2,0,1
9381765802,00:19:45.164,+03:31:46.01,2000.0,16.72,r,-2,0,1
9023146042,00:19:36.563,+03:31:46.74,2000.0,18.63,r,-2,0,1
9239238538,00:19:41.746,+03:30:24.28,2000.0,17.17,r,-2,0,1
