objID,uniquePspsOBid,raMean,decMean,l,b,class,prob_Galaxy,prob_Star,prob_QSO,extrapolation_Class,cellDistance_Class,cellID_Class,z_phot,z_photErr,z_phot0,extrapolation_Photoz,cellDistance_Photoz,cellID_Photoz
112050045516579832,908776000032836,4.55163576,3.38281669,106.929009910002,-58.45262585962,STAR,0.00029306952,0.9977315,0.0019754218,0,0.213795037085018,7355,-999,-999,-999,-999,-999,-999
112050045522201701,908776000129591,4.55222638,3.37604029,106.926918482452,-58.4593392849647,GALAXY,0.9701873,0.0013578836,0.028454797,1,11.993262996999,7177,0.693014025688171,0.11265643673002,0.69550776,1,11.1137627677105,619
112050045604805582,908776000129677,4.56048702,3.37927921,106.943720433552,-58.458225673613,GALAXY,0.8500482,0.05586588,0.094085984,1,12.202758801151,692,0.97323289513588,0.132331915627345,0.9779764,1,11.0035102948447,2713
112050045626068730,908776000126478,4.56270652,3.38200953,106.949107522851,-58.4561229217582,GALAXY,0.9762216,0.014948844,0.008829559,0,1.37624844137111,40,0.932389289140701,0.283828766156215,0.78329694,0,1.19900670000747,11128
112050045640197642,908776000129706,4.56401894,3.38100284,106.951062897491,-58.457420410165,GALAXY,0.9716409,0.018327015,0.010032152,1,6.26261668750543,7043,0.677620351314545,0.216358730725804,0.6097386,1,7.86257143684172,309
112050045658284023,908776000035977,4.56582497,3.37795727,106.95297500266,-58.460815323417,GALAXY,0.9606549,0.005404658,0.033940423,1,2.04950352221449,2847,0.737498462200165,0.113948975389951,0.74279344,0,1.11533638406453,2873
112050045669273110,908776000036207,4.56691669,3.37720542,106.954642034307,-58.4618116380357,GALAXY,0.91733086,0.045903385,0.036765795,1,12.6936746866485,8089,0.535862535238266,0.0821717413255512,0.55558705,1,12.7577916764918,1945
112050045824956183,908776000039514,4.58246716,3.3797708,106.984617001942,-58.4631305479743,GALAXY,0.89727855,0.089800656,0.012920791,0,0.830003373118308,40,0.718047320842743,0.269860156950443,0.72242236,0,0.74033794643186,11129
112050045826470750,908776000039553,4.58265014,3.37515719,106.982794714084,-58.4676483349269,GALAXY,0.97958267,0.008408592,0.01200872,0,0.90883320876604,138,0.730080485343933,0.254109020226827,0.7759028,0,0.604138929782233,7393
112050045869137387,908776000130008,4.58691369,3.3807831,106.993318981968,-58.4632360787481,GALAXY,0.9499797,0.012716207,0.037303995,1,4.69320208851612,7330,0.864886999130249,0.351834156533282,0.8075651,1,5.03777665087066,5460
