objID,raMean,decMean,rMeanKronMag,nDetections
112230049563562554,4.9563795,3.52682727,21.225799560546875,2
112230049563356311,4.95627146,3.52987022,-999.0,2
112230049586610743,4.95870566,3.52517356,21.64929962158203,43
112220049703362542,4.97030675,3.51835842,-999.0,2
112220049634204886,4.96330595,3.52025808,-999.0,2
112220049656185034,4.96555501,3.52038294,21.968700408935547,19
112220049656594608,4.96554917,3.52034436,-999.0,3
112230049670276962,4.96702179,3.53043009,20.648799896240234,64
112230049683342411,4.96836672,3.52661615,-999.0,2
112220049629445338,4.96281739,3.52076436,-999.0,2
112220049634255947,4.96335727,3.52123085,21.207000732421875,4
112220049646546728,4.96457241,3.52187865,-999.0,2
112180049948699547,4.99479107,3.49103952,-999.0,2
112190049859168788,4.9859615,3.49862292,-999.0,2
112190049884907137,4.98837563,3.49724718,21.146400451660156,2
112190049897955195,4.98965818,3.49563118,20.431900024414062,2
112210049938942007,4.993891,3.5096299,19.17259979248047,76
112210049943131608,4.99426839,3.509274,-999.0,2
112200049881838285,4.98819587,3.50649724,-999.0,2
112200049940430594,4.99401763,3.50013953,20.441699981689453,59
112200049938210847,4.99384491,3.50036679,-999.0,2
112200049947483547,4.99462525,3.50248997,-999.0,2
112200049926302926,4.99253272,3.5019994,-999.0,2
112210049758181836,4.97585763,3.50943009,-999.0,2
112200049793894347,4.97941697,3.50330166,17.607099533081055,74
112200049793914991,4.97939562,3.50377931,-999.0,2
112200049798194552,4.9798601,3.50337904,-999.0,2
112200049819268083,4.98198211,3.50624688,-999.0,2
112200049795226059,4.97955107,3.50471475,20.597999572753906,3
112190049885549276,4.98856724,3.49902613,19.439599990844727,75
112200049867372477,4.98676886,3.50154786,-999.0,2
112230049936163782,4.99370123,3.52782695,-999.0,2
112230049940913825,4.99407062,3.52775899,21.58370018005371,28
112390048441538817,4.84417802,3.66524283,21.342599868774414,66
112400048491200076,4.84891124,3.66638433,20.581600189208984,2
112400048443595687,4.84436214,3.67092762,-999.0,2
112400048514252399,4.85129422,3.66819347,-999.0,4
112440048224176409,4.82244836,3.70497197,20.56800079345703,59
112430048234709006,4.82346165,3.69879717,19.399999618530273,2
112430048251029884,4.82494215,3.69952811,-999.0,2
112420048207395586,4.82075078,3.68759879,-999.0,2
112420048203105237,4.82039427,3.68739815,-999.0,2
112420048203839079,4.82041974,3.69049659,-999.0,2
112420048282406006,4.82827527,3.68796503,16.18090057373047,2
112420048275146394,4.82746079,3.68829041,-999.0,2
112420048270945549,4.82725148,3.68762604,-999.0,3
112430048216200896,4.82164404,3.6920165,20.365400314331055,2
112430048198042468,4.81982503,3.69333919,-999.0,2
112250049984157092,4.99822193,3.54709589,-999.0,2
112240050060885868,5.00625786,3.53784856,-999.0,11
112240050063875971,5.00631809,3.5378841,20.565000534057617,47
112240049998686422,5.00004785,3.53831922,-999.0,2
112240050001026675,5.0001337,3.53844114,20.152799606323242,23
112240049999546766,4.9999763,3.53851599,20.520999908447266,7
112240050002666367,5.000204,3.53835322,20.53260040283203,17
112260049986362486,4.99861632,3.55168909,22.08169937133789,2
112260050055061084,5.00532705,3.5504621,-999.0,2
112260050116060798,5.01160925,3.55028557,-999.0,2
112260050094684194,5.00954645,3.55299909,-999.0,2
112250050170566004,5.01704907,3.54625535,-999.0,32
112250050127943532,5.01287166,3.54411615,-999.0,2
112250050080889142,5.00800168,3.5490848,-999.0,2
112250050109195333,5.01093638,3.54571334,-999.0,2
112310048296695948,4.82971007,3.59623297,20.936800003051758,62
112310048251561686,4.82514265,3.59261818,-999.0,2
112310048392686783,4.83937382,3.5968723,21.379499435424805,17
112310048384235126,4.83849115,3.5955901,-999.0,3
112310048331916905,4.83317403,3.59703821,-999.0,2
112300048317058978,4.83171828,3.59038707,21.513500213623047,9
112450047649082155,4.76494121,3.7097268,20.377099990844727,72
112470047549463754,4.75497591,3.7277145,20.70669937133789,56
112470047546381378,4.75485933,3.7255344,-999.0,2
112390048518260025,4.85186645,3.65800868,21.095800399780273,57
112370048633307425,4.86320067,3.64742522,-999.0,2
112390048225755424,4.82259492,3.6623992,22.28510093688965,5
112390048296685965,4.82976107,3.66292269,-999.0,2
112390048251662827,4.82502621,3.66026802,21.398099899291992,23
112390048250502440,4.8250783,3.6601385,-999.0,4
112380048414032026,4.84140366,3.65131388,-999.0,2
112380048411130950,4.84116782,3.65040891,-999.0,5
112380048336432769,4.83371431,3.6516609,-999.0,2
112390048403175256,4.84032399,3.66230902,21.468000411987305,32
112390048385790564,4.83860721,3.65840306,18.49799919128418,75
112490050008765102,5.00089913,3.74554331,-999.0,9
112470050031978213,5.00321516,3.73147139,-999.0,2
112470050038538160,5.00372976,3.73132577,21.340700149536133,2
112470050017868578,5.00179768,3.7317514,21.02039909362793,8
112480050097215152,5.00963787,3.73724645,-999.0,2
112450050049293954,5.00500521,3.71115877,-999.0,2
112450050092982236,5.00934313,3.70976138,20.567800521850586,64
112470049984475158,4.99848377,3.72895161,-999.0,3
112460049981457263,4.99800906,3.72255301,21.662200927734375,2
112550049301793335,4.93019642,3.79412789,-999.0,2
112540049302794900,4.93029591,3.7870567,-999.0,2
112550049300640897,4.93009909,3.79211688,-999.0,2
112550049275092406,4.92764704,3.79336492,-999.0,2
112540049204849176,4.92041394,3.79054959,-999.0,2
112500049488539199,4.94887249,3.75723544,-999.0,2
112510049525812912,4.95261143,3.76037508,-999.0,2
112510049517782476,4.95177813,3.75994656,20.37190055847168,64
112510049470912110,4.94712829,3.75974929,-999.0,2
112510049491814272,4.94922229,3.76160278,-999.0,2
112510049507179974,4.95070012,3.7661879,-999.0,2
112500048031465821,4.80316658,3.75444502,-999.0,2
112500048011828777,4.80114095,3.7569287,-999.0,4
112500047966696938,4.79664358,3.75537953,21.461000442504883,68
112510047956403994,4.79560944,3.76119553,21.172399520874023,2
112520047907716734,4.79074501,3.7718112,-999.0,2
112510047974509924,4.79743511,3.76622577,21.427400588989258,17
112520047927677638,4.79276858,3.77248763,-999.0,2
112520047785549310,4.77853393,3.7740058,-999.0,5
112520047804424564,4.78065668,3.76993923,20.430099487304688,43
112520047807297317,4.78078747,3.77217135,-999.0,2
112520047800866887,4.78009467,3.77201401,-999.0,2
112520047827741746,4.78278403,3.76772191,-999.0,2
112510047847429840,4.78490537,3.76613248,-999.0,2
112520047870347119,4.78713125,3.77230889,-999.0,6
112520047859716888,4.78594567,3.77202498,19.678699493408203,2
112520047845965593,4.78456905,3.77096626,-999.0,2
112520047854935110,4.78546898,3.77043794,-999.0,2
112520047875025957,4.78729218,3.77122487,20.2283992767334,2
112430050663339603,5.06633223,3.69927171,-999.0,31
112440050669413938,5.06696013,3.70290552,-999.0,2
112430050682630425,5.06829565,3.69161628,20.70050048828125,50
112420050659578058,5.06591085,3.68965314,21.65530014038086,9
112430050697480132,5.06977158,3.69141986,21.27280044555664,30
112430049705870387,4.97062531,3.6916065,-999.0,3
112430049671695531,4.96716279,3.69590384,-999.0,8
112430049706654352,4.97070655,3.69483942,-999.0,2
112160048574796761,4.85759761,3.47211425,-999.0,4
112160048595357076,4.85951578,3.47225509,13.250200271606445,6
112160048590427505,4.85898576,3.47238843,-999.0,68
112160048587306892,4.85882852,3.47211277,13.298800468444824,3
112160048580567535,4.85819832,3.47274609,-999.0,3
112170048523522453,4.85239673,3.476669,19.002700805664062,75
112170048560142056,4.85604584,3.47628733,-999.0,2
112170048586452499,4.85863143,3.47680011,-999.0,2
112170048587972985,4.85873343,3.47723979,-999.0,2
112180048523422404,4.85238987,3.48496494,21.351900100708008,25
112180048200612004,4.82009161,3.48473015,-999.0,3
112180048192793248,4.81941138,3.485604,-999.0,2
112180048227262044,4.8227827,3.48465922,-999.0,32
112180048249113221,4.82490793,3.48569718,-999.0,2
112180048261942061,4.82612347,3.48481194,19.337600708007812,2
112180048246983000,4.82475668,3.48544658,-999.0,4
112160048394820360,4.83952112,3.46665369,22.473600387573242,40
112180048305293858,4.83053373,3.48618718,-999.0,2
112170048307565585,4.83076972,3.47927934,-999.0,5
112460047820354609,4.78212249,3.72008626,-999.0,2
112450047864218849,4.78636886,3.71532061,21.59429931640625,19
112450047847536144,4.78487263,3.71299072,-999.0,2
112450048183192044,4.81848835,3.70939761,18.909099578857422,2
112470047984233578,4.79844807,3.72759342,-999.0,2
112470048000913581,4.80012616,3.7275968,18.141399383544922,2
112470048021740744,4.80214383,3.72524293,-999.0,2
112460048037187741,4.80375752,3.72277454,-999.0,2
112450048011716769,4.80123536,3.71357099,20.337799072265625,25
112450048009415431,4.80093501,3.71242049,-999.0,3
112460047990983243,4.79911676,3.71897328,20.967899322509766,60
112450048059956333,4.80597241,3.71329163,-999.0,2
112450048046996175,4.80473806,3.71287917,-999.0,4
112450048065025984,4.80653132,3.71292215,16.965099334716797,83
112450048070948685,4.80700041,3.71527711,20.426000595092773,3
112460048031021196,4.80330926,3.71743589,20.528200149536133,2
112430047779616599,4.77799923,3.69678458,-999.0,2
112430047787074158,4.778765,3.6946905,-999.0,2
112400047792704551,4.77918202,3.67000601,-999.0,4
112400047786744512,4.77870689,3.67007522,-999.0,2
112390047946599114,4.79466928,3.66553077,-999.0,2
112400047921670073,4.79219952,3.66631855,15.934700012207031,81
112400047912324652,4.79105683,3.67002,-999.0,2
112410047785301854,4.77858365,3.67614874,22.154499053955078,2
112410047786143133,4.77857672,3.67720075,-999.0,3
112410047795222632,4.77947545,3.67684746,-999.0,2
112400047795306776,4.77947475,3.67191058,-999.0,2
112400047794555765,4.77958154,3.67107166,-999.0,2
112400047786487480,4.77893824,3.67245638,-999.0,2
112390047861208334,4.78604529,3.66501065,-999.0,2
112530048310105031,4.83099796,3.77880826,21.096200942993164,71
112540048287262438,4.82888534,3.78514914,21.942899703979492,4
