objID,raMean,decMean,rMeanKronMag,nDetections
105300422875675406,42.28758476,-2.24587797,20.25950050354004,47
105320422829759867,42.28290786,-2.22553617,-999.0,7
105310422850448953,42.28507594,-2.23460579,21.27280044555664,49
105320422889497002,42.28901504,-2.22788194,19.559200286865234,54
105320422893966967,42.28941475,-2.2278563,19.391300201416016,2
105320422845075324,42.28457247,-2.22926351,21.63249969482422,2
105250422352880999,42.23526383,-2.2911066,20.63279914855957,2
105240422352999549,42.23533855,-2.29252991,-999.0,2
105250422394356395,42.23948403,-2.28665745,-999.0,2
105250422367284005,42.23674082,-2.28868148,21.273500442504883,2
105270419814680241,41.98151805,-2.27513329,19.756500244140625,72
105260419784791154,41.97849204,-2.28274083,-999.0,2
105260419855280201,41.98556785,-2.28361013,-999.0,2
105260419811821593,41.98125252,-2.28235721,21.188199996948242,59
105250419777677751,41.97784136,-2.28544007,-999.0,2
105250420073081120,42.00748382,-2.29107182,-999.0,2
105260420034609370,42.00339681,-2.27571698,-999.0,2
105260420032879735,42.00335856,-2.27560253,19.457799911499023,81
105270420046160135,42.0046524,-2.27518948,-999.0,2
105240419965087422,41.99649443,-2.29416572,21.66029930114746,16
105250419973757074,41.99741914,-2.28606751,19.665800094604492,67
105250419948665337,41.99494223,-2.2875636,20.593000411987305,50
105250419954795700,41.99553368,-2.2872808,-999.0,2
105250420062149303,42.0063143,-2.28421791,-999.0,2
105250420062876629,42.00625842,-2.28647992,21.774499893188477,7
105290420004179748,42.00047961,-2.25055447,-999.0,2
105290419938560388,41.99391004,-2.2584119,20.746999740600586,69
105290419946262153,41.99473645,-2.25682259,21.18239974975586,50
105460419106304893,41.91071437,-2.11298227,-999.0,2
105460419116496949,41.9117323,-2.11091277,-999.0,2
105440418879548643,41.88803212,-2.12650531,-999.0,2
105440418874898269,41.88761299,-2.1268433,21.33209991455078,3
105450418875551760,41.88755726,-2.12390819,-999.0,3
105450418877491191,41.88785742,-2.12436883,17.715700149536133,66
105450418925078584,41.89263177,-2.11818739,-999.0,2
105460418884030214,41.88859276,-2.11687443,-999.0,2
105450418861197725,41.8861875,-2.11888664,20.271499633789062,71
105450418901369414,41.89021936,-2.11753857,20.26059913635254,3
105470419009532048,41.90086955,-2.10690509,-999.0,2
105460418933199592,41.89339089,-2.10900498,21.12619972229004,27
105250420136010743,42.01363238,-2.29140094,21.84320068359375,13
105250420108410123,42.01091868,-2.29191968,19.116199493408203,69
105280421024508517,42.1024938,-2.25994409,18.861499786376953,70
105290421040781238,42.10412135,-2.25767828,-999.0,2
105280421057929590,42.10582105,-2.258979,-999.0,2
105290421057540952,42.10575398,-2.25794541,19.829200744628906,75
105280421112586513,42.11128446,-2.26161446,-999.0,8
105280421103456291,42.11031909,-2.26179692,21.299999237060547,36
105460420947390620,42.09456069,-2.11646476,-999.0,3
105450420892591954,42.0892488,-2.12378152,20.491600036621094,63
105440420961207692,42.09610861,-2.12729858,-999.0,11
105460420980940517,42.09814406,-2.11657648,20.212900161743164,63
105450420965943823,42.09666904,-2.12218776,21.43160057067871,27
105410420714449180,42.07150442,-2.15104138,19.652299880981445,87
105540421652169144,42.16530214,-2.0428891,-999.0,4
105550421648922948,42.16495084,-2.03954342,20.982900619506836,2
105530421657991058,42.16569449,-2.0578147,-999.0,2
105500421645949492,42.16464715,-2.07582215,17.862199783325195,72
105510421708917815,42.17093575,-2.06884514,20.2322998046875,61
105510421690603005,42.16888623,-2.07271811,-999.0,2
105510421691414578,42.16901425,-2.07142152,-999.0,2
105510421408106480,42.14087032,-2.06997966,-999.0,39
105520421486963201,42.14874273,-2.06432739,-999.0,10
105480421530707810,42.15313342,-2.0938992,-999.0,2
105050419542196677,41.95413278,-2.4532014,-999.0,2
105050419550563847,41.95512166,-2.45551801,-999.0,2
105050419540543765,41.95423622,-2.45556071,-999.0,2
105040419511096432,41.95113455,-2.46166659,20.852699279785156,54
105050419527820913,41.95289948,-2.45805405,19.296899795532227,3
105050419516773660,41.95170468,-2.45562889,21.107999801635742,18
105040419388703661,41.93891391,-2.46393395,-999.0,3
105020419482239965,41.94821163,-2.47541186,-999.0,2
105030419477256072,41.94769636,-2.47029855,-999.0,2
105060419564926076,41.95660372,-2.44531543,-999.0,2
105140421671676619,42.16725372,-2.37814736,-999.0,28
105140421675579486,42.16759424,-2.37578716,20.561100006103516,67
105180421924737937,42.19258835,-2.34381963,-999.0,2
105180421924856215,42.19249742,-2.34525312,21.331899642944336,39
105180421947174661,42.19457928,-2.34645824,20.444799423217773,2
105180421883897847,42.18838852,-2.34378396,-999.0,2
105170421907098618,42.19079712,-2.35145761,-999.0,2
105180421767925650,42.17681766,-2.3456287,20.51759910583496,58
105170421774604986,42.17756092,-2.35452263,21.563199996948242,20
105170421790597328,42.17910632,-2.352536,21.56439971923828,26
105180421816164148,42.18165141,-2.34690152,17.836599349975586,72
105180421831796175,42.18317281,-2.34523924,-999.0,2
105180421797821329,42.17982327,-2.3492471,-999.0,2
105170421845120157,42.18448321,-2.35858316,-999.0,3
105170421859808678,42.18590745,-2.35149956,21.779600143432617,3
105180421605256632,42.16058747,-2.34488211,-999.0,2
105180421569103878,42.15697488,-2.34716534,21.37619972229004,15
105170421643472895,42.16440457,-2.35629785,18.191200256347656,65
105160421620909319,42.16216168,-2.35923149,20.727500915527344,38
105170421626250352,42.16267481,-2.35841863,20.670900344848633,63
105170421575972233,42.15770174,-2.35686405,-999.0,2
105280419623960945,41.96239086,-2.26620096,21.581899642944336,13
105280419688936590,41.96888677,-2.26149964,-999.0,3
105280419650123766,41.96507067,-2.26387604,-999.0,6
105290419712184680,41.97115132,-2.25484164,-999.0,2
105280419673248560,41.96715076,-2.25982773,-999.0,2
105290419770715051,41.97690165,-2.25437094,-999.0,2
105390421179522268,42.11803495,-2.17347153,20.507400512695312,28
105390421199574333,42.11996017,-2.17166459,-999.0,2
105390421191773766,42.11927133,-2.1721989,18.608299255371094,62
105390421193994006,42.119341,-2.172141,-999.0,2
105390421163457092,42.11638401,-2.16945683,18.827699661254883,2
105390421182809626,42.11833906,-2.16737681,-999.0,8
105390421159529713,42.11584673,-2.16737116,-999.0,2
105400421191760352,42.11894683,-2.16682332,-999.0,4
105400421188640292,42.11896866,-2.16683118,21.22260093688965,31
105410421252161576,42.125265,-2.1574426,21.60449981689453,20
105400421249785991,42.12506998,-2.16194612,-999.0,2
105410421224493482,42.12250385,-2.1557958,-999.0,2
105400421170856233,42.11711027,-2.16185365,20.591699600219727,61
105400421193216818,42.11938425,-2.16136064,-999.0,21
105390421261925378,42.12623311,-2.17094964,-999.0,2
