objID,raMean,decMean,rMeanKronMag,nDetections
105250419875780658,41.9875602,-2.29146137,20.55970001220703,60
105290419946262153,41.99473645,-2.25682259,21.18239974975586,50
105270419937544729,41.9938428,-2.27142464,20.603099822998047,78
105270419913356563,41.991396,-2.26987787,16.52560043334961,84
105270420041337589,42.00410921,-2.26906008,19.01099967956543,3
105270419975666952,41.99763103,-2.26950941,21.331199645996094,46
105270420027279543,42.00276677,-2.26736852,19.201499938964844,2
105270419940946652,41.99415265,-2.26982634,21.222000122070312,70
105280420009196586,42.00096412,-2.26153332,20.920799255371094,59
105260419961797989,41.9962595,-2.2770421,20.494400024414062,60
105260419992363733,41.99928281,-2.28057187,-999.0,2
105270419846430671,41.98467422,-2.27475632,20.516700744628906,57
105270419919150774,41.99193831,-2.27470843,20.6156005859375,54
105260419879307533,41.98797598,-2.27744811,-999.0,16
105250420144772921,42.01449619,-2.28961636,21.720500946044922,29
105260420183865483,42.01849052,-2.2790897,20.456199645996094,72
105270420217952565,42.02186097,-2.27322289,21.169300079345703,63
105270420070360342,42.00711718,-2.27510254,21.464399337768555,58
105270420105013256,42.01061955,-2.27261001,-999.0,2
105260420121118570,42.01224889,-2.2764836,-999.0,4
105270420140940939,42.01407517,-2.27462823,-999.0,2
105260420138577149,42.01381261,-2.27760925,20.935800552368164,12
105260420099672705,42.00997889,-2.28144574,21.003400802612305,66
105260420123952534,42.01242275,-2.28146162,20.462200164794922,15
105260420125352938,42.01251105,-2.28121084,-999.0,3
105260420120262915,42.01210368,-2.2813385,20.424699783325195,4
105260420176591374,42.01786311,-2.28256683,-999.0,2
105260420161541869,42.01620794,-2.28213384,-999.0,2
105270420080995953,42.0079554,-2.27040445,-999.0,2
105270420077436329,42.00787839,-2.27008167,-999.0,2
105270420084635722,42.00852629,-2.27052405,20.32029914855957,70
105270420084815356,42.00842969,-2.27087882,-999.0,2
105270420113004309,42.01138075,-2.27184087,21.843000411987305,15
105270420125287714,42.01261298,-2.26888259,20.343900680541992,81
105270420240568617,42.02409987,-2.26818527,20.462299346923828,74
105390419835348305,41.98352526,-2.16832744,20.273399353027344,10
105380419778419361,41.97800669,-2.1758826,-999.0,2
105390419817313342,41.98172962,-2.17256568,20.308900833129883,2
105390419814423576,41.98150134,-2.17239051,21.129600524902344,53
105380419652831226,41.9652983,-2.18268199,20.670499801635742,5
105100419618739406,41.96194458,-2.40892415,-999.0,2
105120419003806090,41.90048531,-2.39538098,20.438800811767578,17
105120419117260009,41.91183797,-2.40041888,20.972200393676758,42
105080419131432981,41.91319594,-2.43120443,15.681900024414062,57
105090419167215997,41.91671846,-2.42030726,19.861799240112305,2
105090419167058022,41.91681465,-2.41874852,20.69930076599121,47
105090419171628299,41.91679775,-2.41871006,-999.0,2
105100419185041179,41.91848203,-2.41602449,21.029800415039062,31
105090419162169117,41.91625467,-2.41765527,-999.0,2
105430418982605664,41.89834325,-2.1372964,20.706300735473633,64
105440418947206955,41.89475297,-2.1279099,-999.0,2
105440419061879557,41.90627225,-2.12564394,-999.0,2
105450419055568287,41.90568185,-2.11848194,-999.0,10
105440419004007422,41.90057218,-2.12761078,-999.0,2
105440419007939202,41.90092723,-2.12610896,-999.0,2
105450419050133415,41.90509812,-2.12258695,-999.0,2
105450419031361618,41.90332963,-2.12391361,20.585899353027344,17
105450419034131774,41.90340962,-2.12381069,20.562000274658203,10
105450419049522979,41.90502852,-2.12290065,19.076000213623047,67
105450419028519131,41.90280352,-2.11784827,-999.0,2
105450419040339804,41.90415931,-2.11733872,20.648300170898438,8
105450419021233418,41.90218142,-2.12257084,-999.0,2
105450419016522884,41.90172314,-2.12295194,20.153600692749023,64
105450419012195557,41.90125531,-2.12088864,20.66629981994629,25
105450419013255168,41.90125035,-2.12089165,20.62579917907715,20
105370418650152368,41.86509435,-2.18999325,-999.0,2
105360418632679596,41.8633476,-2.19235473,-999.0,2
105380418714966925,41.87158023,-2.17791697,14.004799842834473,82
105380418653258233,41.86535841,-2.17690288,-999.0,2
105380418666946416,41.86680144,-2.17847502,20.92530059814453,3
105170418600450496,41.86012818,-2.35823467,-999.0,3
105160418626888063,41.86280125,-2.36022923,21.532699584960938,6
105240419610376695,41.96106313,-2.29465966,-999.0,2
105260419620272102,41.96205968,-2.28181812,19.265100479125977,2
105250419544100574,41.95444058,-2.29153738,18.043399810791016,58
105250419517826624,41.95196358,-2.28664882,-999.0,10
105250419519606295,41.95198761,-2.28670928,21.292800903320312,2
105240419494619618,41.94951947,-2.29233493,-999.0,2
105250419552355875,41.95529283,-2.28710522,21.296499252319336,15
105280419506509231,41.95075196,-2.25940041,-999.0,4
105290419566472598,41.95667617,-2.25652638,-999.0,2
105270419604497302,41.96051145,-2.26926638,-999.0,2
105170419301890744,41.93024625,-2.35799912,20.950599670410156,22
105150419171727023,41.91722059,-2.36952113,21.613100051879883,5
105130419204232937,41.92032179,-2.38946663,-999.0,2
105140419194432124,41.91945398,-2.38193079,21.85260009765625,15
105140419241921227,41.92420134,-2.38265025,21.837200164794922,7
105140419280686742,41.92815548,-2.37800659,-999.0,2
105140419252005579,41.92527298,-2.37901737,21.18790054321289,2
105140419256119296,41.92567274,-2.37594582,-999.0,8
105130419809110666,41.98099652,-2.39145413,-999.0,3
105130419822157042,41.98229407,-2.3861287,21.395299911499023,31
105250418737723083,41.87384734,-2.28943661,19.732900619506836,62
105250418743795423,41.87444383,-2.28747881,-999.0,2
105260418721649558,41.87223242,-2.27568917,21.882600784301758,16
105260418675362824,41.86760561,-2.28139748,21.56100082397461,27
105260418722681763,41.87234975,-2.28218992,19.196199417114258,64
105260418724192093,41.87237218,-2.28194439,-999.0,2
105260418714964487,41.87159821,-2.27993061,-999.0,2
105250418682744804,41.86833903,-2.28800769,20.14189910888672,65
105290418644421826,41.8645263,-2.25718477,21.8302001953125,6
105280418692419252,41.86931413,-2.25932132,21.683900833129883,15
105280418694692015,41.86968972,-2.26534085,20.38089942932129,46
105270418657409105,41.86578352,-2.26777947,-999.0,2
105090420805050232,42.08054705,-2.42516011,21.523700714111328,10
105070420662507405,42.06630444,-2.43584312,18.2677001953125,71
105070420728078131,42.07294051,-2.43526186,20.092199325561523,43
105080420705274284,42.07046457,-2.43005514,-999.0,2
105080420700341161,42.06996833,-2.43277319,-999.0,2
105070420739023816,42.0740854,-2.43868808,19.048999786376953,2
105070420731818283,42.07318045,-2.43517664,-999.0,5
105080420811036813,42.08118865,-2.42802002,21.42140007019043,27
105080420782843955,42.07828965,-2.43035142,19.563100814819336,67
105080420799505519,42.07985997,-2.42896739,20.73080062866211,9
105080420798865918,42.07982517,-2.42884924,20.785200119018555,27
105080420749461360,42.07502785,-2.43258552,20.87030029296875,51
105080420616874852,42.0615882,-2.42967619,-999.0,2
105090420711816802,42.07110466,-2.41969153,-999.0,2
105090420700107467,42.07006202,-2.41913793,-999.0,2
105100420620190101,42.06205181,-2.41692802,21.117000579833984,45
105100420684851499,42.06857062,-2.41573947,-999.0,2
105100420663220346,42.06630171,-2.41686651,-999.0,2
105090420665527190,42.06653144,-2.41934034,20.83839988708496,61
105080420625849464,42.06265208,-2.42581753,-999.0,2
105440421221732117,42.12213264,-2.13189182,21.349000930786133,42
105440421109153328,42.11089741,-2.1308102,20.14859962463379,4
105430421194869661,42.11944964,-2.13403359,21.32939910888672,36
105430421121702628,42.11210042,-2.13992569,-999.0,2
105450421116970989,42.11174557,-2.12457457,19.886699676513672,65
105450421124942051,42.11243644,-2.12358565,-999.0,2
105360421257395546,42.12579833,-2.19573421,21.74679946899414,23
105370421265221676,42.12652425,-2.19063423,20.454700469970703,2
105370421225654230,42.12262035,-2.18850675,21.08169937133789,2
105380421351234332,42.13507353,-2.18003315,-999.0,3
105380421318035516,42.131914,-2.17907099,-999.0,2
105380421552577840,42.15524252,-2.17720939,20.733299255371094,2
105380421568544112,42.15682829,-2.1803413,21.143999099731445,2
105380421562832979,42.15628819,-2.18120744,-999.0,2
105380421548965533,42.15500126,-2.17910295,-999.0,2
105380421550376342,42.1551036,-2.17868262,20.70490074157715,3
105380421432878440,42.14326272,-2.17669378,-999.0,25
105380421459672700,42.14601326,-2.18163957,18.76930046081543,2
105380421425883869,42.14264013,-2.18049718,21.022199630737305,14
105370421433734156,42.14338251,-2.18862744,21.363399505615234,27
105370421480050300,42.14811169,-2.19171599,21.683300018310547,12
105380421468330127,42.14684637,-2.18361418,20.64539909362793,63
105370421474897087,42.14755543,-2.186133,20.40719985961914,72
105370421485579115,42.14860836,-2.18444024,-999.0,30
105360421770281334,42.17708941,-2.19926698,19.830900192260742,73
105360421759600455,42.17600589,-2.20000323,21.205900192260742,2
105360421868901805,42.18696249,-2.19886657,20.040800094604492,53
105240421626953611,42.16275559,-2.29744021,21.490699768066406,32
105230421594868654,42.1594697,-2.3015323,-999.0,9
105230421554961507,42.15557187,-2.30745009,-999.0,3
105240421537140598,42.15373534,-2.29986287,20.93939971923828,53
105190421575748081,42.15762596,-2.33527351,21.90959930419922,10
105200421607556002,42.16079993,-2.3286442,-999.0,2
105200421611895923,42.16104953,-2.32883096,19.694499969482422,69
105210421493503442,42.14937298,-2.32250668,21.425100326538086,43
105200421512576767,42.15132281,-2.32797539,-999.0,2
105210421526513676,42.15265973,-2.32228988,-999.0,4
105200421574446274,42.15744355,-2.32847131,21.8794002532959,7
105360420987187451,42.09882874,-2.19405211,18.946500778198242,2
105360420965549067,42.09658558,-2.1928859,-999.0,2
105360420954876561,42.09561076,-2.19498099,21.014400482177734,2
105370420966716925,42.09670446,-2.18626285,-999.0,2
105370420931770849,42.09320937,-2.19133219,20.555099487304688,70
105370420951052997,42.09517672,-2.18957926,-999.0,8
105370420911423693,42.0912621,-2.18893044,19.234399795532227,2
105370420885082390,42.08856302,-2.19011932,20.42259979248047,64
105360420919434299,42.09197625,-2.19675225,-999.0,2
105360420904266729,42.0904422,-2.19480699,-999.0,2
105360420906327721,42.09067148,-2.1939305,19.115999221801758,2
105370421011601281,42.10141948,-2.19103634,19.681400299072266,3
105160418944846443,41.89451353,-2.36141738,-999.0,2
105160418976527248,41.8976512,-2.36101463,-999.0,2
105160418949428083,41.8950422,-2.36026516,-999.0,2
