# Mask name, center:
RMJ0003B           0:03:50.05   10:04:22.1  2000.0 PA=-140.0 ##

#  Guider center:    0:03:41.78   10:03:51.1

# Selected Objects:

8306828966       00:03:19.371 +09:55:25.47 2000.0 20.49 r 5134 1 0 -98
8309312854       00:03:19.430 +09:55:07.14 2000.0 20.39 r 2731 1 0 -98
8470876028       00:03:23.304 +09:55:16.54 2000.0 21.54 r  562 1 0 -98
8495189337       00:03:23.897 +09:55:26.43 2000.0 21.01 r 5164 1 0 -98
8633669793       00:03:27.231 +09:55:27.22 2000.0 21.68 r  895 1 0 -98
8876129398       00:03:33.038 +09:55:26.28 2000.0 21.41 r  815 1 0 -98
9128563239       00:03:39.104 +09:55:08.14 2000.0 21.09 r  102 1 0 -98
9132460358       00:03:39.142 +09:55:00.44 2000.0 19.05 r   35 1 0 -98
9140717756       00:03:39.395 +09:55:21.50 2000.0 21.49 r 2711 1 0 -98
9246349801       00:03:41.913 +09:55:27.72 2000.0 21.57 r  814 1 0 -98
9611444111       00:03:50.680 +09:55:10.60 2000.0 21.27 r  531 1 0 -98
9867066289       00:03:56.814 +09:55:17.21 2000.0 21.74 r   37 1 0 -98
9948717292       00:03:58.774 +09:55:20.24 2000.0 21.12 r 1059 1 0 -98
0150563673       00:04:03.618 +09:55:09.46 2000.0 21.87 r  126 1 0 -98
8412023898       00:03:21.906 +09:55:39.91 2000.0 21.29 r 1683 1 0 -98
8508783234       00:03:24.218 +09:55:38.29 2000.0 21.49 r  145 1 0 -98
8697272963       00:03:28.733 +09:55:37.44 2000.0 20.62 r 3251 1 0 -98
9201414901       00:03:40.846 +09:55:43.21 2000.0 20.75 r 3539 1 0 -98
9207011256       00:03:40.986 +09:55:31.85 2000.0 21.22 r 1810 1 0 -98
9209354533       00:03:41.033 +09:55:42.04 2000.0 20.75 r 2119 1 0 -98
9403268148       00:03:45.683 +09:55:52.74 2000.0 21.07 r 1176 1 0 -98
9926589522       00:03:58.229 +09:55:56.95 2000.0 21.68 r  231 1 0 -98
0207561418       00:04:04.958 +09:55:32.69 2000.0 21.83 r  536 1 0 -98
0529811279       00:04:12.713 +09:55:32.11 2000.0 20.52 r 2458 1 0 -98
0642585689       00:04:15.418 +09:55:45.51 2000.0 21.65 r  748 1 0 -98
0936406955       00:04:22.486 +09:55:49.15 2000.0 20.43 r 3467 1 0 -98
8329254438       00:03:19.899 +09:54:41.89 2000.0 20.62 r 1436 1 0 -98
9133949604       00:03:39.228 +09:54:57.25 2000.0 19.97 r 1573 1 0 -98
9177250613       00:03:40.260 +09:54:30.35 2000.0 19.65 r    4 1 0 -98
9374374390       00:03:44.999 +09:54:41.59 2000.0 21.72 r  576 1 0 -98
9657197748       00:03:51.771 +09:54:51.71 2000.0 20.78 r 4172 1 0 -98
0108450192       00:04:02.578 +09:54:29.08 2000.0 21.71 r  235 1 0 -98
0146298104       00:04:03.523 +09:54:52.28 2000.0 21.45 r  565 1 0 -98
0196004751       00:04:04.709 +09:54:42.81 2000.0 20.61 r 5134 1 0 -98
0204033432       00:04:04.892 +09:54:38.79 2000.0 20.57 r 3898 1 0 -98
0229875375       00:04:05.489 +09:54:44.48 2000.0 21.46 r  434 1 0 -98
9088295000       00:03:38.117 +09:57:13.52 2000.0 21.72 r  420 1 0 -98
9396227942       00:03:45.511 +09:57:22.31 2000.0 21.17 r 2193 1 0 -98
9488089382       00:03:47.707 +09:57:26.21 2000.0 21.45 r  592 1 0 -98
9711874210       00:03:53.081 +09:57:11.06 2000.0 19.47 r   21 1 0 -98
0206822620       00:04:04.962 +09:57:06.00 2000.0 21.34 r  877 1 0 -98
8513424743       00:03:24.353 +09:57:42.33 2000.0 21.38 r  827 1 0 -98
8819181505       00:03:31.669 +09:57:32.94 2000.0 21.88 r  402 1 0 -98
9370642271       00:03:44.885 +09:57:35.13 2000.0 21.43 r   68 1 0 -98
9588628192       00:03:50.121 +09:57:52.84 2000.0 20.95 r  700 1 0 -98
9796860560       00:03:55.122 +09:57:29.99 2000.0 21.06 r  879 1 0 -98
0319651706       00:04:07.699 +09:57:33.40 2000.0 21.22 r  851 1 0 -98
9411740155       00:03:45.889 +09:56:28.79 2000.0 20.87 r 1462 1 0 -98
9437695764       00:03:46.503 +09:56:45.75 2000.0 21.28 r  639 1 0 -98
9544001414       00:03:49.078 +09:56:32.85 2000.0 21.24 r  294 1 0 -98
9862577922       00:03:56.693 +09:56:52.46 2000.0 21.46 r  641 1 0 -98
9883514731       00:03:57.206 +09:56:42.51 2000.0 21.83 r  187 1 0 -98
9905560331       00:03:57.742 +09:56:29.22 2000.0 21.16 r 3267 1 0 -98
0721989456       00:04:17.333 +09:56:56.31 2000.0 21.89 r  429 1 0 -98
8944069469       00:03:34.671 +09:58:56.87 2000.0 21.36 r 1041 1 0 -98
9377873597       00:03:45.095 +09:58:39.16 2000.0 20.30 r 3576 1 0 -98
9606720276       00:03:50.584 +09:58:29.25 2000.0 21.03 r 1902 1 0 -98
9677810779       00:03:52.254 +09:58:30.84 2000.0 21.62 r  447 1 0 -98
9679601986       00:03:52.319 +09:58:34.48 2000.0 21.13 r 1818 1 0 -98
8368714797       00:03:20.868 +09:58:12.64 2000.0 21.07 r 1892 1 0 -98
0354706462       00:04:08.512 +09:58:17.62 2000.0 21.49 r  673 1 0 -98
8480433344       00:03:23.569 +09:56:08.80 2000.0 21.20 r  596 1 0 -98
8561153464       00:03:25.476 +09:56:08.80 2000.0 21.53 r  989 1 0 -98
8607553762       00:03:26.582 +09:56:09.56 2000.0 22.02 r  317 1 0 -98
9212829546       00:03:41.115 +09:56:26.90 2000.0 20.48 r 3391 1 0 -98
9411142290       00:03:45.855 +09:56:05.46 2000.0 20.95 r 2438 1 0 -98
9434242537       00:03:46.409 +09:56:05.87 2000.0 21.48 r  353 1 0 -98
9457712922       00:03:46.983 +09:56:07.08 2000.0 21.34 r 1051 1 0 -98
9932901818       00:03:58.380 +09:56:04.02 2000.0 21.44 r  800 1 0 -98
8470252592       00:03:23.297 +10:00:06.27 2000.0 19.66 r 1140 1 0 -98
9191564573       00:03:40.596 +10:00:12.15 2000.0 20.95 r 5007 1 0 -98
9266116675       00:03:42.387 +10:00:18.57 2000.0 21.37 r 1133 1 0 -98
9316602803       00:03:43.575 +10:00:06.95 2000.0 21.17 r 1569 1 0 -98
9394568667       00:03:45.450 +10:00:24.48 2000.0 22.05 r  390 1 0 -98
9885706482       00:03:57.257 +10:00:17.85 2000.0 18.98 r  570 1 0 -98
0451554844       00:04:10.835 +10:00:12.71 2000.0 20.68 r 1531 1 0 -98
