OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
9281604385,02:47:42.776,-02:19:48.16,2000.0,20.27,r,2314,1,1,39
9613637986,02:47:50.731,-02:19:37.27,2000.0,20.02,r,4073,1,1,39
9664315235,02:47:51.946,-02:19:45.58,2000.0,21.59,r,184,1,1,39
9918081720,02:47:58.050,-02:19:55.82,2000.0,20.70,r,406,1,1,39
0445692986,02:48:10.716,-02:14:52.39,2000.0,20.72,r,92,1,1,39
0460726394,02:48:11.043,-02:14:42.29,2000.0,21.42,r,663,1,1,39
0550499685,02:48:13.184,-02:14:31.65,2000.0,19.05,r,175,1,1,39
0674256346,02:48:16.217,-02:14:42.18,2000.0,20.07,r,3461,1,1,39
0900088276,02:48:21.607,-02:14:36.48,2000.0,18.11,r,248,1,1,39
1013401455,02:48:24.330,-02:14:56.97,2000.0,21.01,r,666,1,1,39
1414528269,02:48:33.951,-02:14:36.50,2000.0,19.55,r,11705,1,1,39
9046937673,02:47:37.131,-02:19:08.16,2000.0,20.18,r,5256,1,1,39
9480052437,02:47:47.552,-02:19:23.62,2000.0,20.42,r,2329,1,1,39
9678542654,02:47:52.308,-02:19:23.19,2000.0,21.40,r,19,1,1,39
0257826731,02:48:06.198,-02:14:11.18,2000.0,20.18,r,570,1,1,39
0737056562,02:48:17.691,-02:14:11.70,2000.0,21.12,r,271,1,1,39
9070678430,02:47:37.721,-02:18:35.74,2000.0,18.92,r,67,1,1,39
9263419382,02:47:42.338,-02:18:33.21,2000.0,18.03,r,147,1,1,39
1067683018,02:48:25.617,-02:13:52.19,2000.0,21.84,r,222,1,1,39
1111662905,02:48:26.693,-02:13:52.75,2000.0,18.65,r,13957,1,1,39
1382281330,02:48:33.180,-02:13:57.35,2000.0,18.76,r,7937,1,1,39
9524459547,02:47:48.567,-02:18:02.60,2000.0,19.64,r,2300,1,1,39
1122564413,02:48:26.936,-02:13:18.30,2000.0,20.12,r,921,1,1,39
1269950838,02:48:30.504,-02:13:28.77,2000.0,19.89,r,2692,1,1,39
1456666454,02:48:34.968,-02:13:11.96,2000.0,19.13,r,13689,1,1,39
9358892170,02:47:44.624,-02:17:54.72,2000.0,20.10,r,3536,1,1,39
9965087422,02:47:59.159,-02:17:39.00,2000.0,21.66,r,72,1,1,39
0192375369,02:48:04.639,-02:17:45.12,2000.0,18.77,r,11756,1,1,39
0343058988,02:48:08.239,-02:17:34.83,2000.0,22.22,r,184,1,1,39
0567492363,02:48:13.628,-02:12:54.16,2000.0,19.54,r,5830,1,1,39
1011818593,02:48:24.277,-02:12:35.93,2000.0,21.43,r,420,1,1,39
1357760267,02:48:32.596,-02:13:00.46,2000.0,21.46,r,36,1,1,39
0108410123,02:48:02.620,-02:17:30.91,2000.0,19.12,r,10039,1,1,39
0243069686,02:48:05.842,-02:17:02.29,2000.0,20.00,r,4021,1,1,39
0851900178,02:48:20.456,-02:12:30.81,2000.0,19.55,r,7083,1,1,39
1429154649,02:48:34.298,-02:12:17.57,2000.0,19.10,r,5715,1,1,39
