OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
9851352889,02:19:56.450,+01:22:36.65,2000.0,21.13,r,737,1,1,-42
9631068126,02:19:51.163,+01:23:23.12,2000.0,21.31,r,2231,1,1,-42
9732280477,02:19:53.584,+01:23:00.13,2000.0,22.08,r,90,1,1,-42
9956585681,02:19:58.972,+01:23:15.46,2000.0,20.89,r,1859,1,1,-42
0220976246,02:20:05.302,+01:23:47.25,2000.0,20.91,r,648,1,1,-42
9742240220,02:19:53.826,+01:23:59.31,2000.0,20.40,r,3482,1,1,-42
9885953053,02:19:57.266,+01:24:08.03,2000.0,21.65,r,33,1,1,-42
0225666275,02:20:05.417,+01:24:17.49,2000.0,21.12,r,853,1,1,-42
9654202147,02:19:51.705,+01:24:35.44,2000.0,21.19,r,963,1,1,-42
9957578919,02:19:58.970,+01:24:55.25,2000.0,21.02,r,1233,1,1,-42
9618989013,02:19:50.863,+01:20:55.72,2000.0,21.78,r,15,1,1,-42
9698205730,02:19:52.752,+01:21:16.11,2000.0,21.45,r,10,1,1,-42
9456641645,02:19:46.984,+01:25:03.69,2000.0,20.81,r,1101,1,1,-42
9752809693,02:19:54.077,+01:25:27.86,2000.0,21.54,r,708,1,1,-42
0230435628,02:20:05.518,+01:25:15.67,2000.0,21.72,r,30,1,1,-42
9463673033,02:19:47.142,+01:21:37.60,2000.0,20.36,r,3933,1,1,-42
9622709374,02:19:50.946,+01:21:56.83,2000.0,22.22,r,555,1,1,-42
9878256197,02:19:57.088,+01:21:47.18,2000.0,21.23,r,1424,1,1,-42
9731746422,02:19:53.565,+01:25:48.02,2000.0,20.99,r,866,1,1,-42
0144163571,02:20:03.459,+01:25:39.57,2000.0,21.21,r,534,1,1,-42
9547606997,02:19:49.152,+01:26:49.56,2000.0,21.42,r,839,1,1,-42
9807631721,02:19:55.374,+01:26:33.78,2000.0,21.80,r,278,1,1,-42
9816452293,02:19:55.603,+01:34:35.48,2000.0,20.51,r,2072,1,1,-42
9825090303,02:19:55.775,+01:34:29.18,2000.0,21.32,r,935,1,1,-42
9925494106,02:19:58.248,+01:34:41.11,2000.0,20.65,r,4784,1,1,-42
9943786908,02:19:58.662,+01:34:49.45,2000.0,21.17,r,1013,1,1,-42
9759893881,02:19:54.240,+01:30:40.26,2000.0,20.61,r,6343,1,1,-42
9785680244,02:19:54.846,+01:30:29.29,2000.0,18.94,r,11100,1,1,-42
9791576271,02:19:55.011,+01:30:47.37,2000.0,20.59,r,2679,1,1,-42
9893068200,02:19:57.436,+01:30:53.14,2000.0,19.64,r,7537,1,1,-42
9788303531,02:19:54.919,+01:22:09.20,2000.0,21.66,r,676,1,1,-42
0009369595,02:20:00.226,+01:22:27.60,2000.0,19.45,r,708,1,1,-42
9955890881,02:19:58.937,+01:26:01.41,2000.0,20.91,r,1462,1,1,-42
0115366777,02:20:02.771,+01:26:18.97,2000.0,21.00,r,74,1,1,-42
0133154101,02:20:03.185,+01:26:10.66,2000.0,20.71,r,364,1,1,-42
9522296577,02:19:48.536,+01:27:18.38,2000.0,19.60,r,11907,1,1,-42
9662919337,02:19:51.887,+01:27:26.77,2000.0,21.02,r,1577,1,1,-42
9843406662,02:19:56.242,+01:31:18.61,2000.0,20.80,r,1585,1,1,-42
9925551891,02:19:58.216,+01:31:04.24,2000.0,20.51,r,6971,1,1,-42
9577826247,02:19:49.857,+01:35:17.44,2000.0,20.84,r,906,1,1,-42
9700878204,02:19:52.818,+01:35:23.10,2000.0,19.44,r,3598,1,1,-42
9736872773,02:19:53.687,+01:35:06.99,2000.0,19.92,r,4396,1,1,-42
9866520224,02:19:56.809,+01:34:59.28,2000.0,21.33,r,1086,1,1,-42
9826464681,02:19:55.870,+01:27:42.68,2000.0,21.65,r,1217,1,1,-42
9984348288,02:19:59.633,+01:27:53.57,2000.0,20.56,r,2309,1,1,-42
9781170385,02:19:54.730,+01:31:29.74,2000.0,20.62,r,5246,1,1,-42
9933312982,02:19:58.398,+01:31:37.46,2000.0,19.55,r,14417,1,1,-42
0149206902,02:20:03.590,+01:31:49.17,2000.0,20.43,r,4052,1,1,-42
9713004419,02:19:53.126,+01:35:41.80,2000.0,19.58,r,5673,1,1,-42
9805928887,02:19:55.349,+01:35:55.46,2000.0,20.01,r,1270,1,1,-42
9928141172,02:19:58.282,+01:35:32.62,2000.0,20.68,r,2767,1,1,-42
9822355533,02:19:55.737,+01:28:15.43,2000.0,21.46,r,388,1,1,-42
9999519170,02:19:59.982,+01:28:25.95,2000.0,21.10,r,2292,1,1,-42
9551922442,02:19:49.264,+01:32:05.85,2000.0,20.14,r,4883,1,1,-42
9801050174,02:19:55.235,+01:31:58.90,2000.0,21.40,r,780,1,1,-42
9811826535,02:19:55.480,+01:32:18.32,2000.0,19.81,r,9857,1,1,-42
9625678720,02:19:51.029,+01:36:24.73,2000.0,20.80,r,1003,1,1,-42
9628765760,02:19:51.072,+01:28:45.67,2000.0,20.58,r,2791,1,1,-42
9668621824,02:19:52.050,+01:28:34.13,2000.0,19.66,r,7239,1,1,-42
9932117660,02:19:58.373,+01:28:51.71,2000.0,19.83,r,11703,1,1,-42
9512319193,02:19:48.290,+01:32:56.39,2000.0,19.82,r,8567,1,1,-42
9674526050,02:19:52.201,+01:32:46.80,2000.0,20.26,r,5251,1,1,-42
9932170959,02:19:58.383,+01:32:31.49,2000.0,20.61,r,3729,1,1,-42
0110553007,02:20:02.662,+01:32:37.53,2000.0,20.78,r,6505,1,1,-42
9737396801,02:19:53.708,+01:36:48.83,2000.0,21.28,r,375,1,1,-42
9772612587,02:19:54.553,+01:36:36.07,2000.0,21.68,r,549,1,1,-42
9545425143,02:19:49.097,+01:29:14.02,2000.0,21.30,r,836,1,1,-42
9692418313,02:19:52.630,+01:29:23.73,2000.0,21.35,r,497,1,1,-42
9436169278,02:19:46.447,+01:33:26.03,2000.0,20.97,r,1977,1,1,-42
9859383119,02:19:56.626,+01:33:08.16,2000.0,20.20,r,7055,1,1,-42
9707205522,02:19:52.979,+01:37:15.43,2000.0,19.82,r,305,1,1,-42
9741562258,02:19:53.806,+01:37:05.44,2000.0,20.96,r,4121,1,1,-42
9699410605,02:19:52.784,+01:29:30.32,2000.0,20.14,r,6233,1,1,-42
9726953633,02:19:53.449,+01:29:39.44,2000.0,20.04,r,6329,1,1,-42
9844409040,02:19:56.264,+01:29:55.68,2000.0,20.40,r,5856,1,1,-42
9895256388,02:19:57.482,+01:29:47.91,2000.0,20.57,r,5222,1,1,-42
9713036445,02:19:53.101,+01:33:47.98,2000.0,20.64,r,2727,1,1,-42
9895842699,02:19:57.487,+01:33:36.47,2000.0,21.25,r,698,1,1,-42
9811626617,02:19:55.454,+01:30:18.45,2000.0,21.18,r,742,1,1,-42
9864542912,02:19:56.741,+01:30:07.36,2000.0,19.48,r,9071,1,1,-42
9628537910,02:19:51.075,+01:34:22.10,2000.0,20.90,r,1701,1,1,-42
9666523509,02:19:51.989,+01:34:09.16,2000.0,21.19,r,889,1,1,-42
9689770718,02:19:52.550,+01:34:00.95,2000.0,20.81,r,2617,1,1,-42
9979825370,02:19:59.506,+01:34:14.78,2000.0,21.07,r,2153,1,1,-42
