OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
2796573626,01:09:07.095,+32:55:39.44,2000.0,21.76,r,251,1,1,66
2925801116,01:09:10.229,+32:55:31.48,2000.0,21.40,r,17,1,1,66
2264630572,01:08:54.346,+32:55:59.97,2000.0,20.73,r,7509,1,1,66
2549982474,01:09:01.171,+32:56:05.68,2000.0,22.05,r,67,1,1,66
2844593777,01:09:08.239,+32:56:09.32,2000.0,21.78,r,517,1,1,66
2935423224,01:09:10.407,+32:56:08.00,2000.0,22.01,r,352,1,1,66
2984076181,01:09:11.600,+32:56:16.98,2000.0,21.14,r,1535,1,1,66
3115131823,01:09:14.707,+32:56:03.54,2000.0,21.94,r,303,1,1,66
3154135369,01:09:15.685,+32:56:14.28,2000.0,21.25,r,1334,1,1,66
3144244017,01:09:15.480,+32:56:40.28,2000.0,20.83,r,3209,1,1,66
3276299475,01:09:18.622,+32:56:56.68,2000.0,21.40,r,1643,1,1,66
2510185887,01:09:00.224,+32:57:16.04,2000.0,21.78,r,576,1,1,66
2678603485,01:09:04.289,+32:57:38.62,2000.0,20.76,r,1016,1,1,66
2457886479,01:08:58.982,+32:58:17.67,2000.0,21.44,r,450,1,1,66
2602297669,01:09:02.453,+32:58:21.13,2000.0,21.66,r,854,1,1,66
2924532998,01:09:10.192,+32:58:07.15,2000.0,21.30,r,1940,1,1,66
3112796612,01:09:14.720,+32:58:17.98,2000.0,21.09,r,5174,1,1,66
3136199908,01:09:15.271,+32:58:27.88,2000.0,21.22,r,3237,1,1,66
3400092379,01:09:21.599,+32:58:05.89,2000.0,21.91,r,130,1,1,66
2850175415,01:09:08.413,+32:58:44.35,2000.0,19.16,r,7,1,1,66
3272990632,01:09:18.564,+32:58:59.99,2000.0,21.61,r,222,1,1,66
3228512116,01:09:17.484,+32:59:34.69,2000.0,20.95,r,84,1,1,66
3310362844,01:09:19.428,+32:59:36.92,2000.0,20.95,r,3391,1,1,66
3437622598,01:09:22.516,+32:59:36.19,2000.0,21.37,r,162,1,1,66
2833339115,01:09:07.994,+33:00:25.75,2000.0,21.43,r,965,1,1,66
2868299484,01:09:08.832,+33:00:26.21,2000.0,22.40,r,393,1,1,66
3572389400,01:09:25.711,+33:00:26.38,2000.0,21.56,r,628,1,1,66
3585650574,01:09:26.048,+32:59:59.80,2000.0,21.16,r,32,1,1,66
3233487393,01:09:17.610,+33:00:50.53,2000.0,20.66,r,6640,1,1,66
3431740153,01:09:22.344,+33:00:28.54,2000.0,22.06,r,312,1,1,66
3363467186,01:09:20.714,+33:01:19.72,2000.0,20.71,r,1638,1,1,66
3498733501,01:09:23.964,+33:01:08.60,2000.0,21.04,r,7112,1,1,66
3534238489,01:09:24.827,+33:01:23.69,2000.0,21.40,r,2983,1,1,66
3712548725,01:09:29.153,+33:01:24.55,2000.0,21.29,r,4479,1,1,66
4095027353,01:09:38.278,+33:01:20.76,2000.0,21.48,r,2397,1,1,66
3653151779,01:09:27.681,+33:01:33.68,2000.0,21.24,r,2074,1,1,66
3769123492,01:09:30.469,+33:01:38.57,2000.0,21.53,r,1503,1,1,66
3885911785,01:09:33.257,+33:01:33.50,2000.0,21.51,r,265,1,1,66
4223925513,01:09:41.378,+33:01:44.82,2000.0,20.67,r,8447,1,1,66
4328755600,01:09:43.876,+33:01:44.87,2000.0,21.20,r,4796,1,1,66
3436151679,01:09:22.460,+33:02:03.14,2000.0,20.99,r,1498,1,1,66
3581545661,01:09:25.962,+33:02:15.02,2000.0,20.94,r,1693,1,1,66
3668720234,01:09:28.058,+33:01:59.17,2000.0,21.05,r,951,1,1,66
3806492631,01:09:31.362,+33:02:06.12,2000.0,21.57,r,894,1,1,66
3863091472,01:09:32.724,+33:02:02.64,2000.0,21.56,r,940,1,1,66
3600155919,01:09:26.386,+33:02:45.96,2000.0,19.90,r,714,1,1,66
3893073993,01:09:33.433,+33:02:40.17,2000.0,20.97,r,2962,1,1,66
3954252451,01:09:34.914,+33:02:35.52,2000.0,21.33,r,2585,1,1,66
3961078155,01:09:35.041,+33:02:52.31,2000.0,21.75,r,767,1,1,66
4215591027,01:09:41.132,+33:02:31.76,2000.0,21.68,r,1379,1,1,66
4028021407,01:09:36.664,+33:03:02.24,2000.0,21.70,r,1256,1,1,66
4511690402,01:09:48.275,+33:02:59.58,2000.0,21.94,r,568,1,1,66
4597493110,01:09:50.334,+33:03:07.41,2000.0,21.12,r,52,1,1,66
4285863454,01:09:42.938,+33:03:38.59,2000.0,19.66,r,3367,1,1,66
3990242532,01:09:35.756,+33:04:05.75,2000.0,20.15,r,8096,1,1,66
4005979323,01:09:36.136,+33:04:26.31,2000.0,22.05,r,1285,1,1,66
4120622122,01:09:38.879,+33:04:04.55,2000.0,22.00,r,1451,1,1,66
4559855146,01:09:49.413,+33:04:13.89,2000.0,19.73,r,1114,1,1,66
4076730722,01:09:37.839,+33:04:30.77,2000.0,21.65,r,1023,1,1,66
4262460287,01:09:42.300,+33:04:29.30,2000.0,20.77,r,6734,1,1,66
4395436899,01:09:45.485,+33:04:48.91,2000.0,21.78,r,1352,1,1,66
4416480458,01:09:45.971,+33:04:29.67,2000.0,21.33,r,3267,1,1,66
4595710890,01:09:50.285,+33:04:30.98,2000.0,21.03,r,84,1,1,66
3999606244,01:09:35.992,+33:05:16.88,2000.0,22.08,r,38,1,1,66
4429872277,01:09:46.342,+33:05:05.77,2000.0,21.63,r,1861,1,1,66
4356390412,01:09:44.572,+33:05:59.51,2000.0,21.87,r,129,1,1,66
4402081916,01:09:45.642,+33:07:04.06,2000.0,21.48,r,444,1,1,66
2563657910,01:09:01.537,+32:54:51.94,2000.0,21.75,r,108,1,1,66
2264971207,01:08:54.364,+32:55:02.06,2000.0,21.11,r,2156,1,1,66
2441007260,01:08:58.584,+32:55:19.95,2000.0,20.10,r,8129,1,1,66
2557754110,01:09:01.394,+32:55:10.47,2000.0,20.65,r,5338,1,1,66
2615135710,01:09:02.749,+32:55:15.40,2000.0,21.39,r,2607,1,1,66
2701323247,01:09:04.836,+32:55:08.01,2000.0,20.76,r,6641,1,1,66
2914738378,01:09:09.946,+32:55:23.80,2000.0,21.82,r,4,1,1,66
