objID,raMean,decMean,rMeanKronMag
120040010811090678,1.08112617,10.03344222,19.796100616455078
120040010786321554,1.07862276,10.03421548,-999.0
120040010782432213,1.07823022,10.0347642,-999.0
120040010786041148,1.07864403,10.0338323,-999.0
120040010838462621,1.08382449,10.03506009,18.399700164794922
120040010786935478,1.07866544,10.03736389,21.82360076904297
120060010781711471,1.07813029,10.0508283,-999.0
120060010793971714,1.07937485,10.05100613,-999.0
120050010785908647,1.07858606,10.04847467,-999.0
120050010804319421,1.08041691,10.04904541,-999.0
120050010787721994,1.07873963,10.04286042,20.438199996948242
120050010790701773,1.07905328,10.04267141,-999.0
120050010808082641,1.08079569,10.04346282,-999.0
120050010819282694,1.08188881,10.0434442,-999.0
120050010801682148,1.08014875,10.04304983,-999.0
120050010825026043,1.08248882,10.04623464,22.165700912475586
120050010786807448,1.07866865,10.04735001,-999.0
120050010817920292,1.08176746,10.0415076,22.047500610351562
120070010785158679,1.07848575,10.06508693,20.43549919128418
120070010787626037,1.07874206,10.06289842,-999.0
120070010795603990,1.07951724,10.06119598,21.928300857543945
120060010798039740,1.07978049,10.05763517,17.342300415039062
120060010802673202,1.08024524,10.05220521,-999.0
120060010815522783,1.08156354,10.05190432,-999.0
120030010787486469,1.07873715,10.02999207,-999.0
120030010783043141,1.07827477,10.02721805,-999.0
120030010800604570,1.08004934,10.02833189,18.809099197387695
120020010789734809,1.0790608,10.02039227,21.921100616455078
120020010778735760,1.07788214,10.0210583,-999.0
120020010780256116,1.078006,10.02129707,-999.0
120020010782267042,1.07819896,10.02213508,-999.0
120020010815895604,1.08156233,10.02088058,-999.0
120030010780060404,1.07797961,10.02489164,-999.0
120020010786628909,1.07866153,10.02368833,-999.0
120020010802357932,1.08018662,10.02289754,21.560199737548828
120020010804666831,1.0804608,10.02190269,19.879600524902344
120020010801337481,1.08013343,10.02249948,-999.0
120020010791856612,1.07916839,10.02171405,-999.0
120020010790667054,1.07906572,10.02214295,-999.0
120020010837198973,1.08371956,10.02374656,-999.0
120020010841779205,1.0841626,10.02386088,-999.0
120020010824947905,1.08247457,10.02279191,20.82710075378418
120020010818677247,1.08185561,10.02224307,-999.0
120020010798179810,1.07980089,10.02438388,-999.0
120010010779504643,1.07795161,10.01181035,-999.0
120010010813371822,1.08131739,10.00946586,-999.0
120010010800025501,1.0799898,10.01252754,-999.0
120010010801795056,1.08018672,10.01218019,-999.0
120010010790876002,1.07910741,10.01291731,-999.0
120010010794043878,1.07938846,10.01117259,-999.0
120010010840977475,1.08409156,10.01410159,20.939300537109375
120010010841863600,1.0841564,10.01092396,-999.0
120020010789122246,1.07890496,10.01812551,-999.0
120020010785722456,1.07857175,10.01830946,-999.0
120010010816228407,1.08160713,10.01493522,18.981300354003906
120010010806219323,1.08061111,10.0156083,17.78179931640625
120010010811258732,1.08117626,10.01513253,14.925999641418457
120010010802699251,1.08019426,10.01565389,-999.0
120010010830338189,1.08301511,10.01469372,-999.0
120010010813428195,1.08127011,10.01464932,-999.0
120010010816807314,1.08153952,10.01412732,-999.0
120010010823906897,1.08239095,10.01368085,-999.0
120010010803356665,1.08033547,10.01348781,-999.0
120010010826724527,1.08266573,10.01164919,21.725000381469727
120010010806237098,1.08061288,10.01383159,-999.0
120020010845824582,1.08458185,10.02008345,-999.0
120020010793624645,1.07917475,10.02011109,19.531400680541992
120010010830839446,1.08308405,10.01580436,-999.0
120020010817393769,1.08172541,10.01941283,-999.0
120020010816384509,1.08162127,10.02002637,-999.0
120020010812263513,1.08122688,10.01919292,-999.0
120010010843398663,1.08431009,10.01514307,-999.0
120020010845501136,1.084521,10.01720342,-999.0
119980010785025743,1.07847977,9.98765129,-999.0
119980010787747324,1.07877792,9.98896134,-999.0
119980010777229079,1.07771185,9.99049012,-999.0
119980010795908875,1.07958254,9.99031832,-999.0
119980010786969432,1.07869667,9.9907836,-999.0
119980010780468483,1.07803887,9.98999151,-999.0
119980010794326873,1.07942243,9.98868122,-999.0
119990010808972538,1.08091729,9.99331933,-999.0
119980010797009587,1.0796903,9.99091416,-999.0
120010010778990563,1.07791571,10.00838319,20.007699966430664
120010010783030401,1.07827968,10.00826618,-999.0
120000010782708363,1.07826234,10.00658611,-999.0
120000010777929136,1.077773,10.00714946,20.936199188232422
120000010780618840,1.07804055,10.00698817,20.921499252319336
120000010786276476,1.07862744,10.00499033,-999.0
119990010792639498,1.07924805,9.9991175,-999.0
120000010783400154,1.07831798,9.99972586,-999.0
119990010819518926,1.08183752,9.99865107,20.78219985961914
119990010816688915,1.08171399,9.99865,20.650400161743164
120000010783691705,1.07835824,10.00094374,-999.0
120000010803320040,1.080319,9.99957997,-999.0
120000010833564378,1.08334435,10.00318886,20.888700485229492
120000010830054933,1.08299776,10.00370027,-999.0
120000010806444032,1.08063201,10.00290528,-999.0
120000010811412558,1.08114185,10.00172401,-999.0
120010010789090835,1.07889811,10.00864203,-999.0
120000010802939668,1.08027914,10.00765571,-999.0
120010010804891317,1.0804763,10.00896475,-999.0
120000010818657007,1.0818444,10.00540036,-999.0
120000010815367984,1.08154943,10.00625233,-999.0
120000010823577471,1.08234923,10.00581465,-999.0
120010010817340406,1.08172716,10.00826048,-999.0
120010010809230396,1.08090926,10.00826226,-999.0
120000010809889712,1.08097889,10.00768549,-999.0
120000010837758137,1.08377224,10.00631657,-999.0
119980010779804374,1.07797698,9.98650699,-999.0
119980010787632112,1.07876348,9.98468239,-999.0
119980010783942697,1.07838645,9.98517058,-999.0
120030010822264219,1.08220988,10.02806545,-999.0
