objID,raMean,decMean,rKronMag
120190010793426502,1.07930835,10.16332519,23.08919906616211
120140010801146324,1.08010755,10.12148216,20.37849998474121
120140010905585894,1.09052702,10.12114962,23.004600524902344
120150010882828108,1.08828219,10.13135621,23.170000076293945
120150010893454831,1.08934688,10.12862659,22.444400787353516
120150010881786238,1.08812306,10.12976906,21.14550018310547
120150010888543198,1.08878247,10.12726481,22.131799697875977
120160011006612735,1.10072141,10.13507411,22.05120086669922
120150011035549578,1.10340227,10.13256674,22.005300521850586
120140011063517590,1.10634636,10.12258367,22.226600646972656
120140011081474604,1.10814838,10.12010421,23.049999237060547
120140011078486946,1.10782449,10.12204947,22.209299087524414
120140011048609901,1.10486155,10.12451778,22.95599937438965
120140011034608315,1.10365412,10.12306987,22.587200164794922
120150011069124390,1.10691321,10.12825903,23.527299880981445
120180010856776275,1.08565545,10.15480411,21.52910041809082
120180010816118721,1.0815503,10.1568323,21.983200073242188
120170010799423135,1.07983565,10.14394013,21.622900009155273
120170010803567569,1.08034233,10.1476055,22.018299102783203
120170010862933799,1.08624361,10.14443312,22.125699996948242
120170010855347764,1.08553801,10.14771007,21.230199813842773
120160010980641811,1.09806478,10.13444373,22.442899703979492
120160010968196334,1.09680214,10.13818112,16.546199798583984
120160010828005543,1.08275646,10.1375676,22.087799072265625
120150011002023636,1.10018162,10.12759334,19.93939971923828
120150010913906367,1.09137452,10.12988261,22.194900512695312
120150010951010723,1.09510199,10.12520352,23.202999114990234
120150010983397760,1.09821976,10.13117919,23.538999557495117
120160010953390579,1.0953104,10.13338961,22.85140037536621
120090010436697227,1.04372198,10.08060688,14.88379955291748
120100010688021118,1.06880309,10.08388101,22.187000274658203
120090010698784931,1.06993969,10.07873994,13.41670036315918
120110010564425071,1.05642922,10.09544838,22.456600189208984
120100010581637159,1.05814682,10.08872181,21.928300857543945
120100010593279612,1.05932775,10.09094474,23.228500366210938
120100010561639898,1.05617303,10.0911609,21.628599166870117
120120009529330845,0.95288867,10.10033698,21.138700485229492
120120009495298298,0.94953028,10.10646809,22.555500030517578
120120009502335266,0.95024865,10.10400985,22.888599395751953
120090009455040889,0.94536164,10.075248,22.973800659179688
120080009529589440,0.95297247,10.07413344,23.05419921875
120090009454406172,0.94544094,10.07974525,22.843299865722656
120090009486865017,0.94868569,10.07878068,23.068700790405273
120090009481993775,0.94822762,10.07773329,24.5856990814209
120090009460614041,0.94583334,10.07806821,22.850000381469727
120090009601540130,0.96013888,10.07470058,22.467100143432617
120090009581501040,0.95813836,10.07545516,22.47330093383789
120090009585954190,0.9585881,10.07817098,21.629899978637695
120100009461424414,0.94614287,10.08661142,23.015199661254883
120100009479321672,0.94793341,10.08432793,22.650100708007812
120090009544795311,0.95445021,10.07898424,21.44300079345703
120090009489136567,0.94899517,10.0800588,22.06100082397461
120110009474224148,0.94739585,10.09467972,22.547000885009766
119920010016830467,1.00162017,9.93335345,21.804000854492188
119930010260451992,1.02603109,9.9429225,20.987499237060547
120060008590020683,0.8590027,10.05016946,23.103300094604492
120050008601366492,0.86012303,10.04672895,19.103700637817383
120040008661106943,0.86612829,10.03873298,18.28459930419922
120040008691995544,0.86919838,10.0375554,20.773500442504883
120040008714774986,0.87147741,10.03709055,22.869800567626953
120060008672200807,0.86721145,10.05027035,21.332599639892578
120050008694036481,0.86941851,10.04670317,21.207599639892578
120060008685860359,0.86860363,10.04993494,21.17300033569336
119980009490673230,0.94905674,9.98561983,21.770700454711914
119980009490673230,0.94905674,9.98561983,21.89259910583496
119980009500371576,0.95013683,9.98414141,21.48900032043457
119980009500371576,0.95013683,9.98414141,21.528099060058594
119970009513259800,0.95121138,9.98287155,22.06130027770996
119970009513259800,0.95121138,9.98287155,21.5762996673584
119970009606720276,0.96074543,9.97484048,21.214599609375
119960009566869329,0.95660139,9.97421574,22.183000564575195
119970009571252739,0.95711659,9.97689543,22.77899932861328
119970009676538200,0.96766201,9.98145916,21.568099975585938
119970009679601986,0.96798338,9.97628839,21.157800674438477
119960009704312501,0.97041584,9.96830659,20.97130012512207
119960009757430822,0.97576733,9.96692769,22.742700576782227
119970009677810779,0.96771079,9.97528005,21.629499435424805
119970009700840809,0.97006349,9.97527906,22.750499725341797
120030009855063165,0.98543339,10.02723169,22.01650047302246
120020009758959504,0.97584896,10.02419232,20.80929946899414
120030009731486781,0.97314798,10.03025282,22.975299835205078
120030009726775684,0.97266598,10.02932556,22.71339988708496
120030009726775684,0.97266598,10.02932556,22.71109962463379
120020009868672493,0.98682058,10.01831688,22.896699905395508
120010009860149725,0.98602944,10.01597714,22.170700073242188
120020009795272234,0.97953258,10.01813718,18.712200164794922
120110008275075880,0.82753165,10.09618392,23.563100814819336
120110008275075880,0.82753165,10.09618392,23.38960075378418
120090008205470669,0.82057415,10.07515845,23.029300689697266
120090008205470669,0.82057415,10.07515845,22.525299072265625
120090008210913504,0.82108723,10.07751547,23.356800079345703
120090008210913504,0.82108723,10.07751547,22.44540023803711
120090008241261467,0.82414071,10.0758087,21.024999618530273
120090008241261467,0.82414071,10.0758087,21.148300170898438
120090008182434559,0.81818285,10.07848525,21.885400772094727
120090008182434559,0.81818285,10.07848525,21.84589958190918
120080008334559432,0.83348831,10.07412963,23.80500030517578
120090008364445079,0.83643804,10.07886764,21.093900680541992
120090008272273693,0.82723481,10.07768028,23.324499130249023
120090008272273693,0.82723481,10.07768028,23.414400100708008
120100008261600229,0.82615995,10.0831315,21.313600540161133
120090008233897597,0.82323585,10.08094819,23.465299606323242
120090008233897597,0.82323585,10.08094819,22.194499969482422
