objID,raMean,decMean,rKronMag
119900009246349801,0.92463633,9.92436811,21.88170051574707
119900009324607510,0.93248499,9.9224954,21.256200790405273
119900009385207147,0.93853962,9.92218316,-999.0
119900009395769002,0.93956732,9.92371958,23.677499771118164
119900009421839596,0.94219677,9.92424521,21.642900466918945
119900009512959474,0.95130005,9.92416925,22.67889976501465
119900009516957726,0.95169543,9.92270745,24.29210090637207
119900009527513786,0.95275118,9.91942261,23.168699264526367
119900009532825430,0.95331623,9.92075869,22.999000549316406
119900009536576069,0.95366064,9.92133115,-999.0
119900009591247521,0.95917229,9.92260528,22.06049919128418
119900009593094752,0.95930592,9.92025099,23.2593994140625
119900009596067805,0.95960662,9.92277197,-999.0
119900009610948093,0.96102674,9.92304428,22.761499404907227
119900009611444111,0.96117098,9.9196134,21.326200485229492
119900009812014716,0.98116617,9.92003859,21.684600830078125
119900009867066289,0.98672593,9.92144394,22.233999252319336
119900009876349830,0.98762247,9.9243843,21.967300415039062
119900009916657905,0.99166459,9.92285496,-999.0
119900009920875537,0.99213379,9.92094006,-999.0
119900009948717292,0.9948907,9.92228923,21.17259979248047
119900009970088870,0.99700405,9.92359849,-999.0
119900010053588585,1.00537139,9.9233561,20.194900512695312
119900010140758870,1.01407492,9.92366075,-999.0
119910009043999104,0.90442504,9.93214711,19.25819969177246
119910009075859822,0.90758183,9.93281144,-999.0
119910009103818410,0.91039712,9.93162053,-999.0
119910009113925290,0.91141817,9.92893156,23.193199157714844
119910009148277035,0.9148619,9.93043783,21.491100311279297
119910009195129794,0.91953471,9.93274789,22.188400268554688
119910009201414901,0.92018966,9.92867094,20.95829963684082
119910009207011256,0.92077406,9.92551469,21.395200729370117
119910009209354533,0.92097223,9.92834532,21.374900817871094
119910009280504900,0.9280502,9.92868536,-999.0
119910009281317181,0.9281338,9.93055705,20.78459930419922
119910009332998619,0.93332553,9.93174941,21.743600845336914
119910009378445723,0.93785549,9.92933231,-999.0
119910009393154121,0.93932646,9.92796921,22.286300659179688
119910009403268148,0.94034644,9.93131661,21.06049919128418
119910009404909123,0.94049791,9.93216184,21.743000030517578
119940009590945785,0.959094,9.95442318,-999.0
119940009686545721,0.96865475,9.95436965,-999.0
119940009711874210,0.97117148,9.95306956,19.34819984436035
119940009777549631,0.97775519,9.95763494,23.077899932861328
119940009889307328,0.9889304,9.95570928,22.736600875854492
119940009975951716,0.99752873,9.95101719,22.133699417114258
119940010074074598,1.00730979,9.95352363,21.882600784301758
119940010104135474,1.0104131,9.95410523,18.431499481201172
119940010164124544,1.01636261,9.95337897,-999.0
119940010206822620,1.02067631,9.95166638,21.632699966430664
119940010213391776,1.02133902,9.95108343,22.995800018310547
119940010223683442,1.02235291,9.95247161,21.999799728393555
119940010238374806,1.02383771,9.9536126,23.17650032043457
119940010254484783,1.02545336,9.95358629,-999.0
119940010263775200,1.02637649,9.95393597,-999.0
119940010311413374,1.03114143,9.95235612,-999.0
119940010317819300,1.0317128,9.95731891,21.542699813842773
119940010368164303,1.03681847,9.95318907,23.366899490356445
119940010374603253,1.03743707,9.95225228,-999.0
119940010384991754,1.03849822,9.95106425,-999.0
119940010408446738,1.04084463,9.95521812,-999.0
119940010452540209,1.04525453,9.94977734,22.890199661254883
119940010472528732,1.04724962,9.95680636,-999.0
119940010535428889,1.05353374,9.95692452,23.495800018310547
119940010537890475,1.05378858,9.94999999,-999.0
119940010549836274,1.05497912,9.95467693,20.983999252319336
119940010626439189,1.06264289,9.95726605,-999.0
119940010679387443,1.06801429,9.95587773,-999.0
119940010697086745,1.06970832,9.95522156,-999.0
119950008617878848,0.86178789,9.96530239,-999.0
119950008642275570,0.86422796,9.96257718,-999.0
119950008675267394,0.86756804,9.96400089,21.083900451660156
119950008726497238,0.87273379,9.96394458,22.678600311279297
119950008740434938,0.87408273,9.96202611,23.318899154663086
119950008745498526,0.87454938,9.96503921,-999.0
119950008810736535,0.88107473,9.96335873,19.575899124145508
119950008819181505,0.88195797,9.95915111,22.20330047607422
119950008843331608,0.88433353,9.95927579,22.595600128173828
119950008843825744,0.88441325,9.96272043,20.1564998626709
119950008865244996,0.88656023,9.96208606,23.28190040588379
119970009199817469,0.91998119,9.98082469,-999.0
119970009238369109,0.9238354,9.98219181,-999.0
119970009239605924,0.92398198,9.97950677,-999.0
119970009247886041,0.9247142,9.97958504,21.279699325561523
119970009249149717,0.92491425,9.98270014,-999.0
119970009253388068,0.92533831,9.98132421,21.627899169921875
119970009258602565,0.92581603,9.97671641,22.681900024414062
119970009304302122,0.93043881,9.97628079,-999.0
119970009315160346,0.93143085,9.9749311,22.759700775146484
119970009354379961,0.93545765,9.9829126,-999.0
119970009354379961,0.93545765,9.9829126,-999.0
119970009360011170,0.9360558,9.97561826,-999.0
119970009363621614,0.93636082,9.97589349,21.734899520874023
119970009377873597,0.93789847,9.97754146,20.88559913635254
119970009382800462,0.93828458,9.97498681,-999.0
119970009386103805,0.9386826,9.97771678,20.062000274658203
119970009437730181,0.94384534,9.97472047,21.984100341796875
119970009473847374,0.94738423,9.98074742,-999.0
119970009485953001,0.94859649,9.97704416,17.464500427246094
119970009513259800,0.95123807,9.98282419,22.048099517822266
119970009513259800,0.95123807,9.98282419,21.591100692749023
119970009571252739,0.95713899,9.97684463,22.793800354003906
119970009606720276,0.96076668,9.97479073,21.229400634765625
119970009676538200,0.96767417,9.98141045,21.58289909362793
119970009677810779,0.96772416,9.97523313,21.64430046081543
119970009679601986,0.96799511,9.97624355,21.17259979248047
119970009700840809,0.97007866,9.97522708,22.765300750732422
119970009719988721,0.97199084,9.98181889,-999.0
119970009734493906,0.97344981,9.97785794,-999.0
119970009992387900,0.99923819,9.98118661,23.472200393676758
119970010000566790,1.00005666,9.98017323,-999.0
119970010029730749,1.0029727,9.97522657,-999.0
119970010045184102,1.0045335,9.97802076,-999.0
119970010059218825,1.00592133,9.98195473,-999.0
119970010146127489,1.01461251,9.98084358,-999.0
119970010199663482,1.01996669,9.97750685,-999.0
119970010236477598,1.02364792,9.98093203,23.366899490356445
119970010329326660,1.03291317,9.98009848,18.080799102783203
119970010334729616,1.03344288,9.98253323,17.055400848388672
119970010350548951,1.03502563,9.9819774,19.117799758911133
119980009161602417,0.91618582,9.9849167,21.861000061035156
119980009161602417,0.91618582,9.9849167,22.151899337768555
119980009178540861,0.91786507,9.98364079,22.16160011291504
119980009178540861,0.91786507,9.98364079,22.233400344848633
119980009181690688,0.9181695,9.98351205,-999.0
119980009181690688,0.9181695,9.98351205,-999.0
119980009181888175,0.91827202,9.98968289,22.395700454711914
119980009181888175,0.91827202,9.98968289,22.762300491333008
119980009195632358,0.91966749,9.98483896,21.086000442504883
119980009195632358,0.91966749,9.98483896,21.161500930786133
119980009231922084,0.92318803,9.98467053,-999.0
119980009276462762,0.92764661,9.9852372,-999.0
119980009285018922,0.92845658,9.99030869,22.17889976501465
119980009285018922,0.92845658,9.99030869,22.346500396728516
119980009330372285,0.93304715,9.98483955,22.690099716186523
119980009330372285,0.93304715,9.98483955,22.79319953918457
119980009350442530,0.93504418,9.98505821,22.836200714111328
119980009350442530,0.93504418,9.98505821,22.77440071105957
119980009369673693,0.93696556,9.98601438,-999.0
119980009369673693,0.93696556,9.98601438,-999.0
119980009376721880,0.93764387,9.98449133,20.412099838256836
119980009376721880,0.93764387,9.98449133,20.443899154663086
119980009380099540,0.93800492,9.99083048,22.33919906616211
119980009380099540,0.93800492,9.99083048,22.379899978637695
119980009394389807,0.93943815,9.99111133,-999.0
119980009394389807,0.93943815,9.99111133,-999.0
119980009398865655,0.93988596,9.98764671,-999.0
119980009398865655,0.93988596,9.98764671,-999.0
119980009447034185,0.94472406,9.98640314,21.606300354003906
119980009447034185,0.94472406,9.98640314,21.635400772094727
119980009464778613,0.94649382,9.9902157,21.34980010986328
119980009464778613,0.94649382,9.9902157,21.34939956665039
119980009490673230,0.94907756,9.98557557,21.757400512695312
119980009490673230,0.94907756,9.98557557,21.907400131225586
119980009491154508,0.94911563,9.98670528,-999.0
119980009500371576,0.95015874,9.98409368,21.47570037841797
119980009500371576,0.95015874,9.98409368,21.54290008544922
119980009515769058,0.95159786,9.99043704,23.506799697875977
119980009550557546,0.95513139,9.98922324,-999.0
119980009550557546,0.95513139,9.98922324,-999.0
119980010767977948,1.07679603,9.98957208,22.65369987487793
119980010767977948,1.07679603,9.98957208,22.7273006439209
119980010771678302,1.07694852,9.98982281,-999.0
119980010771678302,1.07694852,9.98982281,-999.0
119980010774752577,1.0774673,9.98498966,21.019800186157227
119980010774752577,1.0774673,9.98498966,21.03809928894043
119980010785025743,1.07848145,9.9876561,23.124300003051758
119980010785025743,1.07848145,9.9876561,22.941499710083008
119980010794326873,1.07942243,9.98868122,-999.0
119980010847158957,1.08472076,9.99041915,23.122900009155273
