_RAJ2000	_DEJ2000	_V	RAJ2000	DEJ2000	objID	f_objID	Qual	e_RAJ2000	e_DEJ2000	Epoch	Ns	Nd	gmag	e_gmag	gKmag	e_gKmag	gFlags	rmag	e_rmag	rKmag	e_rKmag	rFlags	imag	e_imag	iKmag	e_iKmag	iFlags	zmag	e_zmag	zKmag	e_zKmag	zFlags	ymag	e_ymag	yKmag	e_yKmag	yFlags
000.97355523000	+09.81419573000	VizieR	000.973555230	+09.814195730	119770009735387504	436527104	52	0.0133	0.0134	56043.853969910	4	47	 	 	 	 	16416	21.6220	0.0396	21.6814	0.1096	115000	20.5502	0.0191	20.6421	0.0548	115000	20.0462	0.0658	20.1930	0.1056	115000	19.7274	0.1073	19.5032	0.2359	115000
001.05857197000	+09.81670241000	VizieR	001.058571970	+09.816702410	119780010588380589	302067712	36	0.1472	0.1472	55457.489085650	0	3	21.3853	0.0027	20.9222	0.1075	4120	21.4455	0.1464	20.1810	0.0863	16777496	 	 	 	 	0	 	 	 	 	0	 	 	 	 	0
001.06941809000	+09.80474517000	VizieR	001.069418090	+09.804745170	119760010695026356	268959744	32	0.1499	0.1499	56152.064861110	0	3	 	 	 	 	0	21.6179	0.0290	 	 	4112	 	 	 	 	0	21.2535	0.3229	 	 	4112	 	 	 	 	0
001.04860808000	+09.80201450000	VizieR	001.048608080	+09.802014500	119760010485163127	310456320	37	0.0120	0.0120	55823.377372690	0	3	 	 	 	 	0	18.6320	0.1153	17.9883	0.0360	16777752	18.5741	0.0141	17.5949	0.0144	16777752	 	 	 	 	0	 	 	 	 	0
001.05938107000	+09.81264489000	VizieR	001.059381070	+09.812644890	119770010593445819	268959744	32	0.1291	0.1291	56381.995868060	0	3	 	 	 	 	0	21.7724	0.2130	20.9403	0.2211	4120	21.6477	0.2295	 	 	4120	 	 	 	 	0	 	 	 	 	0
001.06568869000	+09.79887307000	VizieR	001.065688690	+09.798873070	119750010656098870	310452224	37	0.0595	0.0595	56085.110995370	0	5	21.6746	0.2627	 	 	4120	 	 	 	 	0	 	 	 	 	0	20.4522	0.0651	20.0631	0.0148	16777496	 	 	 	 	0
001.04434187000	+09.81171761000	VizieR	001.044341870	+09.811717610	119770010443224630	444915712	53	0.0255	0.0240	56131.855729170	5	43	21.7917	0.0639	21.5699	0.0563	115000	21.2397	0.0341	20.9655	0.0594	16892216	20.8478	0.0560	20.4319	0.1007	16892216	20.7545	0.0728	20.4351	0.1230	115000	 	 	 	 	114720
001.04158085000	+09.79977285000	VizieR	001.041580850	+09.799772850	119760010414970251	503635968	60	0.0187	0.0103	56030.066018520	5	62	17.6973	0.0111	17.7652	0.0087	115000	17.1189	0.0023	17.1744	0.0049	115000	16.8507	0.0014	16.9334	0.0062	115000	16.7465	0.0078	16.8357	0.0068	115000	16.6777	0.0079	16.7930	0.0107	115000
001.05405527000	+09.82005068000	VizieR	001.054055270	+09.820050680	119780010540144664	436363264	52	0.0837	0.0837	56032.737210650	3	4	 	 	 	 	16416	 	 	 	 	114720	21.6198	0.1551	 	 	115000	 	 	 	 	114720	 	 	 	 	16416
001.05024551000	+09.81704136000	VizieR	001.050245510	+09.817041360	119780010500831005	444915712	53	0.0355	0.0204	56132.705960650	5	43	22.1017	0.1746	20.8815	0.1373	16892216	21.3349	0.0451	20.5812	0.0321	16892216	20.7027	0.0604	20.0636	0.0692	16892216	20.3907	0.0073	19.8340	0.1201	16892216	19.5005	0.4394	18.5860	0.0000	115000
001.06568158000	+09.79887788000	VizieR	001.065681580	+09.798877880	119750010656579235	444915712	53	0.0297	0.0359	56192.430879630	4	30	 	 	 	 	16416	21.4252	0.0501	20.9249	0.0894	16892216	20.7442	0.0853	20.2778	0.0086	16892216	20.3907	0.1325	20.0849	0.0608	16892216	20.0320	0.0023	 	 	16892216
001.11118502000	+09.80886382000	VizieR	001.111185020	+09.808863820	119770011111521173	503635968	60	0.0106	0.0033	55988.811365740	5	59	14.6148	0.0007	14.6619	0.0012	115000	13.9388	0.0041	13.9931	0.0029	115000	13.7063	0.0002	13.7462	0.0028	16892216	13.6227	0.0065	13.6572	0.0004	115000	13.5448	0.0025	13.5621	0.0054	115000
001.09286097000	+09.81318640000	VizieR	001.092860970	+09.813186400	119770010928076386	436281344	52	0.1123	0.1123	55933.139166670	3	3	 	 	 	 	16416	 	 	 	 	16416	21.8165	0.2113	 	 	115000	20.8637	0.1867	 	 	114992	 	 	 	 	114720
001.10260815000	+09.80590643000	VizieR	001.102608150	+09.805906430	119760011026087551	436281344	52	0.0993	0.0993	56114.203171300	4	4	21.9891	0.2807	22.2355	0.2734	20536	 	 	 	 	114720	21.5344	0.1325	21.3621	0.1785	115000	 	 	 	 	114720	 	 	 	 	114720
001.09779280000	+09.81149104000	VizieR	001.097792800	+09.811491040	119770010976904211	436281344	52	0.1039	0.1039	55702.423414350	4	3	 	 	 	 	114720	22.1477	0.1846	21.9147	0.3026	115000	21.4007	0.3003	21.5024	0.1406	115000	 	 	 	 	114720	 	 	 	 	16416
001.10456968000	+09.81569536000	VizieR	001.104569680	+09.815695360	119770011045489350	503635968	60	0.0063	0.0060	56068.296134260	5	55	15.2125	0.0029	15.2649	0.0010	115000	14.7817	0.0020	14.8386	0.0027	115000	14.6036	0.0015	14.6698	0.0010	115000	14.5742	0.0013	14.6329	0.0024	115000	14.5355	0.0027	14.5402	0.0076	115000
001.09566205000	+09.81366612000	VizieR	001.095662050	+09.813666120	119770010956876953	444915712	53	0.0154	0.0216	56121.584895830	5	39	21.9902	0.1701	21.3778	0.1825	16892216	21.1810	0.0392	20.9497	0.0669	16892216	20.4728	0.0285	20.2387	0.0281	16892216	20.0671	0.0273	19.8225	0.1506	16892216	19.6839	0.0780	19.2858	0.1529	115000
001.10483862000	+09.82079771000	VizieR	001.104838620	+09.820797710	119780011047835489	444751872	53	0.0602	0.0602	55714.428923610	4	5	21.9925	0.0390	21.8711	0.2271	115000	 	 	 	 	114720	21.4878	0.0341	21.0661	0.1325	16892208	 	 	 	 	114720	 	 	 	 	16416
001.11154777000	+09.82937868000	VizieR	001.111547770	+09.829378680	119790011114715789	444915712	53	0.0491	0.0491	55680.370925930	4	28	21.7807	0.0255	21.0902	0.0526	16892216	21.3630	0.0902	20.6296	0.0566	16892216	21.0775	0.3787	20.1234	0.0355	16892216	20.9924	0.0620	19.9337	0.0241	16892216	 	 	 	 	16416
001.13476671000	+09.82516297000	VizieR	001.134766710	+09.825162970	119790011347550715	503635968	60	0.0092	0.0038	56102.973182870	5	57	21.1945	0.0315	21.3574	0.0451	115000	19.9335	0.0200	20.0317	0.0382	115000	18.6112	0.0147	18.6457	0.0469	115000	18.0517	0.0118	18.1469	0.0137	115000	17.7412	0.0088	17.8173	0.0345	115000
001.12287859000	+09.82722760000	VizieR	001.122878590	+09.827227600	119790011229463223	436527104	52	0.0151	0.0078	56089.769502310	5	45	21.9650	0.0071	22.1220	0.0330	115000	20.9910	0.0458	21.1111	0.0706	115000	19.7332	0.0066	19.7966	0.0227	115000	19.1455	0.0185	19.2614	0.0470	115000	18.8926	0.0382	19.0731	0.0689	115000
001.11234702000	+09.80951984000	VizieR	001.112347020	+09.809519840	119770011123431981	444915712	53	0.0547	0.0266	56174.700960650	3	18	 	 	 	 	16416	 	 	 	 	16416	18.9667	0.0231	18.1734	0.0207	16892216	18.2588	0.0186	18.5008	0.0350	115000	17.8833	0.0137	17.8069	0.0692	16892216
001.12515391000	+09.82518151000	VizieR	001.125153910	+09.825181510	119790011251550839	436363264	52	0.0824	0.0824	56011.091087960	3	5	 	 	 	 	16416	 	 	 	 	114720	21.6980	0.1623	21.4067	0.1041	115000	21.1331	0.1738	20.8954	0.2441	115000	 	 	 	 	16416
001.12724243000	+09.83255293000	VizieR	001.127242430	+09.832552930	119790011273139611	436281344	52	0.1126	0.1126	55478.944131940	3	3	 	 	 	 	16416	22.1851	0.0336	21.8996	0.0429	115000	21.6167	0.1985	21.7938	0.3253	115000	 	 	 	 	114720	 	 	 	 	16416
001.12167726000	+09.81495076000	VizieR	001.121677260	+09.814950760	119770011216468475	503635968	60	0.0066	0.0038	56094.625023150	5	50	15.6319	0.0048	15.6893	0.0029	115000	15.1907	0.0012	15.2504	0.0028	115000	15.0125	0.0029	15.1131	0.0105	115000	14.9934	0.0020	15.0375	0.0028	115000	14.9384	0.0041	14.9744	0.0058	115000
001.10392064000	+09.82030839000	VizieR	001.103920640	+09.820308390	119780011039084898	444915712	53	0.0183	0.0110	56167.191273150	5	48	21.7930	0.1480	21.5377	0.1919	16892216	20.4430	0.0432	20.0255	0.0467	16892216	19.7485	0.0386	19.2579	0.0218	16892216	19.4553	0.0229	18.9665	0.1181	16892216	19.1334	0.0305	18.8287	0.1025	16892216
001.11521946000	+09.83105208000	VizieR	001.115219460	+09.831052080	119790011152517693	436527104	52	0.0526	0.0705	56147.889942130	4	18	 	 	 	 	16416	22.0161	0.0741	21.7559	0.0824	115000	21.3899	0.0998	20.9300	0.0496	16892216	21.1186	0.0434	20.5274	0.0912	16892216	 	 	 	 	114720
001.06290994000	+09.81656879000	VizieR	001.062909940	+09.816568790	119780010628990403	302067712	36	0.1942	0.1942	56222.372870370	0	3	22.1667	0.0385	21.5390	0.0783	4120	21.6580	0.1937	 	 	272	 	 	 	 	0	 	 	 	 	0	 	 	 	 	0
001.06421752000	+09.82706215000	VizieR	001.064217520	+09.827062150	119790010641343048	302063616	36	0.0939	0.0939	55816.290798610	0	6	 	 	 	 	0	21.8885	0.0866	21.2146	0.2326	280	21.2744	0.0904	 	 	4120	 	 	 	 	0	19.9638	0.1564	20.0246	0.2680	280
001.08960905000	+09.81647070000	VizieR	001.089609050	+09.816470700	119780010895700280	503635968	60	0.0084	0.0084	56144.930196760	5	59	20.9396	0.0303	20.9771	0.0432	115000	19.6631	0.0169	19.7103	0.0183	115000	18.5192	0.0074	18.6331	0.0130	115000	18.0090	0.0021	18.1111	0.0123	115000	17.7538	0.0088	17.8265	0.0254	115000
001.07348255000	+09.83291028000	VizieR	001.073482550	+09.832910280	119800010735090009	436527104	52	0.0213	0.0216	56210.579328700	4	29	 	 	 	 	16416	22.0442	0.1282	 	 	115000	20.8968	0.0530	21.0409	0.0296	115000	20.3462	0.0964	20.2487	0.1212	115000	19.8199	0.0888	19.7654	0.1802	115000
001.08657455000	+09.82875480000	VizieR	001.086574550	+09.828754800	119790010865425076	436363264	52	0.0755	0.0755	55483.036990740	3	5	 	 	 	 	16416	22.0715	0.0222	22.1163	0.0903	115000	21.7366	0.0823	21.8865	0.2942	115000	 	 	 	 	114720	 	 	 	 	16416
001.09168943000	+09.82621086000	VizieR	001.091689430	+09.826210860	119790010916691943	436363264	52	0.0932	0.0932	56041.945115740	3	4	 	 	 	 	16416	 	 	 	 	16416	21.4660	0.3143	21.4899	0.0559	115000	 	 	 	 	114720	 	 	 	 	114720
001.05961093000	+09.81997664000	VizieR	001.059610930	+09.819976640	119780010595854528	436527232	52	0.0115	0.0046	56049.058715280	5	51	20.3631	0.0103	20.2802	0.0566	115000	19.7842	0.0160	19.8763	0.0434	115000	19.4929	0.0118	19.5694	0.0305	115000	19.4023	0.0355	19.4655	0.0182	115000	19.3328	0.0345	19.4110	0.0913	115000
001.07887915000	+09.82825181000	VizieR	001.078879150	+09.828251810	119790010788464665	444915712	53	0.1090	0.0957	56268.102407410	3	8	 	 	 	 	16416	21.0213	0.1802	 	 	118840	21.5481	0.0734	 	 	16892216	21.2351	0.1874	20.6677	0.2302	16892216	 	 	 	 	16416
