_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
000.66304300	+10.20532400	VizieR	1	+	6	J000239.13+101219.1	 	Im	000.663043	+10.205324	 	21.291	0.090	18.557	0.007	16.995	0.006	16.167	0.006	15.704	0.007	3	2008.9968	1237679319089610891
000.65789100	+10.25965500	VizieR	1	+	6	J000237.89+101534.7	 	Im	000.657891	+10.259655	 	17.296	0.010	15.734	0.004	15.122	0.005	15.584	0.004	14.830	0.006	3	2008.9968	1237679319089610813
000.65156100	+10.20432400	VizieR	1	+	6	J000236.37+101215.5	 	Im	000.651561	+10.204324	 	17.327	0.010	15.888	0.004	15.429	0.005	16.000	0.004	15.074	0.006	3	2008.9968	1237679319089610811
000.64700600	+10.19845700	VizieR	1	+	6	J000235.28+101154.4	 	Im	000.647006	+10.198457	 	19.176	0.024	17.303	0.005	16.485	0.005	16.198	0.006	16.036	0.008	3	2008.9968	1237679319089610809
000.63478000	+10.21088600	VizieR	1	+	6	J000232.34+101239.1	 	Im	000.634780	+10.210886	 	18.799	0.020	17.484	0.005	16.907	0.006	16.695	0.006	16.600	0.010	3	2008.9968	1237679319089610798
000.62201200	+10.20068400	VizieR	1	+	6	J000229.28+101202.4	 	Im	000.622012	+10.200684	 	17.001	0.009	15.816	0.004	15.351	0.005	15.877	0.004	15.114	0.006	3	2008.9968	1237679319089610781
000.60365100	+10.22734200	VizieR	1	+	6	J000224.87+101338.4	 	Im	000.603651	+10.227342	 	19.084	0.023	16.535	0.004	15.236	0.005	15.042	0.001	14.354	0.006	3	2008.9968	1237679319089610776
000.59536700	+10.32142900	VizieR	1	+	6	J000222.88+101917.1	 	Im	000.595367	+10.321429	 	18.207	0.015	16.647	0.004	16.081	0.005	15.883	0.006	15.788	0.007	3	2008.9968	1237679319089610767
000.59330900	+10.29123000	VizieR	1	+	6	J000222.39+101728.4	 	Im	000.593309	+10.291230	 	20.294	0.046	17.725	0.006	16.567	0.006	16.147	0.006	15.898	0.007	3	2008.9968	1237679319089610857
001.16219200	+09.69073900	VizieR	1	+	6	J000438.92+094126.6	 	Im	001.162192	+09.690739	 	20.053	0.055	17.436	0.005	16.225	0.004	15.775	0.005	15.515	0.006	3	2008.8359	1237678906246168664
001.15697900	+09.79804900	VizieR	1	+	6	J000437.67+094752.9	 	Im	001.156979	+09.798049	 	18.301	0.015	16.803	0.005	16.194	0.006	15.928	0.006	15.798	0.007	3	2008.9968	1237679318552936597
001.15014100	+09.75375600	VizieR	1	+	6	J000436.03+094513.5	 	Im	001.150141	+09.753756	 	18.664	0.022	17.469	0.005	16.995	0.005	16.840	0.006	16.754	0.011	3	2008.8359	1237678906246168610
001.12165700	+09.81497600	VizieR	1	+	6	J000429.19+094853.9	 	Im	001.121657	+09.814976	 	17.037	0.009	15.671	0.004	15.198	0.005	15.012	0.006	14.933	0.005	3	2008.9968	1237679318552936541
001.11930200	+09.61725500	VizieR	1	+	6	J000428.63+093702.1	 	Im	001.119302	+09.617255	 	17.760	0.014	16.492	0.004	15.986	0.004	15.790	0.005	15.711	0.007	3	2008.8359	1237678906246168588
001.09245400	+09.65870000	VizieR	1	+	6	J000422.18+093931.3	 	Im	001.092454	+09.658700	 	19.223	0.031	16.900	0.004	15.965	0.004	15.591	0.005	15.362	0.006	3	2008.8359	1237678906246103229
001.07603400	+09.77172600	VizieR	1	+	6	J000418.24+094618.2	 	Im	001.076034	+09.771726	 	19.476	0.028	17.555	0.006	16.795	0.006	16.470	0.006	16.313	0.008	3	2008.9968	1237679318552936639
001.07580100	+09.76362400	VizieR	1	+	6	J000418.19+094549.0	 	Im	001.075801	+09.763624	 	18.105	0.016	16.492	0.004	15.838	0.004	15.571	0.005	15.437	0.006	3	2008.8359	1237678906246103103
001.07546500	+09.73155200	VizieR	1	 	6	J000418.11+094353.5	 	Im	001.075465	+09.731552	 	17.168	0.011	15.207	0.004	15.455	0.012	16.736	0.017	13.671	0.005	3	2008.8359	1237678906246103099
001.07446200	+09.79318900	VizieR	1	+	6	J000417.87+094735.4	 	Im	001.074462	+09.793189	 	19.237	0.024	16.504	0.005	15.323	0.005	14.877	0.006	14.615	0.005	3	2008.9968	1237679318552936499
001.07187900	+09.67526300	VizieR	1	+	6	J000417.25+094030.9	 	Im	001.071879	+09.675263	 	20.752	0.091	17.983	0.006	16.729	0.005	16.248	0.005	15.959	0.007	3	2008.8359	1237678906246103199
001.06850800	+09.66003200	VizieR	1	+	6	J000416.44+093936.1	 	Im	001.068508	+09.660032	 	18.528	0.020	16.175	0.004	15.107	0.004	14.640	0.004	14.338	0.004	3	2008.8359	1237678906246103094
001.06483900	+09.64501300	VizieR	1	+	6	J000415.56+093842.0	 	Im	001.064839	+09.645013	 	19.310	0.033	16.772	0.004	15.709	0.004	15.321	0.004	15.080	0.005	3	2008.8359	1237678906246103193
001.04719400	+09.85777300	VizieR	1	+	6	J000411.32+095127.9	 	Im	001.047194	+09.857773	 	19.687	0.031	17.536	0.006	16.705	0.006	16.391	0.006	16.190	0.008	3	2008.9968	1237679318552936620
001.04289200	+09.69533200	VizieR	1	+	6	J000410.29+094143.2	 	Im	001.042892	+09.695332	 	20.818	0.094	17.927	0.006	16.401	0.004	15.551	0.005	15.050	0.005	3	2008.8359	1237678906246103185
001.04017300	+09.67783700	VizieR	1	+	6	J000409.64+094040.2	 	Im	001.040173	+09.677837	 	17.438	0.011	15.758	0.003	15.096	0.004	14.825	0.004	14.646	0.005	3	2008.8359	1237678906246103087
001.03725400	+09.73145900	VizieR	1	+	6	J000408.94+094353.2	 	Im	001.037254	+09.731459	 	19.723	0.043	17.023	0.004	15.609	0.004	14.441	0.004	13.855	0.004	3	2008.8359	1237678906246103181
001.03283300	+09.88938700	VizieR	1	+	6	J000407.88+095321.7	 	Im	001.032833	+09.889387	 	18.716	0.019	16.256	0.005	15.193	0.005	14.815	0.005	14.594	0.005	3	2008.9968	1237679318552936468
001.02790600	+09.75285100	VizieR	1	+	6	J000406.69+094510.2	 	Im	001.027906	+09.752851	 	17.776	0.013	16.430	0.004	15.892	0.004	15.693	0.005	15.595	0.006	3	2008.8359	1237678906246103084
000.99355000	+09.84195700	VizieR	1	+	6	J000358.45+095031.0	 	Im	000.993550	+09.841957	 	19.460	0.027	17.505	0.006	16.640	0.006	16.280	0.006	16.227	0.008	3	2008.9968	1237679318552871047
