objID,raMean,decMean,rMeanKronMag
109590349030579593,34.90308301,1.33262532,-999.0
109590349060719292,34.90604836,1.33239713,-999.0
109590349064249504,34.90643746,1.33256736,-999.0
109590349071368332,34.90713806,1.33160025,-999.0
109590349096418915,34.909647,1.33208477,-999.0
109590349100199505,34.91002151,1.33257731,-999.0
109590349136166525,34.91362653,1.3300869,-999.0
109590349143959212,34.91442332,1.33231592,-999.0
109590349148268246,34.91482604,1.33150635,-999.0
109590349153367606,34.91533354,1.33098397,-999.0
109590349161078528,34.91611965,1.3317539,-999.0
109590349163286303,34.91632159,1.32990766,-999.0
109590349166827859,34.9167001,1.33119474,-999.0
109590349166888957,34.91688369,1.33212128,-999.0
109820349233401851,34.92333797,1.51782476,-999.0
109820349237083656,34.92371104,1.51933249,-999.0
109820349249427753,34.92492971,1.5227529,-999.0
109820349253729764,34.92538185,1.52442098,-999.0
109820349264103818,34.92633676,1.51943238,-999.0
109820349270040734,34.92692444239231,1.5168626764936393,21.59000015258789
109820349273043306,34.9273176186739,1.5189776411953502,20.745500564575195
109820349273072805,34.92729838,1.51863122,-999.0
109820349274338422,34.92744153,1.52329582,-999.0
109820349280491983,34.9279099,1.51785631,-999.0
109820349282869881,34.92828613,1.52453494,-999.0
109820349288435291,34.92884316,1.52071028,-999.0
109820349288939995,34.92883518,1.52486405,-999.0
109820349289238277,34.92892307,1.52319825,-999.0
109820349289965278,34.92899654,1.52069892,-999.0
109820349290765757,34.92907098,1.5210665,-999.0
109820349290995370,34.92909867,1.52074582,-999.0
109820349294666921,34.92946081,1.52203566,-999.0
109820349295857419,34.92958548,1.52248377,-999.0
109820349297120208,34.92963522,1.51642347,-999.0
109820349300104669,34.93001079,1.52019174,-999.0
109820349300206218,34.93002055,1.52148256,-999.0
109820349300725913,34.9300666,1.52119673,-999.0
109820349300747049,34.93006825,1.52214239,-999.0
109820349301420506,34.93014163,1.51669438,-999.0
109820349302005332,34.93019432,1.52073412,-999.0
109820349303867131,34.93038644,1.52224326,-999.0
109820349305065653,34.93050505,1.52098144,-999.0
109820349306206520,34.93062055,1.521734,-999.0
109820349307327133,34.93072968,1.52223943,-999.0
109820349309596527,34.93095381,1.52170812,-999.0
109820349309715909,34.93097125,1.52122511,-999.0
109820349310032051,34.93100325,1.51801011,-999.0
109820349310437568,34.9310439,1.5226078,-999.0
109820349311197270,34.93111352,1.52232645,-999.0
109820349311420632,34.93114161,1.51679853,-999.0
109820349311430715,34.9311439,1.51689719,-999.0
109820349312084898,34.93120803,1.52038231,-999.0
109820349312281450,34.93122867,1.51750933,-999.0
109820349312980231,34.93129869,1.51649344,-999.0
109820349313028763,34.93130248,1.52360369,-999.0
109820349313343662,34.93132498,1.51934392,-999.0
109820349315282152,34.93152812,1.51809405,-999.0
109820349316946019,34.93169481,1.52128551,-999.0
109820349319600869,34.93196019,1.51702533,-999.0
109820349319715535,34.93197031,1.52091311,-999.0
109820349320010856,34.93200126,1.51701461,-999.0
109820349322837487,34.93228336,1.52251076,-999.0
109820349324621079,34.93247719846926,1.5170731176186747,21.592599868774414
109820349324785211,34.93247864,1.52061286,-999.0
109820349327886941,34.93278818,1.5220854,-999.0
109820349328841215,34.93288437,1.51731314,-999.0
109820349328928097,34.93289226,1.52304834,-999.0
109820349329427837,34.93294213,1.52283168,-999.0
109820349330355348,34.93291283,1.5207014,-999.0
109820349331796935,34.93317944,1.52205043,-999.0
109820349333113298,34.93331996,1.51903999,-999.0
109820349334419168,34.93344133,1.52394066,-999.0
109820349334550008,34.93345517,1.51630791,-999.0
109820349335416468,34.93354163,1.52165995,-999.0
109820349336198248,34.93361997,1.52314403,-999.0
109820349336456931,34.93364547,1.52204684,-999.0
109820349337878749,34.93378233,1.52359378,-999.0
109820349338289245,34.933828,1.52400522,-999.0
109820349338861205,34.93388771,1.51727563,-999.0
109820349339810114,34.93398177,1.51639564,-999.0
109820349342039736,34.93420337,1.52441444,-999.0
109820349342195491,34.93421965,1.5208772,-999.0
109820349342195492,34.93421967,1.52087728,-999.0
109820349342437152,34.93424385,1.52226075,-999.0
109820349342580191,34.9342582,1.51646056,-999.0
109820349344209361,34.93442045,1.52410149,-999.0
109820349344649963,34.93445046,1.52459443,-999.0
109820349344867634,34.93447506,1.52262416,-999.0
109820349346311501,34.93463135,1.51755206,-999.0
109820349346313345,34.934750141309394,1.5190776308604488,-999.0
109820349347197193,34.93471969,1.5222657,-999.0
109820349348220280,34.93482259,1.51653402,-999.0
109820349350766902,34.93502837,1.52185402,20.444400787353516
109820349351075335,34.93511431,1.52072439,21.284900665283203
109820349351181283,34.93519338,1.5174333,-999.0
109820349351648848,34.93515124290225,1.5237385889021282,19.71269989013672
109940349367844946,34.9366280200369,1.6203820411307641,21.37529945373535
109940349373042168,34.937321531688575,1.618108052707079,21.6023006439209
109940349373434552,34.93734673,1.62009215,-999.0
109940349374969216,34.9376234,1.62394115,-999.0
109940349375747280,34.93757771,1.622368,-999.0
109940349380068540,34.93800143,1.62356702,-999.0
109940349380826399,34.93808607,1.62164587,-999.0
109940349382266975,34.9382473,1.6221014,21.61199951171875
109940349382437347,34.93826237,1.62240749,-999.0
109940349385156794,34.93843538339636,1.6220255892211035,21.278799057006836
109940349387223529,34.93873323425963,1.61927194925837,20.481000900268555
109940349399855031,34.93998673,1.62049275,-999.0
109940349417899516,34.94180273,1.62426064,-999.0
109940349424447942,34.94243306,1.62289879,21.291500091552734
109940349429267660,34.942896290336094,1.6227474249260199,20.873899459838867
109940349432286728,34.94333884,1.62183786,-999.0
109940349434716563,34.94331235993985,1.6218306269236622,21.02910041809082
109940349435741809,34.9435761,1.61780808,-999.0
109940349436460282,34.94366723,1.61653425,-999.0
109940349439120032,34.94393521,1.61631863,-999.0
109940349444196065,34.94444157,1.62135072,-999.0
109940349444527888,34.94447083,1.6228596,-999.0
109940349445175728,34.94453774,1.6210659,-999.0
109940349446526956,34.94467119,1.6220825,-999.0
109940349467198240,34.94672076,1.62316764,-999.0
109940349477861006,34.94778642,1.61713772,-999.0
109940349499426018,34.94999104,1.62131782,20.98550033569336
109940349515774102,34.95161550417656,1.6197261301476384,-999.0
109940349517580388,34.95177220233075,1.6165940863709451,21.595500946044922
109940349519222590,34.95194121,1.61848408,-999.0
109790349410232349,34.94102371,1.49325839,-999.0
109790349411068909,34.94109656,1.4986969,-999.0
109790349411316523,34.94113184,1.49673666,-999.0
109790349411386524,34.94113893,1.49673747,-999.0
109790349411770722,34.94133966,1.49194947,-999.0
109790349411789653,34.94117807,1.49934497,-999.0
109790349412960145,34.94129634,1.4913933,-999.0
109790349415032417,34.94150373,1.49331526,-999.0
109790349415442410,34.94154477,1.49330956,-999.0
109790349415498174,34.9415498,1.49811247,-999.0
109790349415931361,34.94159354,1.49243546,-999.0
109790349417117937,34.94171137,1.49791545,-999.0
109790349417820239,34.94178236,1.49149993,-999.0
109790349418276523,34.94182851,1.49671064,-999.0
109790349419862567,34.94198625,1.49344027,-999.0
109790349420159818,34.94201531,1.49948275,-999.0
109790349420193178,34.94201961,1.49394946,-999.0
109790349420876952,34.942088,1.49706786,-999.0
109790349421814226,34.9422861180283,1.4948187084082283,-999.0
109790349423350345,34.94233537,1.49158899,-999.0
109790349424442644,34.94244284,1.49347712,-999.0
109790349424481527,34.94244697,1.49254663,-999.0
109790349426994002,34.94269945,1.49463633,-999.0
109790349427996958,34.94280006,1.49707266,-999.0
109790349428301648,34.94283042,1.49267474,-999.0
109790349428399981,34.94283957,1.49961841,-999.0
109790349428903350,34.94289029,1.49409277,-999.0
109790349429499271,34.9429496,1.4990001,-999.0
109790349429828230,34.94298204,1.49815911,-999.0
109790349430697242,34.94306968,1.49733616,-999.0
109790349433239379,34.94332384,1.49911684,-999.0
109790349434986939,34.94349868,1.49708387,-999.0
109790349435077311,34.9435072,1.49739371,-999.0
109790349435516997,34.94355166,1.49710537,-999.0
109790349436410590,34.94364155,1.49179262,-999.0
109790349437152848,34.9435428,1.49379323,-999.0
109790349437623550,34.94376061,1.49423155,-999.0
109790349437872855,34.94378762,1.49368061,-999.0
109790349438619419,34.94386112,1.49912332,-999.0
109790349438801762,34.94387923,1.49274206,-999.0
109790349439254244,34.94392553,1.49483813,-999.0
109790349440578335,34.94404775,1.49813839,-999.0
109790349442069486,34.94420604,1.49917855,-999.0
109790349443362975,34.9443364,1.49377988,-999.0
109790349443833649,34.94438177,1.49431392,-999.0
109790349444037378,34.94440346,1.49744962,-999.0
109790349445648432,34.94456417,1.49832737,-999.0
109790349445762064,34.94456714,1.49299554,-999.0
109790349446078454,34.94460701,1.4983461,-999.0
109790349448266663,34.94482671,1.49685378,-999.0
