# Mask name, center:
RMJ0219B           2:19:48.41    1:29:01.5  2000.0 PA=210.00 ##

#  Guider center:    2:19:40.75    1:28:09.8

# Selected Objects:

9912550105       02:19:57.882 +01:29:29.10 2000.0 20.56 r 2081 1 1 -10
0035659855       02:20:00.852 +01:29:58.01 2000.0 20.39 r 4208 1 1 -10
0059172775       02:20:01.422 +01:29:36.79 2000.0 21.41 r   72 1 1 -10
9743676269       02:19:53.851 +01:33:47.41 2000.0 21.72 r  822 1 1 -10
9839245911       02:19:56.157 +01:33:46.20 2000.0 21.86 r  592 1 1 -10
9984755545       02:19:59.618 +01:33:45.14 2000.0 21.00 r  551 1 1 -10
0127814804       02:20:03.079 +01:33:43.07 2000.0 21.37 r  586 1 1 -10
0328901916       02:20:07.897 +01:33:34.41 2000.0 20.45 r 4275 1 1 -10
0338435776       02:20:08.148 +01:33:45.60 2000.0 21.38 r  254 1 1 -10
9532222728       02:19:48.789 +01:30:06.87 2000.0 20.58 r 1115 1 1 -10
9801493756       02:19:55.226 +01:30:10.01 2000.0 21.15 r 1422 1 1 -10
9774372874       02:19:54.617 +01:34:06.99 2000.0 21.52 r 1071 1 1 -10

# Selected Guide Stars:

# 9027101145   2:19:36.64   1:28:02.1 15.26_r  TV(x,y)=  334.6  754.6 ##

# Non-Selected Objects:

8030263787       02:19:12.739 +01:22:40.08 2000.0 21.32 r  952 1 0 -10
8227482912       02:19:17.479 +01:22:37.53 2000.0 21.71 r   73 1 0 -10
0469712388       02:20:11.262 +01:22:36.06 2000.0 21.53 r  573 1 0 -10
0668522068       02:20:16.037 +01:22:34.94 2000.0 21.28 r  492 1 0 -10
0714332689       02:20:17.120 +01:22:37.09 2000.0 20.56 r 1063 1 0 -10
0746620290       02:20:17.919 +01:22:28.99 2000.0 21.69 r  815 1 0 -10
0886609969       02:20:21.278 +01:22:58.49 2000.0 20.81 r  931 1 0 -10
0919986631       02:20:22.088 +01:22:48.68 2000.0 20.21 r 1051 1 0 -10
1095025855       02:20:26.294 +01:22:46.07 2000.0 21.22 r  138 1 0 -10
1275303000       02:20:30.611 +01:22:37.74 2000.0 20.33 r 4999 1 0 -10
8603869012       02:19:26.508 +01:18:55.85 2000.0 20.46 r 2579 1 0 -10
9026142154       02:19:36.628 +01:18:35.04 2000.0 20.69 r  902 1 0 -10
9078367896       02:19:37.873 +01:18:52.40 2000.0 20.09 r 1757 1 0 -10
9186361178       02:19:40.468 +01:18:32.47 2000.0 19.98 r 1748 1 0 -10
9334594170       02:19:44.020 +01:18:40.93 2000.0 21.76 r   38 1 0 -10
9456874566       02:19:46.968 +01:18:42.47 2000.0 20.51 r  939 1 0 -10
9489398098       02:19:47.748 +01:18:53.39 2000.0 21.65 r  706 1 0 -10
0126155971       02:20:03.030 +01:18:46.67 2000.0 21.43 r  654 1 0 -10
0175559399       02:20:04.221 +01:18:56.84 2000.0 20.40 r 1634 1 0 -10
0181096716       02:20:04.348 +01:18:48.46 2000.0 20.99 r 1825 1 0 -10
0200688229       02:20:04.824 +01:18:53.28 2000.0 20.47 r 2926 1 0 -10
0207906726       02:20:04.993 +01:18:48.92 2000.0 20.14 r 1394 1 0 -10
0306330604       02:20:07.326 +01:18:30.08 2000.0 21.49 r 1796 1 0 -10
0437598375       02:20:10.492 +01:18:53.56 2000.0 21.25 r  805 1 0 -10
0446388451       02:20:10.710 +01:18:53.84 2000.0 20.97 r 1438 1 0 -10
7938727859       02:19:10.536 +01:23:22.28 2000.0 21.19 r  972 1 0 -10
7977477581       02:19:11.477 +01:23:21.65 2000.0 21.45 r  327 1 0 -10
8251016976       02:19:18.038 +01:23:19.61 2000.0 20.45 r  110 1 0 -10
8478113211       02:19:23.491 +01:23:08.27 2000.0 19.56 r  848 1 0 -10
8615450051       02:19:26.799 +01:22:59.02 2000.0 22.03 r  836 1 0 -10
9087042922       02:19:38.087 +01:23:07.69 2000.0 21.40 r  932 1 0 -10
9991497725       02:19:59.801 +01:23:22.04 2000.0 21.33 r  880 1 0 -10
0006084441       02:20:00.151 +01:23:12.11 2000.0 19.49 r 5403 1 0 -10
0070605244       02:20:01.706 +01:23:14.50 2000.0 22.19 r  101 1 0 -10
0156323743       02:20:03.749 +01:23:10.24 2000.0 20.09 r  436 1 0 -10
0800930731       02:20:19.227 +01:23:00.64 2000.0 20.52 r  511 1 0 -10
0980504624       02:20:23.574 +01:23:12.46 2000.0 21.78 r  265 1 0 -10
1206090726       02:20:28.944 +01:23:00.58 2000.0 20.64 r  594 1 0 -10
8613170112       02:19:26.731 +01:18:59.14 2000.0 20.36 r 5283 1 0 -10
8632666747       02:19:27.200 +01:19:19.33 2000.0 20.80 r  786 1 0 -10
9098451432       02:19:38.388 +01:19:02.99 2000.0 20.21 r  524 1 0 -10
9157860458       02:19:39.800 +01:19:00.25 2000.0 19.54 r   60 1 0 -10
9427524821       02:19:46.282 +01:19:12.91 2000.0 21.17 r  652 1 0 -10
9497288346       02:19:47.962 +01:19:23.81 2000.0 20.71 r   67 1 0 -10
9545478611       02:19:49.100 +01:19:24.46 2000.0 20.47 r  343 1 0 -10
9558030620       02:19:49.410 +01:19:00.55 2000.0 20.33 r  164 1 0 -10
9997950176       02:19:59.962 +01:18:59.15 2000.0 20.24 r 3301 1 0 -10
0086382410       02:20:02.066 +01:19:05.70 2000.0 20.99 r  943 1 0 -10
0202442071       02:20:04.850 +01:19:05.10 2000.0 21.17 r  297 1 0 -10
0254006803       02:20:06.108 +01:19:18.86 2000.0 20.61 r 5477 1 0 -10
8040456449       02:19:12.989 +01:23:48.15 2000.0 21.06 r 1939 1 0 -10
8137047432       02:19:15.293 +01:23:51.09 2000.0 21.14 r 1041 1 0 -10
8263244061       02:19:18.330 +01:23:40.84 2000.0 19.77 r  107 1 0 -10
8444856670       02:19:22.686 +01:23:48.67 2000.0 20.62 r 3454 1 0 -10
8757214611       02:19:30.195 +01:23:42.33 2000.0 19.09 r  209 1 0 -10
8888279320       02:19:33.322 +01:23:56.58 2000.0 20.77 r 1926 1 0 -10
8931463626       02:19:34.391 +01:23:39.94 2000.0 21.83 r  885 1 0 -10
8948654195       02:19:34.762 +01:23:41.26 2000.0 21.26 r  297 1 0 -10
9643136048       02:19:51.448 +01:23:46.64 2000.0 21.68 r  899 1 0 -10
