OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?
9027101145,02:19:36.644,+01:28:02.09,2000.0,15.26,r,-1,0,1
8730349650,02:19:29.539,+01:22:57.71,2000.0,18.20,r,-2,0,1
9011169905,02:19:36.274,+01:22:28.41,2000.0,19.59,r,-2,0,1
9298251384,02:19:43.165,+01:22:32.88,2000.0,19.66,r,-2,0,1
0329075164,02:20:07.931,+01:34:44.05,2000.0,19.28,r,-2,0,1
0250668292,02:20:06.020,+01:34:53.52,2000.0,19.82,r,-2,0,1
