OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
1791208723,23:20:42.981,+29:07:54.50,2000.0,21.51,r,481,1,1,87
2163387393,23:20:51.914,+29:07:50.51,2000.0,20.89,r,119,1,1,87
1709834434,23:20:41.039,+29:08:11.42,2000.0,21.00,r,1685,1,1,87
1875431500,23:20:45.030,+29:08:32.29,2000.0,21.63,r,1136,1,1,87
1572876368,23:20:37.747,+29:09:17.94,2000.0,21.80,r,1115,1,1,87
2100804805,23:20:50.423,+29:09:12.67,2000.0,21.00,r,5490,1,1,87
2417443004,23:20:58.035,+29:09:07.62,2000.0,21.54,r,1474,1,1,87
1568997157,23:20:37.663,+29:09:49.76,2000.0,19.18,r,8,1,1,87
2358948856,23:20:56.631,+29:09:54.60,2000.0,20.87,r,2879,1,1,87
1905801192,23:20:45.749,+29:10:01.93,2000.0,21.06,r,4577,1,1,87
1960693808,23:20:47.037,+29:10:10.27,2000.0,20.99,r,4209,1,1,87
2119161775,23:20:50.867,+29:10:03.69,2000.0,20.44,r,661,1,1,87
2134244240,23:20:51.217,+29:10:11.04,2000.0,20.44,r,2635,1,1,87
2448349599,23:20:58.758,+29:10:27.19,2000.0,22.14,r,319,1,1,87
1694018298,23:20:40.669,+29:10:53.23,2000.0,21.37,r,819,1,1,87
2330541999,23:20:55.929,+29:10:34.32,2000.0,21.99,r,915,1,1,87
2360685931,23:20:56.669,+29:10:46.15,2000.0,21.17,r,2403,1,1,87
2364261165,23:20:56.753,+29:10:31.95,2000.0,21.06,r,3034,1,1,87
2496103104,23:20:59.890,+29:10:37.67,2000.0,21.67,r,1344,1,1,87
1846392523,23:20:44.303,+29:11:05.43,2000.0,21.85,r,758,1,1,87
1898161929,23:20:45.565,+29:11:04.16,2000.0,20.83,r,3497,1,1,87
2363079901,23:20:56.711,+29:11:28.08,2000.0,22.02,r,712,1,1,87
2633390414,23:21:03.178,+29:11:00.01,2000.0,17.89,r,93,1,1,87
1682136039,23:20:40.379,+29:11:46.12,2000.0,20.96,r,2172,1,1,87
2399770249,23:20:57.600,+29:11:29.03,2000.0,20.27,r,5151,1,1,87
2417571215,23:20:58.027,+29:11:32.05,2000.0,20.75,r,3396,1,1,87
2431772549,23:20:58.363,+29:11:35.97,2000.0,22.09,r,905,1,1,87
2512080380,23:21:00.295,+29:11:29.69,2000.0,20.92,r,6006,1,1,87
2634250282,23:21:03.222,+29:11:29.17,2000.0,21.03,r,4555,1,1,87
2775740945,23:21:06.600,+29:11:30.72,2000.0,19.62,r,1484,1,1,87
1795362632,23:20:43.094,+29:12:06.23,2000.0,20.21,r,132,1,1,87
2609295532,23:21:02.623,+29:12:14.81,2000.0,21.26,r,1734,1,1,87
2749658620,23:21:05.996,+29:12:24.17,2000.0,21.96,r,757,1,1,87
2883853842,23:21:09.232,+29:12:09.67,2000.0,21.94,r,1263,1,1,87
2327306149,23:20:55.850,+29:12:46.52,2000.0,21.80,r,699,1,1,87
2346607240,23:20:56.316,+29:12:49.69,2000.0,21.37,r,2314,1,1,87
2761403101,23:21:06.280,+29:12:37.54,2000.0,21.34,r,2574,1,1,87
2339393886,23:20:56.186,+29:13:10.08,2000.0,22.11,r,306,1,1,87
2381936308,23:20:57.147,+29:13:17.26,2000.0,21.35,r,3540,1,1,87
2480028724,23:20:59.526,+29:13:24.44,2000.0,21.78,r,613,1,1,87
2505428771,23:21:00.136,+29:13:24.63,2000.0,21.61,r,1166,1,1,87
2523370717,23:21:00.556,+29:13:00.19,2000.0,21.84,r,1538,1,1,87
2718794139,23:21:05.257,+29:13:10.93,2000.0,21.60,r,1099,1,1,87
2722288814,23:21:05.331,+29:13:24.74,2000.0,21.16,r,3054,1,1,87
3239874928,23:21:17.762,+29:13:12.93,2000.0,21.48,r,2033,1,1,87
2301511083,23:20:55.217,+29:13:31.42,2000.0,21.01,r,2327,1,1,87
3042284297,23:21:13.002,+29:13:41.10,2000.0,21.54,r,430,1,1,87
3242578445,23:21:17.824,+29:13:53.98,2000.0,21.51,r,1608,1,1,87
2713246728,23:21:05.124,+29:14:18.51,2000.0,20.59,r,4164,1,1,87
2817795964,23:21:07.624,+29:14:16.19,2000.0,21.48,r,1365,1,1,87
2576331841,23:21:01.840,+29:14:33.78,2000.0,20.13,r,4183,1,1,87
2591463236,23:21:02.200,+29:14:38.24,2000.0,21.10,r,1158,1,1,87
2738740417,23:21:05.748,+29:14:29.54,2000.0,19.40,r,176,1,1,87
2862070125,23:21:08.716,+29:14:28.87,2000.0,20.48,r,1080,1,1,87
2879155935,23:21:09.084,+29:14:46.09,2000.0,20.62,r,1761,1,1,87
3132723008,23:21:15.184,+29:14:37.40,2000.0,21.43,r,1150,1,1,87
3236779541,23:21:17.698,+29:14:56.92,2000.0,21.14,r,941,1,1,87
3465356748,23:21:23.182,+29:14:48.72,2000.0,20.49,r,1921,1,1,87
3118212298,23:21:14.838,+29:15:05.23,2000.0,20.69,r,2061,1,1,87
3071273392,23:21:13.708,+29:15:38.40,2000.0,21.32,r,473,1,1,87
3218475079,23:21:17.279,+29:15:43.65,2000.0,21.88,r,280,1,1,87
3219066510,23:21:17.261,+29:16:17.78,2000.0,21.86,r,949,1,1,87
3470677703,23:21:23.300,+29:16:21.59,2000.0,21.62,r,718,1,1,87
3011841820,23:21:12.278,+29:16:33.95,2000.0,21.22,r,544,1,1,87
3198152270,23:21:16.744,+29:16:34.85,2000.0,21.62,r,772,1,1,87
3577164208,23:21:25.871,+29:16:41.11,2000.0,21.17,r,4971,1,1,87
3295732027,23:21:19.106,+29:17:04.29,2000.0,22.42,r,129,1,1,87
3586319979,23:21:26.067,+29:17:28.27,2000.0,21.26,r,968,1,1,87
