RA,DEC,z,delta_z
35.092,1.3801916666666667,0.515967,0.000174
34.98920833333332,1.5006444444444444,0.369654,8.1e-05
34.98983333333332,1.6233,0.436577,9.9e-05
34.96729166666666,1.4978333333333333,0.364986,6.3e-05
35.02283333333333,1.5975222222222223,0.370323,5.7e-05
34.97004166666666,1.5897611111111112,0.433071,0.0001
34.959166666666654,1.554252777777778,0.360088,7.3e-05
35.02558333333333,1.6001333333333334,0.282435,4.5e-05
34.91091666666666,1.6019361111111112,0.607604,0.000156
34.984249999999996,1.516261111111111,0.367521,7.3e-05
35.006875,1.4742111111111111,0.362958,7.6e-05
34.956374999999994,1.5005305555555555,0.543478,0.000131
34.83299999999999,1.5156611111111111,0.434602,0.000103
34.98254166666666,1.3481611111111111,0.372879,6.8e-05
34.817541666666656,1.3589666666666667,-0.000593,5.9e-05
34.894541666666655,1.4774333333333334,0.654608,0.000165
34.92087499999999,1.5379472222222221,2.3266,0.000331
34.914583333333326,1.3603444444444446,-0.000168,1.3e-05
35.01208333333333,1.406161111111111,0.769234,0.000176
35.026666666666664,1.5783222222222222,1.17012,0.000443
34.96987499999999,1.6310027777777778,0.910597,0.00019
34.87616666666666,1.3478555555555556,0.827676,0.000315
34.93191666666666,1.3776916666666668,1.7427,0.00053
34.914333333333325,1.4435361111111111,2.09401,0.000345
34.95591666666665,1.5401555555555555,1.63635,0.000424
34.956958333333326,1.4541111111111111,1.44951,0.000372
34.92412499999999,1.489952777777778,1.65128,0.000666
34.90145833333333,1.5314611111111112,3.30233,0.000647
34.88341666666666,1.5609,0.655647,0.000272
34.99104166666665,1.5377638888888887,0.748724,0.000103
34.977999999999994,1.406236111111111,0.984797,0.000176
34.980374999999995,1.4878777777777779,0.749174,0.000104
34.87808333333332,1.4799472222222223,0.835647,0.000219
34.947083333333325,1.349697222222222,0.908122,7e-05
34.89133333333333,1.3622833333333335,0.789445,4.8e-05
35.040124999999996,1.5884472222222223,0.704115,8.3e-05
35.034,1.6446361111111112,0.929939,0.000101
35.10641666666666,1.4223527777777778,0.844548,0.00015
35.01383333333333,1.4334972222222222,0.758882,5.9e-05
35.05825,1.409386111111111,0.933444,5.8e-05
35.11741666666667,1.350277777777778,1.03147,0.000159
34.944958333333325,1.4443722222222222,0.7867,0.000104
34.983624999999996,1.4188861111111113,0.863293,0.000115
34.869041666666654,1.610663888888889,0.697152,0.000147
34.964208333333325,1.5901722222222223,0.789358,6.9e-05
34.89770833333333,1.5220888888888888,0.835757,9.8e-05
34.999666666666656,1.50385,0.845984,0.000153
35.060375,1.5718472222222222,0.786348,5.3e-05
34.97073,1.49306,0.3639,0.0
34.97244,1.50881,0.3679,0.0
34.97592,1.48903,0.3641,0.0
34.97009,1.48445,0.3585,0.0
34.97055,1.52299,0.3544,0.0
34.96812,1.47164,0.3496,0.0
34.98322,1.51881,0.3649,0.0
34.95749,1.52666,0.3489,0.0
34.97233,1.53017,0.2389,0.0
34.97742,1.46656,0.3686,0.0
34.9524,1.46302,0.3666,0.0
34.97462,1.54311,0.5602,0.0
35.00766,1.47442,0.362943,0.0
34.97732,1.44819,0.3697,0.0
34.95662,1.43912,0.5314,0.0
34.90044,1.53068,3.304,0.0
