# Mask name, center:
A384B              2:48:03.30   -2:15:57.3  2000.0 PA=-120.0 ##

#  Guider center:    2:47:54.93   -2:15:44.8

# Selected Objects:

0531005091       02:48:12.748 -02:17:16.00 2000.0 19.37 r 13768 1 1 39
0910966167       02:48:21.868 -02:17:12.71 2000.0 21.46 r   31 1 1 39
0851900178       02:48:20.456 -02:12:30.81 2000.0 19.55 r 7083 1 1 39

# Selected Guide Stars:

# 9840564628   2:47:56.19  -2:15:47.3 16.42_r  TV(x,y)=  584.3  454.5 ##

# Non-Selected Objects:

8366270701       02:47:20.769 -02:21:59.07 2000.0 19.84 r 5317 1 0 39
8548482866       02:47:25.181 -02:21:52.51 2000.0 19.97 r 8967 1 0 39
8626888063       02:47:27.072 -02:21:36.83 2000.0 21.53 r  159 1 0 39
8704885277       02:47:28.934 -02:21:45.25 2000.0 21.30 r   64 1 0 39
9877770918       02:47:57.088 -02:21:58.33 2000.0 20.64 r   24 1 0 39
0164112570       02:48:03.930 -02:21:53.61 2000.0 21.30 r  114 1 0 39
0196891749       02:48:04.728 -02:21:56.18 2000.0 21.10 r 1004 1 0 39
0492913138       02:48:11.844 -02:21:52.06 2000.0 19.54 r 9433 1 0 39
0725947562       02:48:17.437 -02:21:38.65 2000.0 21.80 r   33 1 0 39
0902064352       02:48:21.682 -02:21:48.02 2000.0 21.37 r  230 1 0 39
1091848416       02:48:26.209 -02:21:35.64 2000.0 21.05 r  938 1 0 39
1192406829       02:48:28.624 -02:21:40.94 2000.0 21.20 r   83 1 0 39
1382967023       02:48:33.217 -02:21:40.31 2000.0 21.42 r  456 1 0 39
1460848473       02:48:35.055 -02:21:35.91 2000.0 21.12 r  174 1 0 39
1620909319       02:48:38.919 -02:21:33.23 2000.0 20.73 r 1649 1 0 39
1708238110       02:48:41.010 -02:21:37.08 2000.0 19.32 r 8690 1 0 39
1709402789       02:48:41.014 -02:21:52.56 2000.0 20.91 r 2000 1 0 39
8332926410       02:47:19.998 -02:16:42.71 2000.0 20.55 r  666 1 0 39
8404670472       02:47:21.735 -02:16:59.69 2000.0 21.18 r    6 1 0 39
8408819231       02:47:21.846 -02:16:32.84 2000.0 20.31 r 1012 1 0 39
8721649558       02:47:29.336 -02:16:32.48 2000.0 21.88 r    2 1 0 39
8722681763       02:47:29.364 -02:16:55.88 2000.0 19.20 r 8815 1 0 39
8773202900       02:47:30.554 -02:16:52.56 2000.0 20.80 r  621 1 0 39
9386264496       02:47:45.274 -02:16:47.49 2000.0 21.06 r 1145 1 0 39
0120262915       02:48:02.905 -02:16:52.82 2000.0 20.42 r  640 1 0 39
0138577149       02:48:03.315 -02:16:39.39 2000.0 20.94 r 1423 1 0 39
0183865483       02:48:04.438 -02:16:44.72 2000.0 20.46 r 2177 1 0 39
0248265498       02:48:05.958 -02:16:44.57 2000.0 20.93 r   54 1 0 39
0342254066       02:48:08.219 -02:16:49.15 2000.0 21.09 r  684 1 0 39
0370267929       02:48:08.893 -02:16:37.45 2000.0 18.46 r 10320 1 0 39
0411641748       02:48:09.885 -02:16:56.14 2000.0 20.24 r  278 1 0 39
0436798865       02:48:10.478 -02:16:34.73 2000.0 19.47 r 9380 1 0 39
0466499667       02:48:11.203 -02:16:32.28 2000.0 19.19 r 9042 1 0 39
0477779009       02:48:11.482 -02:16:34.32 2000.0 20.19 r 4103 1 0 39
0478363589       02:48:11.496 -02:16:50.49 2000.0 19.77 r 4883 1 0 39
0518126906       02:48:12.432 -02:16:40.85 2000.0 21.08 r  604 1 0 39
0593379798       02:48:14.232 -02:16:31.52 2000.0 21.17 r  882 1 0 39
0608587337       02:48:14.612 -02:16:39.29 2000.0 20.23 r 2414 1 0 39
0675348783       02:48:16.222 -02:16:34.94 2000.0 20.62 r  423 1 0 39
0683975477       02:48:16.408 -02:16:44.95 2000.0 20.30 r 3059 1 0 39
0686857507       02:48:16.485 -02:16:38.50 2000.0 21.17 r   22 1 0 39
0843669003       02:48:20.279 -02:16:34.31 2000.0 21.51 r 2369 1 0 39
0923085695       02:48:22.169 -02:16:44.25 2000.0 21.61 r  199 1 0 39
0936474034       02:48:22.475 -02:16:49.19 2000.0 20.53 r  791 1 0 39
1016435121       02:48:24.419 -02:16:45.96 2000.0 20.75 r  208 1 0 39
1098103088       02:48:26.364 -02:16:52.13 2000.0 21.61 r  466 1 0 39
1281021776       02:48:30.757 -02:16:55.95 2000.0 20.40 r   11 1 0 39
1299369316       02:48:31.191 -02:16:33.39 2000.0 21.61 r   26 1 0 39
1635262699       02:48:39.257 -02:16:52.97 2000.0 21.12 r  797 1 0 39
1897087355       02:48:45.544 -02:16:39.32 2000.0 19.26 r 9531 1 0 39
1956248565       02:48:46.979 -02:16:35.67 2000.0 21.84 r    3 1 0 39
8707589850       02:47:29.028 -02:11:31.57 2000.0 21.52 r   10 1 0 39
9023085873       02:47:36.569 -02:11:43.47 2000.0 21.49 r  422 1 0 39
9142492391       02:47:39.452 -02:11:54.06 2000.0 22.24 r  232 1 0 39
9537812769       02:47:48.898 -02:11:53.38 2000.0 21.38 r 1372 1 0 39
9633906821       02:47:51.252 -02:11:40.39 2000.0 20.95 r 1505 1 0 39
9716320636       02:47:53.209 -02:12:00.32 2000.0 20.97 r 1024 1 0 39
9767530478       02:47:54.431 -02:11:59.80 2000.0 21.77 r   15 1 0 39
9826844482       02:47:55.855 -02:11:47.92 2000.0 21.51 r  424 1 0 39
9848408854       02:47:56.390 -02:11:34.54 2000.0 21.09 r  398 1 0 39
9878313915       02:47:57.091 -02:11:49.43 2000.0 21.31 r   25 1 0 39
0175594487       02:48:04.217 -02:11:47.90 2000.0 18.66 r 6954 1 0 39
0382464053       02:48:09.205 -02:11:49.03 2000.0 19.70 r 6159 1 0 39
0469552434       02:48:11.259 -02:11:54.20 2000.0 21.40 r  482 1 0 39
0482433876       02:48:11.615 -02:11:49.39 2000.0 22.31 r  142 1 0 39
0514660950       02:48:12.379 -02:11:58.43 2000.0 20.30 r 1231 1 0 39
0593289993       02:48:14.250 -02:11:31.44 2000.0 20.02 r  237 1 0 39
0874055369       02:48:20.990 -02:11:45.20 2000.0 20.18 r 5268 1 0 39
1047315073       02:48:25.151 -02:11:46.25 2000.0 22.03 r  353 1 0 39
1164861882       02:48:27.976 -02:11:56.42 2000.0 21.86 r  106 1 0 39
1345332163       02:48:32.285 -02:11:54.64 2000.0 20.15 r  985 1 0 39
1488635601       02:48:35.755 -02:11:44.36 2000.0 16.78 r 1050 1 0 39
1592098307       02:48:38.227 -02:11:36.63 2000.0 19.80 r 6048 1 0 39
1759600455       02:48:42.241 -02:12:00.01 2000.0 21.21 r   61 1 0 39
1770281334       02:48:42.501 -02:11:57.36 2000.0 19.83 r 8174 1 0 39
1778024041       02:48:42.695 -02:11:49.29 2000.0 21.34 r   39 1 0 39
9440514841       02:47:46.563 -02:06:46.73 2000.0 21.04 r 1179 1 0 39
9712553505       02:47:53.110 -02:06:51.05 2000.0 21.14 r 1422 1 0 39
0016078857       02:48:00.407 -02:06:35.00 2000.0 21.26 r   80 1 0 39
0113163625       02:48:02.740 -02:06:50.35 2000.0 21.37 r   75 1 0 39
0153372633       02:48:03.691 -02:06:53.40 2000.0 21.09 r    6 1 0 39
0159380111       02:48:03.830 -02:07:00.83 2000.0 19.76 r 1179 1 0 39
0162151245       02:48:03.897 -02:06:57.37 2000.0 20.84 r  140 1 0 39
0349034662       02:48:08.369 -02:06:47.59 2000.0 21.02 r   19 1 0 39
0363335912       02:48:08.735 -02:06:43.39 2000.0 21.39 r  573 1 0 39
0466347271       02:48:11.190 -02:06:39.53 2000.0 22.04 r  378 1 0 39
0712624080       02:48:17.082 -02:06:49.28 2000.0 21.79 r  342 1 0 39
0726285079       02:48:17.452 -02:06:45.90 2000.0 21.53 r   62 1 0 39
0742828522       02:48:17.846 -02:06:35.71 2000.0 21.75 r  148 1 0 39
0980940517       02:48:23.555 -02:06:59.68 2000.0 20.21 r  791 1 0 39
8238876771       02:47:17.735 -02:21:11.38 2000.0 20.69 r  786 1 0 39
8955889419       02:47:34.951 -02:21:02.96 2000.0 21.76 r    6 1 0 39
9301890744       02:47:43.259 -02:21:28.80 2000.0 20.95 r 1841 1 0 39
9816384630       02:47:55.615 -02:21:17.36 2000.0 20.33 r 1700 1 0 39
0073781869       02:48:01.783 -02:21:25.70 2000.0 21.01 r  192 1 0 39
0316198410       02:48:07.610 -02:21:06.19 2000.0 21.25 r  932 1 0 39
0380082738       02:48:09.124 -02:21:23.19 2000.0 18.75 r  178 1 0 39
0392913044       02:48:09.443 -02:21:22.20 2000.0 18.61 r  533 1 0 39
0667759778       02:48:16.036 -02:21:01.94 2000.0 21.25 r  772 1 0 39
0952895301       02:48:22.866 -02:21:15.70 2000.0 20.85 r 1713 1 0 39
1211407015       02:48:29.093 -02:21:10.32 2000.0 20.64 r   13 1 0 39
1369386657       02:48:32.873 -02:21:11.13 2000.0 21.52 r  310 1 0 39
1483440182       02:48:35.605 -02:21:30.79 2000.0 21.27 r  438 1 0 39
1602805955       02:48:38.479 -02:21:13.47 2000.0 18.89 r 9929 1 0 39
1774604986       02:48:42.615 -02:21:16.28 2000.0 21.56 r  450 1 0 39
1790597328       02:48:42.986 -02:21:09.13 2000.0 21.56 r  125 1 0 39
1859808678       02:48:44.618 -02:21:05.40 2000.0 21.78 r   91 1 0 39
1943982523       02:48:46.666 -02:21:23.98 2000.0 21.60 r   34 1 0 39
1966097971       02:48:47.196 -02:21:07.50 2000.0 17.97 r  620 1 0 39
8139677057       02:47:15.355 -02:16:09.97 2000.0 21.50 r  137 1 0 39
8510189255       02:47:24.275 -02:16:02.91 2000.0 21.13 r 1934 1 0 39
9649782196       02:47:51.610 -02:16:24.73 2000.0 19.01 r 14066 1 0 39
9795620076       02:47:55.110 -02:16:30.69 2000.0 20.11 r 5599 1 0 39
9846430671       02:47:56.322 -02:16:29.12 2000.0 20.52 r  251 1 0 39
9975666952       02:47:59.431 -02:16:10.23 2000.0 21.33 r   60 1 0 39
0041337589       02:48:00.986 -02:16:08.62 2000.0 19.01 r    7 1 0 39
0125287714       02:48:03.027 -02:16:07.98 2000.0 20.34 r 2210 1 0 39
0217952565       02:48:05.247 -02:16:23.60 2000.0 21.17 r  787 1 0 39
0441257443       02:48:10.600 -02:16:08.93 2000.0 21.17 r   31 1 0 39
0634104271       02:48:15.235 -02:16:18.73 2000.0 21.44 r    7 1 0 39
0686531587       02:48:16.461 -02:16:26.84 2000.0 21.65 r  235 1 0 39
0788118597       02:48:18.914 -02:16:05.42 2000.0 21.48 r  552 1 0 39
0881363331       02:48:21.154 -02:16:21.38 2000.0 21.66 r   21 1 0 39
1717554656       02:48:41.241 -02:16:17.39 2000.0 19.32 r 7772 1 0 39
1855619903       02:48:44.529 -02:16:01.62 2000.0 20.24 r   51 1 0 39
1867007493       02:48:44.804 -02:16:08.78 2000.0 20.40 r 3935 1 0 39
1905300356       02:48:45.738 -02:16:30.37 2000.0 18.39 r 29201 1 0 39
8745254070       02:47:29.904 -02:11:18.96 2000.0 21.04 r   31 1 0 39
9595415796       02:47:50.304 -02:11:13.94 2000.0 19.99 r 4646 1 0 39
9638923626       02:47:51.319 -02:11:20.43 2000.0 21.24 r 1915 1 0 39
9686037917       02:47:52.479 -02:11:07.63 2000.0 20.71 r   19 1 0 39
9704920301       02:47:52.930 -02:11:30.65 2000.0 21.77 r  114 1 0 39
9812215839       02:47:55.484 -02:11:13.96 2000.0 19.26 r 5571 1 0 39
9863416949       02:47:56.752 -02:11:10.52 2000.0 21.37 r   22 1 0 39
9869439117       02:47:56.868 -02:11:03.36 2000.0 20.04 r 5172 1 0 39
9989096492       02:47:59.749 -02:11:11.82 2000.0 20.49 r 2245 1 0 39
9993690760       02:47:59.861 -02:11:28.92 2000.0 21.55 r  690 1 0 39
0040133118       02:48:00.998 -02:11:21.81 2000.0 21.53 r   97 1 0 39
0414076895       02:48:09.975 -02:11:10.45 2000.0 20.75 r  748 1 0 39
0433632676       02:48:10.409 -02:11:23.32 2000.0 20.32 r 2579 1 0 39
0505319742       02:48:12.140 -02:11:01.88 2000.0 21.42 r  356 1 0 39
0574413168       02:48:13.798 -02:11:21.81 2000.0 18.22 r  216 1 0 39
0885082390       02:48:21.255 -02:11:24.43 2000.0 20.42 r   55 1 0 39
1274925566       02:48:30.620 -02:11:14.69 2000.0 21.67 r   42 1 0 39
1303038351       02:48:31.276 -02:11:06.41 2000.0 20.48 r  621 1 0 39
1433734156       02:48:34.412 -02:11:19.06 2000.0 21.36 r  420 1 0 39
1589247587       02:48:38.162 -02:11:08.62 2000.0 19.47 r 8896 1 0 39
1717758092       02:48:41.218 -02:11:07.06 2000.0 21.68 r  617 1 0 39
1794439233       02:48:43.092 -02:11:03.79 2000.0 20.24 r 1123 1 0 39
1798271065       02:48:43.167 -02:11:28.25 2000.0 19.78 r 5287 1 0 39
9406354303       02:47:45.758 -02:06:18.28 2000.0 21.10 r   33 1 0 39
9936174959       02:47:58.481 -02:06:16.48 2000.0 20.13 r   71 1 0 39
0162877305       02:48:03.910 -02:06:09.34 2000.0 21.07 r 1558 1 0 39
0200513563       02:48:04.803 -02:06:20.62 2000.0 20.31 r   99 1 0 39
0254142412       02:48:06.107 -02:06:23.98 2000.0 20.31 r  102 1 0 39
0286184728       02:48:06.853 -02:06:17.13 2000.0 20.97 r  478 1 0 39
0376755630       02:48:09.049 -02:06:14.26 2000.0 21.23 r  416 1 0 39
0460801072       02:48:11.077 -02:06:27.86 2000.0 21.34 r  345 1 0 39
0499060751       02:48:11.985 -02:06:28.95 2000.0 21.43 r  436 1 0 39
0953580859       02:48:22.890 -02:06:28.77 2000.0 21.67 r  353 1 0 39
8209589692       02:47:17.001 -02:20:32.61 2000.0 20.94 r   32 1 0 39
8268471078       02:47:18.467 -02:20:58.05 2000.0 20.82 r 1721 1 0 39
8291295327       02:47:18.996 -02:20:45.13 2000.0 21.22 r  132 1 0 39
