OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
special1,00:19:34.494,+03:37:29.43,2000.0,22.00,r,5000,1,1,-48
special5,00:19:37.643,+03:37:02.26,2000.0,22.00,r,5000,1,1,-48
special6,00:19:37.673,+03:36:31.68,2000.0,22.00,r,5000,1,1,-48
special7,00:19:35.136,+03:36:35.80,2000.0,22.00,r,5000,1,1,-48
8918171112,00:19:34.029,+03:39:01.99,2000.0,20.74,r,247,1,1,-48
9073479142,00:19:37.766,+03:39:26.03,2000.0,19.71,r,864,1,1,-48
9118505330,00:19:38.858,+03:39:14.45,2000.0,20.02,r,316,1,1,-48
9374454540,00:19:44.992,+03:31:12.29,2000.0,18.44,r,2322,1,1,-48
9395879769,00:19:45.507,+03:31:27.97,2000.0,20.49,r,265,1,1,-48
8993447256,00:19:35.851,+03:39:50.40,2000.0,19.70,r,1078,1,1,-48
9103825823,00:19:38.498,+03:39:46.02,2000.0,20.00,r,487,1,1,-48
8983407432,00:19:35.608,+03:31:50.89,2000.0,19.34,r,469,1,1,-48
9105195026,00:19:38.515,+03:31:43.66,2000.0,19.33,r,1179,1,1,-48
9283632738,00:19:42.808,+03:31:36.84,2000.0,19.65,r,757,1,1,-48
8766689466,00:19:30.411,+03:40:26.98,2000.0,20.50,r,165,1,1,-48
8773196359,00:19:30.561,+03:40:17.72,2000.0,19.85,r,519,1,1,-48
8930071980,00:19:34.329,+03:40:04.49,2000.0,20.30,r,297,1,1,-48
8725974995,00:19:29.427,+03:32:13.67,2000.0,20.06,r,368,1,1,-48
9303207602,00:19:43.293,+03:32:21.42,2000.0,20.85,r,57,1,1,-48
9449597021,00:19:46.798,+03:32:19.62,2000.0,21.40,r,73,1,1,-48
9338128293,00:19:44.082,+03:40:53.61,2000.0,20.52,r,273,1,1,-48
9092822533,00:19:38.237,+03:32:36.28,2000.0,20.30,r,306,1,1,-48
9205586386,00:19:40.920,+03:32:48.65,2000.0,20.35,r,506,1,1,-48
8869940260,00:19:32.874,+03:40:59.36,2000.0,21.16,r,72,1,1,-48
9284451951,00:19:42.836,+03:41:04.37,2000.0,20.06,r,120,1,1,-48
9287296834,00:19:42.903,+03:41:19.63,2000.0,21.96,r,47,1,1,-48
9179026403,00:19:40.307,+03:33:17.83,2000.0,19.03,r,1114,1,1,-48
9256034647,00:19:42.151,+03:33:12.55,2000.0,19.39,r,958,1,1,-48
9297260500,00:19:43.138,+03:33:00.07,2000.0,20.11,r,560,1,1,-48
8708075510,00:19:29.008,+03:41:45.45,2000.0,21.15,r,51,1,1,-48
9023935683,00:19:36.593,+03:41:45.53,2000.0,21.35,r,38,1,1,-48
9314320503,00:19:43.552,+03:41:30.12,2000.0,21.48,r,10,1,1,-48
8940359679,00:19:34.566,+03:33:57.71,2000.0,21.31,r,42,1,1,-48
9025602715,00:19:36.625,+03:33:36.78,2000.0,20.57,r,287,1,1,-48
9416063660,00:19:45.991,+03:33:39.60,2000.0,20.66,r,258,1,1,-48
8727041969,00:19:29.460,+03:42:04.53,2000.0,20.00,r,451,1,1,-48
8766447268,00:19:30.402,+03:42:20.34,2000.0,19.55,r,786,1,1,-48
9024037621,00:19:36.568,+03:42:21.62,2000.0,21.32,r,16,1,1,-48
8700746331,00:19:28.823,+03:34:17.61,2000.0,21.33,r,38,1,1,-48
9247747525,00:19:41.936,+03:34:21.23,2000.0,20.87,r,6,1,1,-48
9302001456,00:19:43.251,+03:34:03.02,2000.0,20.41,r,508,1,1,-48
9389050225,00:19:45.337,+03:33:59.32,2000.0,20.92,r,358,1,1,-48
