OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?
8667116678,00:19:28.020,+03:35:48.63,2000.0,17.24,r,-1,0,1
9381765802,00:19:45.164,+03:31:46.01,2000.0,16.72,r,-2,0,1
9023146042,00:19:36.563,+03:31:46.74,2000.0,18.63,r,-2,0,1
9075187218,00:19:37.816,+03:45:50.30,2000.0,16.68,r,-2,0,1
8579501000,00:19:25.913,+03:46:01.61,2000.0,16.72,r,-2,0,1
8759842989,00:19:30.239,+03:46:07.59,2000.0,19.62,r,-2,0,1
