OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
3165642643,23:21:15.971,+29:07:06.06,2000.0,21.93,r,839,1,1,87
3072945753,23:21:13.729,+29:07:45.47,2000.0,21.28,r,744,1,1,87
3370289423,23:21:20.878,+29:07:56.50,2000.0,21.57,r,1692,1,1,87
2780090694,23:21:06.737,+29:08:30.33,2000.0,22.28,r,1259,1,1,87
2977148003,23:21:11.460,+29:08:52.09,2000.0,21.19,r,1305,1,1,87
3270298635,23:21:18.471,+29:08:54.23,2000.0,21.11,r,1251,1,1,87
3463937841,23:21:23.139,+29:08:51.62,2000.0,21.94,r,1341,1,1,87
2717670175,23:21:05.233,+29:08:58.91,2000.0,21.42,r,325,1,1,87
2978717995,23:21:11.488,+29:09:22.14,2000.0,21.77,r,311,1,1,87
3091951978,23:21:14.186,+29:09:03.88,2000.0,21.27,r,2022,1,1,87
3425726757,23:21:22.227,+29:09:18.50,2000.0,20.75,r,413,1,1,87
2510674224,23:21:00.262,+29:09:40.91,2000.0,21.73,r,746,1,1,87
2664847884,23:21:03.951,+29:09:51.84,2000.0,21.89,r,932,1,1,87
2905923357,23:21:09.758,+29:09:38.19,2000.0,22.74,r,190,1,1,87
2781097072,23:21:06.748,+29:10:19.63,2000.0,21.82,r,1059,1,1,87
3499842326,23:21:23.997,+29:10:05.31,2000.0,21.34,r,216,1,1,87
2433772054,23:20:58.409,+29:10:34.54,2000.0,21.83,r,642,1,1,87
2580813227,23:21:01.950,+29:10:37.91,2000.0,21.59,r,3647,1,1,87
3010358544,23:21:12.266,+29:10:53.86,2000.0,21.98,r,1967,1,1,87
2266782235,23:20:54.401,+29:11:05.09,2000.0,21.73,r,1626,1,1,87
2458813838,23:20:59.037,+29:11:09.60,2000.0,21.61,r,426,1,1,87
2563995503,23:21:01.526,+29:11:14.94,2000.0,20.95,r,3835,1,1,87
2658608507,23:21:03.805,+29:11:23.71,2000.0,21.71,r,3332,1,1,87
2682034223,23:21:04.347,+29:11:11.12,2000.0,21.71,r,2212,1,1,87
2906379516,23:21:09.743,+29:11:26.64,2000.0,20.93,r,2498,1,1,87
1908519724,23:20:45.790,+29:11:57.34,2000.0,21.26,r,1982,1,1,87
2681838437,23:21:04.368,+29:11:53.70,2000.0,21.69,r,1230,1,1,87
2223687010,23:20:53.381,+29:12:19.42,2000.0,21.51,r,1709,1,1,87
2464835287,23:20:59.162,+29:12:14.23,2000.0,21.68,r,421,1,1,87
2924130123,23:21:10.169,+29:11:58.89,2000.0,21.44,r,1191,1,1,87
3124784840,23:21:15.004,+29:12:12.78,2000.0,21.82,r,1622,1,1,87
3217114208,23:21:17.214,+29:12:11.00,2000.0,21.56,r,1157,1,1,87
2226752479,23:20:53.446,+29:12:35.81,2000.0,21.68,r,1300,1,1,87
2465749525,23:20:59.179,+29:12:56.66,2000.0,20.90,r,4812,1,1,87
2545582701,23:21:01.108,+29:12:36.31,2000.0,21.71,r,3894,1,1,87
2598933283,23:21:02.383,+29:12:37.95,2000.0,21.13,r,3557,1,1,87
2639985476,23:21:03.355,+29:12:44.70,2000.0,20.87,r,3951,1,1,87
2997387257,23:21:11.925,+29:12:50.12,2000.0,21.75,r,1854,1,1,87
1689067603,23:20:40.545,+29:13:21.07,2000.0,20.79,r,6688,1,1,87
2303398001,23:20:55.276,+29:13:22.51,2000.0,21.36,r,994,1,1,87
2369462837,23:20:56.881,+29:13:06.96,2000.0,21.83,r,866,1,1,87
2429476429,23:20:58.305,+29:13:17.38,2000.0,21.40,r,1909,1,1,87
1847215857,23:20:44.348,+29:13:45.95,2000.0,20.66,r,4582,1,1,87
1979209814,23:20:47.497,+29:13:57.69,2000.0,21.05,r,212,1,1,87
2041704173,23:20:48.981,+29:13:40.80,2000.0,21.61,r,592,1,1,87
2206126469,23:20:52.954,+29:13:47.90,2000.0,21.45,r,3163,1,1,87
2292350668,23:20:55.025,+29:13:30.27,2000.0,20.79,r,5951,1,1,87
2483440160,23:20:59.635,+29:13:28.97,2000.0,21.27,r,3639,1,1,87
1213498654,23:20:29.130,+29:14:24.43,2000.0,21.37,r,1907,1,1,87
1268888776,23:20:30.460,+29:14:24.60,2000.0,19.71,r,305,1,1,87
1412927792,23:20:33.932,+29:14:21.65,2000.0,21.55,r,1651,1,1,87
1653779429,23:20:39.693,+29:14:26.79,2000.0,21.42,r,2547,1,1,87
1775586989,23:20:42.632,+29:14:18.99,2000.0,20.73,r,2335,1,1,87
2066326814,23:20:49.596,+29:14:18.66,2000.0,21.17,r,3915,1,1,87
2168732388,23:20:52.046,+29:14:05.40,2000.0,20.44,r,2810,1,1,87
1576701430,23:20:37.842,+29:14:32.50,2000.0,21.30,r,5468,1,1,87
1641906132,23:20:39.416,+29:14:46.59,2000.0,21.01,r,3379,1,1,87
1772281908,23:20:42.533,+29:14:34.20,2000.0,21.81,r,1055,1,1,87
1988380852,23:20:47.714,+29:14:30.81,2000.0,20.20,r,2274,1,1,87
2072228474,23:20:49.728,+29:14:53.74,2000.0,20.15,r,2031,1,1,87
2144454980,23:20:51.475,+29:14:43.19,2000.0,20.78,r,3990,1,1,87
1418937064,23:20:34.046,+29:15:19.52,2000.0,21.05,r,889,1,1,87
1626865097,23:20:39.044,+29:15:13.61,2000.0,21.60,r,2756,1,1,87
1162636813,23:20:27.921,+29:15:48.91,2000.0,21.21,r,2533,1,1,87
1302458618,23:20:31.275,+29:15:54.16,2000.0,21.27,r,2939,1,1,87
1652324975,23:20:39.668,+29:15:43.13,2000.0,21.67,r,638,1,1,87
0730808991,23:20:17.558,+29:16:25.11,2000.0,21.49,r,1145,1,1,87
1203557233,23:20:28.885,+29:16:20.14,2000.0,20.92,r,10362,1,1,87
1725659718,23:20:41.419,+29:16:27.34,2000.0,20.98,r,6362,1,1,87
0845601987,23:20:20.319,+29:16:34.27,2000.0,21.20,r,3117,1,1,87
1671079243,23:20:40.124,+29:16:56.13,2000.0,21.29,r,2153,1,1,87
1987493489,23:20:47.700,+29:16:38.70,2000.0,20.64,r,2736,1,1,87
0902489407,23:20:21.669,+29:17:26.51,2000.0,20.83,r,4594,1,1,87
1091422794,23:20:26.181,+29:17:06.87,2000.0,21.18,r,1433,1,1,87
1152368352,23:20:27.665,+29:17:23.53,2000.0,21.93,r,1078,1,1,87
1178199076,23:20:28.299,+29:17:25.20,2000.0,20.85,r,1321,1,1,87
1279347488,23:20:30.706,+29:17:20.83,2000.0,21.16,r,2930,1,1,87
1580230271,23:20:37.955,+29:16:58.84,2000.0,21.10,r,1141,1,1,87
1095513405,23:20:26.302,+29:18:08.57,2000.0,21.28,r,1571,1,1,87
1520131475,23:20:36.460,+29:18:02.67,2000.0,21.57,r,1613,1,1,87
1409883454,23:20:33.874,+29:18:38.43,2000.0,20.38,r,3207,1,1,87
