objID,raMean,decMean,rMeanKronMag,nDetections
143093503350113840,350.33520855,29.24439132,-999.0,3
143073503206262342,350.32063465,29.22646147,19.080900192260742,74
143083503235191942,350.32336094,29.23433423,-999.0,2
143073503242578445,350.32426676,29.23166087,21.514999389648438,14
143073503306539824,350.33067244,29.23271277,21.997400283813477,50
143003503254083018,350.32536524,29.16875003,-999.0,2
143003503264410065,350.32644606,29.16622795,-999.0,2
143003503266390744,350.3266454,29.16680161,-999.0,2
143003503192880498,350.3192384,29.16653111,-999.0,2
143013503316026257,350.33158229,29.17976278,-999.0,15
143003503327089602,350.33265311,29.17439754,21.38610076904297,9
143013503220290417,350.32203757,29.17486686,19.40760040283203,46
143003503203128393,350.32030145,29.17319606,-999.0,3
143253502438668738,350.24382466,29.38175534,-999.0,2
143123504786815269,350.47874526,29.27059096,18.366500854492188,3
143123504787731796,350.47875206,29.26767803,21.265399932861328,2
143083504799336297,350.47991217,29.2381295,21.785400390625,10
143083504773796774,350.47725824,29.23853639,-999.0,2
143083504766734232,350.47686624,29.2361854,-999.0,2
143093504861512219,350.48618136,29.24298166,15.33530044555664,68
143093504825671156,350.48257717,29.24222456,-999.0,5
143103504968633884,350.49697845,29.25276853,-999.0,2
143093504887878638,350.48873613,29.24848245,-999.0,2
143103504899440188,350.4900547,29.24975741,-999.0,2
143103504731606063,350.47328619,29.25466465,-999.0,4
143103504760326567,350.47598091,29.25496803,-999.0,10
143093504774908474,350.47748893,29.2482658,-999.0,2
143103504822984189,350.48228853,29.25301144,-999.0,3
143103504765874152,350.47665923,29.25301342,19.799699783325195,46
143103504765121377,350.47651744,29.25067218,21.2012996673584,54
143103504846263274,350.48456887,29.25223644,20.917600631713867,2
143093504834069763,350.4833999,29.24932937,-999.0,2
143093504810616826,350.48115461,29.24683956,21.565399169921875,20
142973501805762366,350.18058068,29.1431625,19.066099166870117,71
142963501776414345,350.17743108,29.13668576,-999.0,2
142963501709834434,350.1709952,29.13650469,21.004600524902344,16
142933501822682353,350.18229926,29.10981512,-999.0,3
142933501808081182,350.18081274,29.10882624,-999.0,2
142943501809270231,350.180876,29.11641398,21.153600692749023,21
142933501648974489,350.16503552,29.11164754,-999.0,4
142933501802699605,350.18029018,29.11589137,21.34040069580078,52
142933501781634066,350.17815026,29.11124842,-999.0,2
142933501774444423,350.17747755,29.11154071,-999.0,2
142933501757235363,350.17551272,29.11221011,-999.0,2
143103501936238012,350.19363009,29.25623005,20.944400787353516,39
143093501849669812,350.18501836,29.24927781,-999.0,2
143103501863020903,350.18627535,29.25026394,21.181900024414062,18
143103501892800275,350.18928285,29.24975174,-999.0,2
143113503539507388,350.35392688,29.26404084,-999.0,2
143123503334941219,350.33348976,29.26718181,21.176799774169922,53
143113503345184069,350.33457531,29.26115934,-999.0,2
143113503404327861,350.34044411,29.26445473,-999.0,2
143103503442355391,350.34424639,29.2540282,21.72010040283203,44
143103503395648145,350.33969804,29.25631444,21.116899490356445,57
143193503992626173,350.39927058,29.32967382,-999.0,2
143193503988196640,350.39871616,29.32986158,-999.0,4
143213503965430469,350.3965666,29.34170749,-999.0,2
143213503994854768,350.39949723,29.34520705,-999.0,12
143213503981632852,350.39823574,29.34362976,-999.0,13
143213504022850814,350.40230469,29.34187291,20.392799377441406,64
143203503860201972,350.3860193,29.33450715,16.91469955444336,64
143203503907366685,350.39082943,29.33841842,-999.0,7
143203503899762363,350.39005495,29.33484582,-999.0,4
143203503956275782,350.39564829,29.33768294,21.5137996673584,46
143083501680386522,350.16794707,29.23827133,-999.0,5
143083501657312459,350.16573535,29.23490248,20.631000518798828,50
143083501668925702,350.16693281,29.23759383,20.872699737548828,46
143073501583468224,350.15844882,29.23133943,-999.0,2
143073501609888111,350.16101253,29.23129164,17.15369987487793,72
143083501635953765,350.16369416,29.23605183,-999.0,10
143083501610673000,350.16113867,29.23538303,21.35759925842285,29
143083501446510998,350.14467134,29.23368416,-999.0,7
143083501555497282,350.15545864,29.23915259,22.024200439453125,2
143083501510817051,350.15104945,29.23872708,-999.0,3
143083501534416862,350.15344581,29.23862508,21.864500045776367,23
143083501501163626,350.15013261,29.23591424,20.80109977722168,56
143083501499687449,350.14997942,29.23911521,21.224700927734375,33
143083501495938098,350.14958851,29.2396627,20.988100051879883,2
143083501565495290,350.15658995,29.23730693,-999.0,2
142953501202391080,350.120259,29.12542329,-999.0,9
142953501214234152,350.12156415,29.12791854,-999.0,2
142953501152770989,350.11522038,29.125318,-999.0,2
142953501143628852,350.11438454,29.13190213,-999.0,2
142953501127014947,350.11268576,29.12866685,-999.0,2
142953501075122681,350.10753914,29.12675801,19.888599395751953,58
143193503235588044,350.32361343,29.33125443,21.141700744628906,30
143193503183282249,350.31840833,29.32642224,-999.0,2
143193503165892111,350.31663588,29.32615973,-999.0,2
143193503222656334,350.32224489,29.32980337,19.82110023498535,56
143183503055683388,350.30571864,29.31902916,-999.0,3
143183503061922277,350.30627961,29.31818763,-999.0,2
143173503109118659,350.31088063,29.3150908,12.42959976196289,4
143173503114198563,350.31134223,29.31503482,-999.0,5
143173503117669972,350.31181809,29.3161505,14.37090015411377,3
143173503113319117,350.31137091,29.31545126,-999.0,2
143183503131221685,350.31293141,29.31771701,17.253799438476562,3
143173503103628923,350.31035877,29.31535544,12.793899536132812,4
143173503098309239,350.30963704,29.31556954,-999.0,3
143183503097780190,350.30982653,29.31632851,-999.0,2
143183503102230491,350.31025314,29.31658179,-999.0,2
143173503100509516,350.31039219,29.31572327,-999.0,2
143263503444729194,350.34455226,29.39057987,20.721500396728516,48
143033503573976196,350.35741333,29.19634063,20.54599952697754,59
143033503598782865,350.35991659,29.19353796,-999.0,2
143033503551772529,350.35554495,29.19322628,-999.0,2
143033503418323230,350.34183432,29.19386913,15.477100372314453,58
143033503415003745,350.34150041,29.1943334,-999.0,2
143033503441322952,350.34412179,29.19370996,-999.0,4
143033503484579916,350.34849378,29.19944598,21.642900466918945,5
143033503479035183,350.34792454,29.19546883,21.677799224853516,9
143033503147232439,350.31470399,29.19320493,20.679100036621094,5
143033503189617195,350.3190289,29.1972133,20.715999603271484,9
143033503151024662,350.31506146,29.19529662,-999.0,2
143093502288884157,350.22893029,29.24457104,-999.0,2
142993504487727366,350.44866046,29.16401332,-999.0,2
142993504511699246,350.45119421,29.16552493,-999.0,3
142993504450513204,350.44499971,29.16058799,-999.0,2
142993504480024342,350.44811671,29.1614361,-999.0,2
142993504477533964,350.44767609,29.16131629,-999.0,4
142993504468913292,350.44688736,29.16065433,-999.0,4
142993504473283824,350.4474617,29.16105224,-999.0,56
142993504476223536,350.4475334,29.1608774,-999.0,5
142993504461282931,350.44622937,29.16033031,-999.0,3
142993504519376616,350.45196663,29.16340429,-999.0,2
142993504485834627,350.44851048,29.16171874,-999.0,4
142983504446824119,350.44472882,29.15295432,21.17770004272461,34
142983504441532749,350.44406654,29.15182822,-999.0,4
142983504454246179,350.44550884,29.15482105,-999.0,2
142983504471114089,350.44712058,29.15291985,-999.0,2
142983504479759181,350.44793212,29.15705527,-999.0,2
142983504812862516,350.48134897,29.15161185,-999.0,25
142973504783807359,350.47830056,29.14740738,-999.0,2
143123501489969992,350.14885077,29.2746021,21.985700607299805,2
143133501487365061,350.14879154,29.2787511,20.76300048828125,44
143163501790184839,350.17879282,29.30351733,-999.0,2
143163501787563965,350.17879728,29.30281987,19.887100219726562,3
143153501803465093,350.1803845,29.2954787,19.353500366210938,48
143153501806157371,350.18066,29.29730739,-999.0,2
143163501821760464,350.18211787,29.29994574,20.80699920654297,2
143163501746034654,350.17454104,29.30341034,18.910600662231445,2
143153501673362214,350.16741401,29.29307275,21.55139923095703,27
143153501706888236,350.17070707,29.29804276,-999.0,3
143153501685994722,350.16862069,29.29506117,14.906399726867676,60
143163501747503506,350.17475976,29.30232319,-999.0,2
143153501772699723,350.17723356,29.29933798,-999.0,2
143163501772252114,350.17723935,29.30130824,16.783899307250977,2
